Entity,Year,Number of Internet Users by Country (World Bank (2015))
Monaco,2011,27945.75
Monaco,2012,30175.937
Monaco,2013,32912.97
Mongolia,1997,2335.723
Mongolia,1998,2355.618
Mongolia,1999,11880.985
Mongolia,2000,31167.149
Mongolia,2001,41134.373
Mongolia,2002,48864.62
Mongolia,2007,233556.12
Mongolia,2008,258017.732
Mongolia,2009,267222.3
Mongolia,2010,276699.276
Mongolia,2011,280929.318
Mongolia,2012,349560.5
Mongolia,2013,465607.972
Montenegro,2004,155791.662
Montenegro,2005,166464.731
Montenegro,2006,177742.225
Montenegro,2007,189689.5
Montenegro,2008,202982.801
Montenegro,2009,217021.194
Montenegro,2010,232285.5
Montenegro,2011,232529.625
Montenegro,2012,220933.956
Montenegro,2013,352845.576
Morocco,1998,28013.585
Morocco,1999,56748.406
Morocco,2000,200970.861
Morocco,2001,406296.184
Morocco,2002,703474.632
Morocco,2003,1005955.858
Morocco,2004,3463275.12
Morocco,2005,4548942.195
Morocco,2006,6018229.206
Morocco,2007,6593423.49
Morocco,2008,10246154.98
Morocco,2009,12917220.93
Morocco,2010,16454027.2
Morocco,2011,16670900.48
Morocco,2012,14992246.92
Morocco,2013,18286515.1
Mozambique,1999,17798.102
Mozambique,2000,18275.618
Mozambique,2001,37571.438
Mozambique,2002,57959.682
Mozambique,2003,79493.84
Mozambique,2004,143071.789
Mozambique,2005,189093.384
Mozambique,2006,172698.536
Mozambique,2007,199542.636
Mozambique,2008,364200.4
Mozambique,2009,630747.675
Mozambique,2010,1006625.13
Mozambique,2011,1032417.414
Mozambique,2012,1083745.985
Mozambique,2013,1240020.096
Myanmar,2005,50181.02
Myanmar,2006,101000.14
Myanmar,2007,101657.918
Myanmar,2008,102348.036
Myanmar,2009,103080.98
Myanmar,2010,155793.693
Myanmar,2011,157052.289
Myanmar,2012,527973.19
Myanmar,2013,585849.198
Namibia,1997,1757.969
Namibia,1998,5429.157
Namibia,1999,5571.447
Namibia,2000,30367.248
Namibia,2001,46350.768
Namibia,2002,50915.878
Namibia,2003,67362.058
Namibia,2004,76126.16
Namibia,2005,81081.04
Namibia,2006,90328.964
Namibia,2007,99873.6
Namibia,2008,111871.923
Namibia,2009,139327.37
Namibia,2010,252760.172
Namibia,2011,257243.688
Namibia,2012,271127.16
Namibia,2013,297127.635
Nepal,1998,22175.431
Nepal,1999,22690.158
Nepal,2000,46368.354
Nepal,2001,47310.238
Nepal,2002,72308.586
Nepal,2003,98102.108
Nepal,2004,99687.64
Nepal,2005,202336.464
Nepal,2006,281974.473
Nepal,2007,363300.308
Nepal,2008,446240.004
Nepal,2009,530898.86
Nepal,2010,2120835.264
Nepal,2011,2145352.993
Nepal,2012,2472693.93
Nepal,2013,3085517.727
Netherlands,1990,44854.53
Netherlands,1991,75348.99
Netherlands,1993,305807.36
Netherlands,1994,507633.654
Netherlands,1995,1004835.39
Netherlands,1996,1490927.808
Netherlands,1997,2201101.65
Netherlands,1998,3487000.398
Netherlands,1999,6198338.496
Netherlands,2000,7007225.72
Netherlands,2001,7926812.92
Netherlands,2002,9899293.477
Netherlands,2003,10449094.49
Netherlands,2004,11153018.62
Netherlands,2005,13219093.08
Netherlands,2006,13681686.54
Netherlands,2007,14055495.17
Netherlands,2008,14373448.28
Netherlands,2009,14811227.65
Netherlands,2010,15070162.36
Netherlands,2011,15140618.12
Netherlands,2012,15314035.27
Netherlands,2013,15611317.33
New Caledonia,1996,592.692
New Caledonia,1997,2014.18
New Caledonia,1998,3900.301
New Caledonia,1999,11925.198
New Caledonia,2000,29638.97
New Caledonia,2001,39552.968
New Caledonia,2002,49613.76
New Caledonia,2003,59365.152
New Caledonia,2004,69173.991
New Caledonia,2005,75096.396
New Caledonia,2006,78830.19
New Caledonia,2007,83854.602
New Caledonia,2008,83678.37
New Caledonia,2009,83723.3
New Caledonia,2010,105000
New Caledonia,2011,106680
New Caledonia,2012,129000
New Caledonia,2013,151960
New Zealand,1993,21433.2
New Zealand,1994,115840
New Zealand,1995,179996.6
New Zealand,1996,298560
New Zealand,1997,552069.8
New Zealand,1998,1205540
New Zealand,1999,1591566.5
New Zealand,2000,1828549.8
New Zealand,2001,2064426
New Zealand,2002,2333563.5
New Zealand,2003,2456592
New Zealand,2004,2526075
New Zealand,2005,2591955.3
New Zealand,2006,2887374
New Zealand,2007,2948212.4
New Zealand,2008,3067056
New Zealand,2009,3429172.2
New Zealand,2010,3502313.5
New Zealand,2011,3529120
New Zealand,2012,3579377.2
New Zealand,2013,3642522
Nicaragua,1996,4756.631
Nicaragua,1997,9698.544
Nicaragua,1998,14811.96
Nicaragua,1999,25105.395
Nicaragua,2000,51009.2
Nicaragua,2001,72473.59
Nicaragua,2002,89225.809
Nicaragua,2003,101039.682
Nicaragua,2004,123884.877
Nicaragua,2005,141835.694
Nicaragua,2006,154697.956
Nicaragua,2007,218225.787
Nicaragua,2008,300403.099
Nicaragua,2009,419263.017
Nicaragua,2010,582220.9
Nicaragua,2011,590514.6
Nicaragua,2012,635123.698
Nicaragua,2013,820864.53
Niger,2001,11396.434
Niger,2002,11817.297
Niger,2003,24508.08
Niger,2004,25417.794
Niger,2005,26367.596
Niger,2006,41039.115
Niger,2007,56789.156
Niger,2008,103165.265
Niger,2009,122423.584
Niger,2010,127149.968
Niger,2011,132091.696
Niger,2012,223041.546
Niger,2013,249637.78
Nigeria,2000,122876.727
Nigeria,2001,126004.992
Nigeria,2002,387673.923
Nigeria,2003,795300.876
Nigeria,2004,1767990.25
Nigeria,2005,4885506.185
Nigeria,2006,7882319.995
Nigeria,2007,10008740
Nigeria,2008,24042084.72
Nigeria,2009,31076204
Nigeria,2010,38329867.2
Nigeria,2011,39406302
Nigeria,2012,47948792.38
Nigeria,2013,56945833.16
Norway,1990,29690.311
Norway,1991,59664.248
Norway,1993,120735.748
Norway,1994,182137.746
Norway,1995,278987.776
Norway,1996,801784.488
Norway,1997,898652.028
Norway,1998,1001510.864
Norway,1999,1784765.2
Norway,2000,2335302.84
Norway,2001,2888800.64
Norway,2002,3303779.752
Norway,2003,3565151.755
Norway,2004,3567914.07
Norway,2005,3791098.62
Norway,2006,3849719.202
Norway,2007,4092253.957
Norway,2008,4320000.072
Norway,2009,4447256.646
Norway,2010,4566561.368
Norway,2011,4626184.192
Norway,2012,4692365.755
Norway,2013,4805323.358
Oman,1997,8710.892
Oman,1998,19540.215
Oman,1999,54307.175
Oman,2000,76738.725
Oman,2001,132102.475
Oman,2002,159280.221
Oman,2003,174405.833
Oman,2004,167552.068
Oman,2005,168995.775
Oman,2006,212057.115
Oman,2007,429146.413
Oman,2008,518704.6
Oman,2009,713744.032
Oman,2010,1003390.944
Oman,2011,1082869.092
Oman,2012,1590720.48
Oman,2013,2179466.4
Pakistan,1999,140580.398
Pakistan,2001,1909142.053
Pakistan,2002,3892035.784
Pakistan,2003,7620998.7
Pakistan,2004,9619386.428
Pakistan,2005,9952199.145
Pakistan,2006,10458876.61
Pakistan,2007,11147126.37
Pakistan,2008,11690565.81
Pakistan,2009,12757049.93
Pakistan,2010,13851944.48
Pakistan,2011,14093308.24
Pakistan,2012,16124409.99
Pakistan,2013,18214259.4
Palau,2002,3954.15
Palau,2003,4255.2
Palau,2004,5347.35
Panama,1995,2757.004
Panama,1996,5629.05
Panama,1997,14366.44
Panama,1998,82126.8
Panama,1999,113760.03
Panama,2000,201617.592
Panama,2001,227497.857
Panama,2002,270168.25
Panama,2003,324080.5
Panama,2004,366670.185
Panama,2005,387081.835
Panama,2006,593132.057
Panama,2007,778500.582
Panama,2008,1201076.24
Panama,2009,1413795.786
Panama,2010,1474929.328
Panama,2011,1499853.082
Panama,2012,1623573.987
Panama,2013,1557260.51
Papua New Guinea,1997,4970.823
Papua New Guinea,1998,10209.032
Papua New Guinea,1999,36686.587
Papua New Guinea,2000,43033.808
Papua New Guinea,2001,49670.739
Papua New Guinea,2002,73583.471
Papua New Guinea,2003,81246.228
Papua New Guinea,2004,89226.915
Papua New Guinea,2005,103631.303
Papua New Guinea,2006,112424.346
Papua New Guinea,2007,115157.214
Papua New Guinea,2008,78610.524
Papua New Guinea,2009,107277.264
Papua New Guinea,2010,89166.285
Papua New Guinea,2011,91168.701
Papua New Guinea,2012,143340.2
Papua New Guinea,2013,256244.17
Paraguay,1997,5021.271
Paraguay,1998,10261.446
Paraguay,1999,20961.284
Paraguay,2000,37451.771
Paraguay,2001,60066.831
Paraguay,2002,100284.678
Paraguay,2003,119329.35
Paraguay,2004,202766.55
Paraguay,2005,466429.43
Paraguay,2006,481182.48
Paraguay,2007,686031.92
Paraguay,2008,891748.715
Paraguay,2009,1199655.387
Paraguay,2010,1279024.758
Paraguay,2011,1301473.206
Paraguay,2012,1658465.528
Paraguay,2013,1993072.435
Peru,1996,48731.97
Peru,1997,99159.42
Peru,1998,302481.804
Peru,1999,512229.64
Peru,2000,806002.48
Peru,2001,2004299.208
Peru,2002,2405691.81
Peru,2003,3140506.744
Peru,2004,3863942.145
Peru,2005,4740681.051
Peru,2006,5802352.416
Peru,2007,7138759.32
Peru,2008,8759442.168
Peru,2009,9085371.142
Peru,2010,10183464.84
Peru,2011,10305980.68
Peru,2012,10795608
Peru,2013,11603480.35
Philippines,1996,71184.718
Philippines,1997,72780.928
Philippines,1998,818324.617
Philippines,1999,1064252.084
Philippines,2000,1553036.96
Philippines,2001,1982443.9
Philippines,2002,3481007.036
Philippines,2003,4047629.369
Philippines,2004,4380029.108
Philippines,2005,4634345.556
Philippines,2006,4979894.661
Philippines,2007,5332532.88
Philippines,2008,5603019.794
Philippines,2009,8269776
Philippines,2010,23361080.5
Philippines,2011,23763359.25
Philippines,2012,28044961.56
Philippines,2013,35618473.79
Poland,1993,38461.408
Poland,1994,154170.608
Poland,1995,231569.988
Poland,1996,502116.81
Poland,1997,811642.86
Poland,1998,1585202.721
Poland,1999,2126314.905
Poland,2000,2792879.917
Poland,2001,3786559.524
Poland,2002,8104837.168
Poland,2003,9512937.93
Poland,2004,12409222.15
Poland,2005,14808192.66
Poland,2006,17011005.08
Poland,2007,18526592.16
Poland,2008,20244778.03
Poland,2009,22509445.77
Poland,2010,23700660.66
Poland,2011,23713407.87
Poland,2012,23561098.52
Poland,2013,23699042.11
Portugal,1991,9960.235
Portugal,1993,49823.375
Portugal,1994,69940.675
Portugal,1995,150392.64
Portugal,1996,301918.35
Portugal,1997,505448.85
Portugal,1998,1005859.404
Portugal,1999,1502020.716
Portugal,2000,1687543.272
Portugal,2001,1875652.682
Portugal,2002,2021408.414
Portugal,2003,3106269.837
Portugal,2004,3333867.798
Portugal,2005,3676165.5
Portugal,2006,3998469.44
Portugal,2007,4438587.844
Portugal,2008,4656156.057
Portugal,2009,5104463.301
Portugal,2010,5635462.3
Portugal,2011,5627179.48
Portugal,2012,5804193.888
Portugal,2013,6305748.885
Puerto Rico,1995,3683.103
Puerto Rico,1996,11173.965
Puerto Rico,1997,48872.59
Puerto Rico,1998,98308.626
Puerto Rico,1999,201404.293
Puerto Rico,2000,400113.525
Puerto Rico,2001,595728.744
Puerto Rico,2002,669147.675
Puerto Rico,2003,753740.715
Puerto Rico,2004,845740.038
Puerto Rico,2005,894198.708
Puerto Rico,2006,966524.356
Puerto Rico,2007,1055455.605
Puerto Rico,2008,1429129.08
Puerto Rico,2009,1552270.15
Puerto Rico,2010,1685851.731
Puerto Rico,2011,1670107.263
Puerto Rico,2012,1748294.88
Puerto Rico,2013,2481128.91
Qatar,1995,1002.308
Qatar,1996,4612.284
Qatar,1997,16414.221
Qatar,1998,19262.845
Qatar,1999,23458.355
Qatar,2000,29090.957
Qatar,2001,37932.096
Qatar,2002,64233.99
Qatar,2003,126765.696
Qatar,2004,149119.281
Qatar,2005,202826.273
Qatar,2006,280604.58
Qatar,2007,426409.83
Qatar,2008,602087.502
Qatar,2009,830527.542
Qatar,2010,1207301.97
Qatar,2011,1318522.38
Qatar,2012,1414854.66
Qatar,2013,1502890.389
Romania,1995,22684.27
Romania,1996,45238.008
Romania,1997,90215.912
Romania,1998,495161.568
Romania,1999,606745.08
Romania,2000,807946.956
Romania,2001,995938.65
Romania,2002,1434212.736
Romania,2003,1920115.014
Romania,2004,3217762.2
Romania,2005,4583732.275
Romania,2006,5234858.72
Romania,2007,5909883.906
Romania,2008,6654271.5
Romania,2009,7454500.242
Romania,2010,8078501.529
Romania,2011,8038863.672
Romania,2012,8023214
Romania,2013,9172515.087
Russia,1995,148375.726
Russia,1996,444480.126
Russia,1997,739576.535
Russia,1998,1181365.536
Russia,1999,1472143.92
Russia,2000,2931931.14
Russia,2001,4233306.407
Russia,2002,5957547.886
Russia,2003,12005805.33
Russia,2004,18584649.97
Russia,2005,21814815.5
Russia,2006,25748915.04
Russia,2007,35272856.74
Russia,2008,38254949.8
Russia,2009,41407749.18
Russia,2010,61425263.07
Russia,2011,61473173.24
Russia,2012,70168821.24
Russia,2013,91557409.22
Rwanda,1999,7853.015
Rwanda,2000,8395.577
Rwanda,2001,17520.006
Rwanda,2002,26962.569
Rwanda,2003,36504.668
Rwanda,2004,37017.516
Rwanda,2005,56576.742
Rwanda,2007,208491.003
Rwanda,2008,460033.245
Rwanda,2009,810784.436
Rwanda,2010,866938.56
Rwanda,2011,891545.2
Rwanda,2012,802046.07
Rwanda,2013,942121.76
Samoa,1992,331.136
Samoa,1997,344.382
Samoa,1998,345.958
Samoa,1999,521.274
Samoa,2000,1047.684
Samoa,2001,2984.639
Samoa,2002,3885.024
Samoa,2003,4974.956
Samoa,2004,5542.614
Samoa,2005,6117.552
Samoa,2006,8148.285
Samoa,2007,8565.28
Samoa,2008,9172.2
Samoa,2009,11082.24
Samoa,2010,13022.03
Samoa,2011,13120.03
Samoa,2012,20777.79
Samoa,2013,24557.988
San Marino,1995,359.52
San Marino,1996,362.796
San Marino,1997,365.596
San Marino,1998,368.494
San Marino,1999,11382.232
San Marino,2000,13160.872
San Marino,2001,13815.901
San Marino,2002,14256.512
San Marino,2003,14350
San Marino,2004,14820.74
San Marino,2005,14976.825
San Marino,2006,15125.26
San Marino,2007,15310.008
San Marino,2008,16649.205
San Marino,2009,16638.316
San Marino,2012,15498.512
San Marino,2013,16007.032
Sao Tome and Principe,1998,406.95
Sao Tome and Principe,1999,549.584
Sao Tome and Principe,2000,6413.688
Sao Tome and Principe,2001,8932.329
Sao Tome and Principe,2002,10977.972
Sao Tome and Principe,2003,15040.41
Sao Tome and Principe,2004,20061.986
Sao Tome and Principe,2005,21336.87
Sao Tome and Principe,2006,22550.452
Sao Tome and Principe,2007,23854.94
Sao Tome and Principe,2008,26079.215
Sao Tome and Principe,2009,28411.36
Sao Tome and Principe,2010,33506.864
Sao Tome and Principe,2011,34437.276
Sao Tome and Principe,2012,37995.796
Sao Tome and Principe,2013,41686.488
Saudi Arabia,1997,19060.85
Saudi Arabia,1998,19282.965
Saudi Arabia,1999,98103.46
Saudi Arabia,2000,443180.848
Saudi Arabia,2001,981904.918
Saudi Arabia,2002,1396813.888
Saudi Arabia,2003,1828186.64
Saudi Arabia,2004,2431601.562
Saudi Arabia,2005,3135638.509
Saudi Arabia,2006,4947527.52
Saudi Arabia,2007,7774687.2
Saudi Arabia,2008,9491888.88
Saudi Arabia,2009,10182622.5
Saudi Arabia,2010,11175938.67
Saudi Arabia,2011,11382308.48
Saudi Arabia,2012,13436731.13
Saudi Arabia,2013,15567589.8
Senegal,1998,9387.783
Senegal,1999,28855.692
Senegal,2000,39446.716
Senegal,2001,101191.18
Senegal,2002,103900.5
Senegal,2003,224144.235
Senegal,2004,482572.992
Senegal,2005,540999.648
Senegal,2006,648643.8
Senegal,2007,916682.998
Senegal,2008,1297311.846
Senegal,2009,1825089.915
Senegal,2010,2072090.24
Senegal,2011,2132917.92
Senegal,2012,2402053.675
Senegal,2013,2713589.76
Serbia,2004,1753841.895
Serbia,2005,1956922.247
Serbia,2006,2015946.768
Serbia,2007,2450684.228
Serbia,2008,2616679.032
Serbia,2009,2789227.467
Serbia,2010,2982197.324
Serbia,2011,2958746.491
Serbia,2012,3038010.494
Serbia,2013,3445947.492
Seychelles,1996,534.919
Seychelles,1997,1005.147
Seychelles,1998,1971.15
Seychelles,1999,4985.42
Seychelles,2000,6003.694
Seychelles,2001,8932.22
Seychelles,2002,11969.1
Seychelles,2003,12088.8
Seychelles,2004,20047.5
Seychelles,2005,21056.6
Seychelles,2006,29610
Seychelles,2007,32652.672
Seychelles,2008,35130.224
Seychelles,2010,36805.7
Seychelles,2011,35850.81
Seychelles,2012,38146.896
Seychelles,2013,42342.9
Sierra Leone,2000,4139.757
Sierra Leone,2001,8591.334
Sierra Leone,2002,8986.094
Sierra Leone,2003,9425.526
Sierra Leone,2004,9856.35
Sierra Leone,2005,10239.79
Sierra Leone,2006,10561.818
Sierra Leone,2007,10832.03
Sierra Leone,2008,16596.417
Sierra Leone,2009,16923.546
Sierra Leone,2010,34511.856
Sierra Leone,2011,35192.946
Sierra Leone,2012,53808.543
Sierra Leone,2013,79196.975
Singapore,1991,6270.2
Singapore,1993,26508
Singapore,1994,41028
Singapore,1995,102210.5
Singapore,1996,304668.1
Singapore,1997,512460
Singapore,1998,769731.2
Singapore,1999,958005.4
Singapore,2000,1450044
Singapore,2001,1725546
Singapore,2002,1962720
Singapore,2003,2213762.4
Singapore,2004,2583354
Singapore,2005,2602138
Singapore,2006,2596826
Singapore,2007,3207431.4
Singapore,2008,3339186
Singapore,2009,3441444
Singapore,2010,3604457
Singapore,2011,3680427
Singapore,2012,3771804
Singapore,2013,3887424
Slovenia,1993,7966.984
Slovenia,1994,21883.873
Slovenia,1995,57706.288
Slovenia,1996,101420.028
Slovenia,1997,150932.656
Slovenia,1998,200144.529
Slovenia,1999,249863.67
Slovenia,2000,300327.675
Slovenia,2001,601602.12
Slovenia,2002,554479.34
Slovenia,2003,636638.827
Slovenia,2004,814780.896
Slovenia,2005,936221.832
Slovenia,2006,1083708.72
Slovenia,2007,1144275.174
Slovenia,2008,1172363.28
Slovenia,2009,1305388.16
Slovenia,2010,1434008.1
Slovenia,2011,1436990.1
Slovenia,2012,1384468.007
Slovenia,2013,1406947.899
Solomon Islands,1996,1108.317
Solomon Islands,1997,1519.444
Solomon Islands,1998,1952.465
Solomon Islands,1999,2006.615
Solomon Islands,2000,2061.68
Solomon Islands,2001,2117.645
Solomon Islands,2002,2174.4
Solomon Islands,2003,2678.01
Solomon Islands,2004,2746.962
Solomon Islands,2005,3754.448
Solomon Islands,2006,7691.92
Solomon Islands,2007,9842.96
Solomon Islands,2008,15106.23
Solomon Islands,2009,20598.56
Solomon Islands,2010,26322.35
Solomon Islands,2011,26899.85
Solomon Islands,2012,32975.88
Solomon Islands,2013,39286.17
Somalia,2001,7609.265
Somalia,2002,7825.924
Somalia,2003,32150.824
Somalia,2004,90749.615
Somalia,2005,93136.318
Somalia,2006,95564.381
Somalia,2007,98019.361
Somalia,2008,100542.849
Somalia,2009,112570.248
Somalia,2012,132536.742
Somalia,2013,146938.162
South Africa,1992,73381.478
South Africa,1993,37473.796
South Africa,1994,76566.446
South Africa,1995,273840
South Africa,1996,320001.976
South Africa,1997,654817.008
South Africa,1998,1215090.807
South Africa,1999,1759862.885
South Africa,2000,2332000
South Africa,2001,2829313.494
South Africa,2002,3051605.115
South Africa,2003,3228892.17
South Africa,2004,3925126.296
South Africa,2005,3551175.975
South Africa,2006,3647369.124
South Africa,2007,3941176.986
South Africa,2008,4144915.152
South Africa,2009,5005570.1
South Africa,2010,12190033.92
South Africa,2011,12372834.96
South Africa,2012,17796176.3
South Africa,2013,21794570.9
South Korea,1993,88389.256
South Korea,1994,133924.62
South Korea,1995,360743.928
South Korea,1996,728394.896
South Korea,1997,1654328.88
South Korea,1998,3147482.204
South Korea,1999,11001535.77
South Korea,2000,21012625.62
South Korea,2001,26804266.89
South Korea,2002,28287574.33
South Korea,2003,31347848.71
South Korea,2004,34924654.71
South Korea,2005,35381486.6
South Korea,2006,37778489.83
South Korea,2007,38294949.78
South Korea,2008,39648445.38
South Korea,2009,40132543.01
South Korea,2010,41356476.34
South Korea,2011,41665391.28
South Korea,2012,41903721.56
South Korea,2013,42234741.63
Spain,1993,39189.4
Spain,1994,117884.901
Spain,1995,157548.068
Spain,1996,513216.418
Spain,1997,1108307.564
Spain,1998,1747728.752
Spain,1999,2834765.028
Spain,2000,5475797.376
Spain,2001,7376836.181
Spain,2002,8452037.832
Spain,2003,16832870.36
Spain,2004,18885633.8
Spain,2005,20909861.25
Spain,2006,22376248.78
Spain,2007,24919968.45
Spain,2008,27388647.18
Spain,2009,28930478.3
Spain,2010,30647598.23
Spain,2011,30756694.63
Spain,2012,31618585.18
Spain,2013,32540791.41
Sri Lanka,1996,18336
Sri Lanka,1997,37136
Sri Lanka,1998,56352
Sri Lanka,1999,57168
Sri Lanka,2000,114612
Sri Lanka,2001,150376
Sri Lanka,2002,208131
Sri Lanka,2003,287595
Sri Lanka,2004,272090
Sri Lanka,2005,353592
Sri Lanka,2006,496450
Sri Lanka,2007,781521
Sri Lanka,2008,1174268
Sri Lanka,2009,1799600
Sri Lanka,2010,2478360
Sri Lanka,2011,2504280
Sri Lanka,2012,3049200
Sri Lanka,2013,3748389
Sudan,2001,28434.81
Sudan,2002,116745.708
Sudan,2003,149869.895
Sudan,2004,246228.576
Sudan,2005,410616.323
Sudan,2007,2889987.75
Sudan,2010,5953884.334
Sudan,2011,6083964.141
Sudan,2012,6434795.377
Sudan,2013,7972504.26
Suriname,1995,435.776
Suriname,1996,883.468
Suriname,1997,4477.71
Suriname,1998,7716.64
Suriname,1999,8744.085
Suriname,2000,11666.7
Suriname,2001,14672.672
Suriname,2002,20164.158
Suriname,2003,22882.749
Suriname,2004,30097.034
Suriname,2005,31969.472
Suriname,2006,47992.67
Suriname,2007,71971.053
Suriname,2008,108743.492
Suriname,2009,163334.322
Suriname,2010,165887.36
Suriname,2011,167404.476
Suriname,2012,171053.12
Suriname,2013,187128.772
Swaziland,1996,984.506
Swaziland,1997,1006.76
Swaziland,1998,1028.694
Swaziland,1999,5240.755
Swaziland,2000,9573.435
Swaziland,2001,13971.893
Swaziland,2002,19479.294
Swaziland,2003,26110.296
Swaziland,2004,35032.256
Swaziland,2005,40871.754
Swaziland,2006,41375.361
Swaziland,2007,46534.057
Swaziland,2008,79621.101
Swaziland,2009,104457.342
Swaziland,2010,131246.28
Swaziland,2011,133337.49
Swaziland,2012,222808.285
Swaziland,2013,259898.912
Sweden,1990,51353.01
Sweden,1991,103408.5
Sweden,1993,148215.537
Sweden,1994,298545.33
Sweden,1995,450173.889
Sweden,1996,795689.82
Sweden,1997,2096516.694
Sweden,1998,2965076.29
Sweden,1999,3667159.836
Sweden,2000,4054553.813
Sweden,2001,4608107.28
Sweden,2002,6301020.348
Sweden,2003,7085959.139
Sweden,2004,7545572.509
Sweden,2005,7657077.056
Sweden,2006,7972683.39
Sweden,2007,7501435.44
Sweden,2008,8297673.3
Sweden,2009,8461648.65
Sweden,2010,8440313.4
Sweden,2011,8504291.7
Sweden,2012,8833979.072
Sweden,2013,8947553.228
Switzerland,1990,40293.114
Switzerland,1991,81599.736
Switzerland,1993,152641.83
Switzerland,1994,188832.465
Switzerland,1995,253464.732
Switzerland,1996,318233.25
Switzerland,1997,1070424.806
Switzerland,1998,1763280.248
Switzerland,1999,2428956.94
Switzerland,2000,3383781.75
Switzerland,2001,3983649.554
Switzerland,2002,4472838.342
Switzerland,2003,4777689.651
Switzerland,2004,5010165.75
Switzerland,2005,5213417.615
Switzerland,2006,5665338.038
Switzerland,2007,5829462.324
Switzerland,2008,6056958.6
Switzerland,2009,6295734.603
Switzerland,2010,6565098.651
Switzerland,2011,6638501.922
Switzerland,2012,6813325.572
Switzerland,2013,6892122.792
Syria,1998,15591.261
Syria,1999,15995.76
Syria,2000,32742.416
Syria,2001,66803.936
Syria,2002,356888.196
Syria,2003,588148.184
Syria,2004,760068.516
Syria,2005,1017372.552
Syria,2006,1466783.292
Syria,2007,2249569.855
Syria,2008,2848447.84
Syria,2009,3638457.458
Syria,2010,4457257.929
Syria,2011,4546066.932
Syria,2012,5039832.15
Syria,2013,5551468.65
Tajikistan,1992,99417.726
Tajikistan,2001,6289.34
Tajikistan,2002,6404.118
Tajikistan,2003,6529.609
Tajikistan,2004,6663.929
Tajikistan,2005,20416.965
Tajikistan,2006,264271.836
Tajikistan,2007,511993.8
Tajikistan,2008,640222.176
Tajikistan,2009,752186.996
Tajikistan,2010,884769.816
Tajikistan,2011,906522.6
Tajikistan,2012,1041168.7
Tajikistan,2013,1190135.93
Tanzania,1992,108944.396
Tanzania,1999,33183.093
Tanzania,2000,34020.512
Tanzania,2001,69790.796
Tanzania,2002,71612.994
Tanzania,2003,257325.817
Tanzania,2004,339886.251
Tanzania,2005,427068.224
Tanzania,2006,519250.511
Tanzania,2007,657915.088
Tanzania,2008,804722.01
Tanzania,2009,1047354.048
Tanzania,2010,1304226.57
Tanzania,2011,1344283.603
Tanzania,2012,1672408.745
Tanzania,2013,1970125.04
Thailand,1992,1095559.019
Thailand,1995,58983.954
Thailand,1996,59562.136
Thailand,1997,240827.764
Thailand,1998,669933.462
Thailand,1999,1478955.432
Thailand,2000,2306705.023
Thailand,2001,3531867.92
Thailand,2002,4784838.075
Thailand,2003,5997415.434
Thailand,2004,6964351.8
Thailand,2005,9833923.05
Thailand,2006,11332041.29
Thailand,2007,13215385.4
Thailand,2008,12045731.88
Thailand,2009,13321744.34
Thailand,2010,14874118.78
Thailand,2011,14913098.37
Thailand,2012,15828045.24
Thailand,2013,17757783.03
Togo,1992,87678.008
Togo,1997,9008.582
Togo,1998,13862.13
Togo,1999,28445.844
Togo,2000,38918.024
Togo,2001,44930.025
Togo,2002,51236.74
Togo,2003,63107.472
Togo,2004,80967.765
Togo,2005,99723.852
Togo,2006,113716.9
Togo,2007,128365.732
Togo,2008,143699.784
Togo,2009,159755.882
Togo,2010,189180.42
Togo,2011,194169.12
Togo,2012,232502.48
Togo,2013,272679.28
Tonga,1992,1431.645
Tonga,1995,95.928
Tonga,1996,192.436
Tonga,1997,482.87
Tonga,1998,775.928
Tonga,1999,974.57
Tonga,2000,2351.088
Tonga,2001,2758.112
Tonga,2002,2873.407
Tonga,2003,2990.73
Tonga,2004,4012.76
Tonga,2005,4947.04
Tonga,2006,5995.403
Tonga,2007,7364.808
Tonga,2008,8338.707
Tonga,2009,10355.7
Tonga,2010,16655.68
Tonga,2011,16728.64
Tonga,2012,26235.25
Tonga,2013,36757.727
Trinidad and Tobago,1992,18562.29
Trinidad and Tobago,1995,2510.002
Trinidad and Tobago,1996,5033.46
Trinidad and Tobago,1997,15128.124
Trinidad and Tobago,1998,34088.688
Trinidad and Tobago,1999,73357.298
Trinidad and Tobago,2000,97634.46
Trinidad and Tobago,2001,195941.438
Trinidad and Tobago,2002,281099.06
Trinidad and Tobago,2003,333805.68
Trinidad and Tobago,2004,348402.33
Trinidad and Tobago,2005,376110.57
Trinidad and Tobago,2006,391043.4
Trinidad and Tobago,2007,423142.92
Trinidad and Tobago,2008,458124.252
Trinidad and Tobago,2009,585875.474
Trinidad and Tobago,2010,644126.075
Trinidad and Tobago,2011,646544.77
Trinidad and Tobago,2012,738266.328
Trinidad and Tobago,2013,797984.845
Tunisia,1992,110368.7
Tunisia,1998,9333.3
Tunisia,1999,151294.4
Tunisia,2000,267470
Tunisia,2001,414975.8
Tunisia,2002,516691.7
Tunisia,2003,639587
Tunisia,2004,844254
Tunisia,2005,972813
Tunisia,2006,1316627
Tunisia,2007,1748492.1
Tunisia,2008,2840447.5
Tunisia,2009,3559903.6
Tunisia,2010,3881332.8
Tunisia,2011,3927958.4
Tunisia,2012,4214002.5
Tunisia,2013,4507011
Turkey,1992,502336.575
Turkey,1995,58522.32
