Entity,Year,Share of agriculture in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of services in GDP at current prices (Herrendorf et al. data),Number of people employed in agriculture  (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in services (Herrendorf et al. data)
Sweden,1857,36.73,21.11,42.15,992546.645,204836.9784,206613.0107
Sweden,1858,38.94,19.77,41.29,1019169.198,204667.5391,214072.4422
Sweden,1859,37.97,20.54,41.5,1033733.698,220366.979,214893.4852
Sweden,1860,36.99,21.05,41.96,1038088.109,232924.9064,216453.8788
Sweden,1861,38.38,19.25,42.36,1036222.432,238022.7136,223444.2053
Sweden,1862,37.16,20.68,42.15,1013372.76,233388.9906,224485.4693
Sweden,1863,38.15,20.72,41.13,1042558.362,245587.1813,229761.3184
Sweden,1864,36.58,21.72,41.7,1044893.669,266905.1054,240286.5726
Sweden,1865,35.72,21.4,42.89,1061723.866,271458.6146,233824.2271
Sweden,1866,35.97,21.46,42.57,1047317.584,271874.0431,236992.2851
Sweden,1867,38.69,20.37,40.94,1062745.96,263977.0589,235306.7308
Sweden,1868,37.78,19.99,42.22,1005346.821,256295.303,236046.0009
Sweden,1869,39.8,19.74,40.46,1038368.235,266886.2333,242914.8919
Sweden,1870,40.68,19.61,39.71,1087476.746,280677.4378,246055.874
Sweden,1871,40.52,19.44,40.04,1091748.663,291766.7254,252357.312
Sweden,1872,39.03,21.33,39.64,1096117.249,294898.1509,251821.2486
Sweden,1873,36.73,23.26,40.01,1100452.339,335759.6172,252970.4004
Sweden,1874,36.39,24.56,39.05,1104654.621,356322.4339,257692.1389
Sweden,1875,36.2,24.04,39.76,1108484.796,348653.099,263384.2911
Sweden,1876,36.66,23.48,39.86,1112051.65,379090.0603,278670.7244
Sweden,1877,35.87,24,40.12,1115879.328,389049.2256,288328.1158
Sweden,1878,37.2,22.76,40.04,1119287.845,422226.094,305982.7441
Sweden,1879,38.13,21.62,40.25,1123244.243,434419.4956,313587.2308
Sweden,1880,36.49,22.81,40.7,1127084.772,397167.1247,315186.1901
Sweden,1881,36.28,23.05,40.67,1124352.062,404550.9224,318296.1158
Sweden,1882,36.84,22.55,40.61,1121342.138,365719.2268,318239.167
Sweden,1883,37.22,21.74,41.04,1119577.294,401068.7964,323297.211
Sweden,1884,34.85,23.61,41.54,1118272.361,384193.9201,326982.6662
Sweden,1885,35.03,23.16,41.81,1117235.862,425245.5917,332054.9499
Sweden,1886,33.02,24.79,42.2,1115347.139,476603.6907,342447.8044
Sweden,1887,32.75,23.99,43.26,1112178.93,432844.4713,341957.3854
Sweden,1888,32,24.86,43.15,1108623.165,440000.9156,344194.2447
Sweden,1889,30.95,26.23,42.82,1106844.316,454071.0651,347899.2241
Sweden,1890,30.87,25.62,43.51,1104386.416,444738.8861,350160.1526
Sweden,1891,33.18,24.22,42.6,1102416.498,431186.4941,353143.6557
Sweden,1892,33.36,24.64,42,1099825.19,443481.6566,360618.4892
Sweden,1893,32.79,25.27,41.94,1097665.121,448168.5118,365937.9685
Sweden,1894,31.71,26.9,41.39,1097145.931,455866.3289,370319.1795
Sweden,1895,29.93,28.89,41.18,1095930.13,502190.4533,379484.5381
Sweden,1896,29.95,29.06,40.99,1094438.033,476183.4082,381846.8647
Sweden,1897,28.78,30.72,40.49,1093579.302,525125.8365,389979.8839
Sweden,1898,28.67,29.67,41.66,1092754.477,536108.9148,393784.7804
Sweden,1899,28.59,29.89,41.52,1091614.925,563677.5098,401475.646
Sweden,1900,27.64,30.94,41.42,1089129.469,582412.1725,410966.686
Sweden,1901,28.27,30.25,41.48,1081737.499,571783.76,414333.4886
Sweden,1902,26.9,30.69,42.41,1072822.16,569865.1619,429524.3751
Sweden,1903,25.97,31.77,42.27,1063764.923,617692.3447,441255.67
Sweden,1904,25.42,31.96,42.62,1055527.862,623598.6432,446245.1313
Sweden,1905,23.3,33.4,43.31,1047198.753,642310.1774,457625.9502
Sweden,1906,23.64,33.79,42.57,1038571.983,651679.7097,455658.6239
Sweden,1907,24.66,31.89,43.46,1029974.309,627357.0417,455815.8897
Sweden,1908,25.88,31.12,43.01,1025798.24,613385.6648,464476.1691
Sweden,1909,26.61,29.43,43.96,1022593.321,616562.8839,477930.2277
Sweden,1910,25.8,31.68,42.52,1014042.884,624215.4802,483290.894
Sweden,1911,24.14,33.41,42.45,1011133.288,656649.7242,495011.1496
Sweden,1912,24.51,32.68,42.81,1007969.316,675413.9351,499384.104
Sweden,1913,25.07,33.33,41.59,1004187.221,709367.9019,517874.7793
Sweden,1914,23.68,33.74,42.58,1001257.265,720829.3934,516661.3387
Sweden,1915,24.77,30.44,44.79,998446.945,709502.125,543213.8095
Sweden,1916,25.38,32.05,42.56,995969.3323,717628.7972,551054.6949
Sweden,1917,25,33.72,41.28,995559.8046,704644.5882,548169.4785
Sweden,1918,25.38,30.33,44.29,994435.8484,711563.3031,593228.1703
Sweden,1919,24.75,29.69,45.56,992434.729,737143.0831,619370.2232
Sweden,1920,22.09,30.81,47.09,989865.5053,758713.6078,641360.2613
Sweden,1921,20.14,30.59,49.26,980042.8862,704705.1127,597264.7231
Sweden,1922,19.07,31.26,49.66,969797.9863,708143.6351,637343.5517
Sweden,1923,17.04,31.75,51.21,962957.4735,730484.9746,670993.3533
Sweden,1924,16.64,31.72,51.63,956587.809,775312.2014,654816.0278
Sweden,1925,15.97,32.22,51.81,949777.3414,833520.2027,654035.6083
Sweden,1926,16.17,32.07,51.77,947277.831,834773.9522,696295.467
Sweden,1927,15.21,32.25,52.54,946072.9254,842709.3952,721572.3563
Sweden,1928,14.95,32.28,52.77,943097.9491,892174.0883,743960.6689
Sweden,1929,14.56,33.41,52.02,941182.9851,905940.9577,780563.6872
Sweden,1930,13.02,34.41,52.57,938712.567,965612.7261,818361.964
Sweden,1931,12.79,32.18,55.03,916700.239,921353.0149,820095.6277
Sweden,1932,11.58,31.71,56.71,900921.175,867641.7649,816095.4533
Sweden,1933,13.24,31.25,55.51,890592.0142,840885.0336,820808.0566
Sweden,1934,12.36,33.93,53.7,901675.791,917284.3024,831277.6308
Sweden,1935,12.72,35.1,52.18,902058.2281,982578.8377,848563.7168
Sweden,1936,13.17,36.37,50.47,898458.8263,1035609.967,870956.9713
Sweden,1937,13.18,37.48,49.35,887236.1495,1065179.388,888730.9054
Sweden,1938,12.1,38.81,49.09,884169.5164,1094135.248,916137.8972
Sweden,1939,11.46,38.17,50.38,873846.5419,1141761.449,944726.2836
Sweden,1940,11.51,36.35,52.14,853515.3207,1040321.669,985720.204
Sweden,1941,11.84,37.79,50.37,819354.4061,1032153.658,978500.3027
Sweden,1942,11.63,39.13,49.24,784944.2311,1104812.61,1016136.18
Sweden,1943,11.97,39.79,48.24,750736.5479,1142832.463,1058333.635
Sweden,1944,12.36,39.49,48.15,746217.5227,1161252.089,1051927.815
Sweden,1945,11.91,41.23,46.86,739857.3553,1221960.615,1041923.576
Sweden,1946,11.68,41.22,47.1,710892.6587,1265713.051,1074602.781
Sweden,1947,11.03,41.03,47.94,694151.9389,1302566.621,1108410.714
Sweden,1948,9.65,42.63,47.72,679245.3645,1291968.825,1131937.295
Sweden,1949,9.92,42.05,48.02,667745.6205,1291057.342,1141850.262
Sweden,1950,11.26,42.46,46.28,644945.6123,1301433.875,1152920.512
Sweden,1951,11.43,45.91,42.66,625013.3693,1317648.112,1170048.519
Sweden,1952,14.14,41.65,44.21,604885.3403,1333953.536,1187281.123
Sweden,1953,10.9,42.65,46.45,584561.5253,1350350.149,1204618.326
Sweden,1954,10.84,43,46.16,564041.9243,1366837.95,1222060.126
Sweden,1955,9.98,42.88,47.15,543326.5373,1383416.938,1239606.525
Sweden,1956,10.12,42.55,47.33,522415.3643,1400087.115,1257257.521
Sweden,1957,8.8,42.75,48.46,501308.4053,1416848.479,1275013.115
Sweden,1958,8.43,42.55,49.02,480005.6604,1433701.032,1292873.308
Sweden,1959,7.37,43.05,49.58,458507.1294,1450644.772,1310838.098
Sweden,1960,7.57,43.22,49.21,436812.8124,1467679.701,1328907.487
Sweden,1961,7.5,42.96,49.54,419537.0227,1472896.216,1371946.761
Sweden,1962,7.08,43.52,49.4,401845.2203,1477941.261,1415573.518
Sweden,1963,6.16,43.24,50.59,383737.1554,1482814.734,1459788.111
Sweden,1964,6.34,43.37,50.28,365212.578,1487516.53,1504590.892
Sweden,1965,6.02,43.1,50.88,346271.2381,1492046.547,1549982.215
Sweden,1966,5.38,41.96,52.66,331559.1451,1466526.18,1593054.675
Sweden,1967,5.06,40.97,53.97,316827.9333,1440971.697,1636180.37
Sweden,1968,4.35,40.22,55.44,302077.6145,1415383.118,1679359.268
Sweden,1969,3.92,40.64,55.44,287308.1999,1389760.463,1722591.337
Sweden,1970,3.94,40.84,55.22,272519.731,1364103.903,1765876.739
Sweden,1971,4.17,39.42,56.41,256776.9828,1294871.598,1827728.4
Sweden,1972,3.65,38.89,57.45,241035.4132,1283065.957,1854155.859
Sweden,1973,3.47,39.49,57.04,227589.1952,1292207.747,1858458.296
Sweden,1974,4.21,40.59,55.2,224695.2346,1306320.117,1905997.743
Sweden,1975,4.07,40.12,55.81,217433.7295,1311516.68,1968584.605
Sweden,1976,4.09,38.53,57.38,208491.509,1300464.926,2004425.932
Sweden,1977,3.73,36.11,60.16,202055.0843,1253447.262,2033133.524
Sweden,1978,3.36,34.54,62.1,202291.6192,1225807.322,2055288.15
Sweden,1979,2.97,34.78,62.25,197791.3277,1224482.806,2097238.688
Sweden,1980,3.03,34.33,62.63,193126.4643,1234498.501,2146016.802
Sweden,1981,3.09,32.78,64.14,186188.0301,1205297.9,2174793.714
Sweden,1982,3.07,32.61,64.32,182868.85,1168561.862,2195356.037
Sweden,1983,3.11,32.9,64,179142.3881,1140081.73,2215431.858
Sweden,1984,3.06,33.87,63.08,177255.771,1137541.97,2255413.946
Sweden,1985,2.96,33.91,63.12,173318.7736,1147944.132,2287181.628
Sweden,1986,2.81,33.69,63.5,168813.5274,1148883.716,2309236.261
Sweden,1987,2.66,33.51,63.83,151784.5373,1148011.798,2321866.558
Sweden,1988,2.53,33.28,64.19,149660.0656,1163677.273,2354506.148
Sweden,1989,2.52,33.44,64.04,142579.4284,1164233.915,2416748.034
Sweden,1990,2.31,32.28,65.41,141013.3825,1137705.364,2449109.317
Sweden,1991,1.96,30.77,67.27,134815.0989,1083831.636,2438320.888
Sweden,1992,1.84,29.8,68.36,130193.3119,989859.8143,2359637.904
Sweden,1993,1.66,28.71,69.63,127231.1149,921355.8318,2274562.053
Sweden,1994,1.73,30.06,68.21,123936.7859,902824.5883,2264792.596
Sweden,1995,1.77,31.55,66.69,121179.5891,946629.3936,2277213.499
Sweden,1996,1.6,30.84,67.56,115236.5415,937601.211,2265450.474
Sweden,1997,1.56,30.95,67.49,105946.8493,931080.3122,2238324.23
Sweden,1998,1.47,31.31,67.22,102470.2138,951722.6559,2276247.291
Sweden,1999,1.39,30.99,67.62,101532.4798,957059.0287,2342329.872
Sweden,2000,1.24,30.62,68.13,104664.4624,970672.1718,2409028.029
Sweden,2001,1.25,30.04,68.71,96983.90142,996631.5136,2463660.855
Sweden,2002,1.21,29.87,68.92,94548.48618,983320.2406,2481027.801
Sweden,2003,1.2,29.54,69.26,88718.0147,963108.8426,2486816.446
Sweden,2004,1.18,29.96,68.86,85408.6714,937055.3785,2491065.256
Sweden,2005,0.74,30.04,69.21,81990.1949,936932.9377,2504327.721
Sweden,2006,0.88,30.11,69.01,80378.69562,946252.0871,2555759.485
Sweden,2007,1.04,30.13,68.83,78483.63752,978322.0307,2608217.754
Sweden,2008,1.08,28.64,70.28,80099.34667,999326.1477,2618813.215
Sweden,2009,0.99,26.39,72.63,79503.29811,935977.6594,2593643.566
Sweden,2010,1.07,28.9,70.03,81300.68337,937324.7601,2634246.044
United Kingdom,1801,31.6,32.6,35.8,1426000,1725000,1474000
United Kingdom,1811,36,21,43,,,
United Kingdom,1821,26,32,42,,,
United Kingdom,1831,24,35,41,,,
United Kingdom,1841,24.3,34.1,41.6,1539000,3057000,2687000
United Kingdom,1851,19.3,31.9,48.8,1539000,3059000,2310000
United Kingdom,1861,,,,3520000,5365000,4205000
United Kingdom,1871,,,,3120000,5960000,4970000
United Kingdom,1881,,,,2860000,6470000,5730000
United Kingdom,1891,,,,2620000,7260000,6780000
United Kingdom,1901,,,,2420000,8200000,8060000
United Kingdom,1911,,,,2400000,8990000,9000000
United Kingdom,1920,6.15,42.5,51.35,1741000,9645000,8911000
United Kingdom,1921,6.31,36.75,56.94,1669000,7948000,8291000
United Kingdom,1922,5.71,39.83,54.45,1620000,8120000,8135000
United Kingdom,1923,5.12,41.53,53.35,1571000,8384000,8151000
United Kingdom,1924,4.86,41.67,53.47,1582000,8539000,8257000
United Kingdom,1925,4.46,39.2,56.33,1576000,8555000,8457000
United Kingdom,1926,4.64,38.22,57.14,1552000,8413000,8628000
United Kingdom,1927,3.91,39.99,56.1,1523000,8776000,8837000
United Kingdom,1928,4.06,38.88,57.07,1511000,8699000,8994000
United Kingdom,1929,3.93,38.65,57.42,1502000,8812000,9165000
United Kingdom,1930,4.08,36.09,59.83,1460000,8365000,9290000
United Kingdom,1931,4.04,35.92,60.04,1425000,7863000,9377000
United Kingdom,1932,4.02,35.91,60.06,1413000,7818000,9522000
United Kingdom,1933,4.5,37.02,58.48,1413000,8063000,9660000
United Kingdom,1934,4.55,37.66,57.8,1394000,8448000,9843000
United Kingdom,1935,4.2,38.41,57.39,1370000,8661000,10006000
United Kingdom,1936,4.29,40.08,55.63,1335000,9095000,10240000
United Kingdom,1937,3.53,41.24,55.23,1313000,9525000,10526000
United Kingdom,1938,3.57,39.6,56.83,1272000,9431000,10715000
United Kingdom,1948,,,,1371840.521,10574933.62,12463269.33
United Kingdom,1949,,,,1368419.473,10690912.31,12434575.01
United Kingdom,1950,,,,1352454.579,10834051.12,12507840.66
United Kingdom,1951,,,,1317103.742,11026674.53,12626712.83
United Kingdom,1952,,,,1288595.003,10940487.26,12771666.21
United Kingdom,1953,,,,1264647.663,11073870.36,12782608.78
United Kingdom,1954,,,,1252103.817,11290504.78,12902461.22
United Kingdom,1955,,,,1246402.07,11499188.33,12985122.25
United Kingdom,1956,,,,1211051.233,11563987.91,13154924.55
United Kingdom,1957,,,,1204209.136,11560033.2,13155152.94
United Kingdom,1958,,,,1187103.892,11371060.26,13095380.1
United Kingdom,1959,,,,1177981.096,11405188.69,13217870.44
United Kingdom,1960,4.24,49.02,46.74,1157454.804,11662121.45,13338435.8
United Kingdom,1961,4.2,48.4,47.41,1120963.618,11777130.7,13505129.28
United Kingdom,1962,4.17,47.6,48.24,1082191.733,11669904.89,13703914.54
United Kingdom,1963,3.91,47.09,49,1073068.936,11541441.24,13847153.88
United Kingdom,1964,3.73,47.79,48.48,1030876.003,11730118.8,13923781.5
United Kingdom,1965,3.57,47.42,49,972718.1751,11827002.35,14051218.4
United Kingdom,1966,3.54,46.74,49.72,935265.9245,11811130.64,14175939.58
United Kingdom,1967,3.5,45.87,50.62,900934.6948,11428006.81,14218136.85
United Kingdom,1968,3.31,45.5,51.19,871805.1665,11224487.52,14244701.61
United Kingdom,1969,3.39,45.65,50.96,835393.2562,11198603.94,14241741.84
United Kingdom,1970,3.19,45.82,50.99,801062.0265,11000935.16,14405128.33
United Kingdom,1971,3.29,44.76,51.95,764439.2076,10779494.76,14576807.47
United Kingdom,1972,3.15,44.22,52.63,756799.9969,10527157.17,14839211.99
United Kingdom,1973,3.46,44.37,52.16,768303.0982,10668961.53,15221670.22
United Kingdom,1974,3.17,42.94,53.89,735608.3836,10625042.39,15330360.41
United Kingdom,1975,3.08,41.63,55.29,708163.6888,10236469.77,15694532.96
United Kingdom,1976,3.21,41.41,55.38,700817.8681,9991972.887,15756251.63
United Kingdom,1977,2.96,43.45,53.59,694235.9684,9994326.452,15817703.61
United Kingdom,1978,2.77,44.01,53.22,680883.9567,9769007.783,15763101.98
United Kingdom,1979,2.61,44.87,52.52,665667.5347,9753450.952,16115475.04
United Kingdom,1980,2.44,44.12,53.44,670837.841,9466027.813,16281595.49
United Kingdom,1981,2.53,43.28,54.19,677300.1704,8641485.797,16036622.18
United Kingdom,1982,2.63,43.41,53.96,675547.5805,8199975.829,15975495.75
United Kingdom,1983,2.3,43.13,54.57,671863.0453,7824654.21,15940571.78
United Kingdom,1984,2.63,43.05,54.33,694933.4616,7776214.275,16360739.01
United Kingdom,1985,2.2,43.02,54.78,661113.9008,7710460.867,16509073.56
United Kingdom,1986,2.3,39.36,58.34,649640.692,7503615.083,16619392.64
United Kingdom,1987,2.27,39.98,57.75,643500.5381,7524221.983,16933930.03
United Kingdom,1988,2.03,38.85,59.13,664045.5863,7644564.436,17526001.66
United Kingdom,1989,2.16,38.73,59.11,641803.3047,7849759.954,17882654.3
United Kingdom,1990,2.15,37.26,60.59,633659.2418,7741974.756,18202283.41
United Kingdom,1991,2.05,34.6,63.35,651621.3512,7108901.206,18000806.85
United Kingdom,1992,2.08,33.18,64.74,636011.8973,6680303.547,18083229.74
United Kingdom,1993,2.16,32.51,65.33,626255.8503,6322228.394,17870620.47
United Kingdom,1994,2.1,33.14,64.76,607527.6056,6303142.404,18027678.61
United Kingdom,1995,2.19,33.69,64.11,571000,6364875.429,18206811.79
United Kingdom,1996,2.03,33.61,64.36,581000,6333495.599,18470219.1
United Kingdom,1997,1.63,32.99,65.37,596000,6361202.401,18852356.87
United Kingdom,1998,1.43,31.53,67.04,565000,6422004.697,18986590.94
United Kingdom,1999,1.34,30.64,68.01,522000,6259334.834,19475554.58
United Kingdom,2000,1.21,30.49,68.3,490000,6147598.14,19928105.97
United Kingdom,2001,1.13,29.57,69.3,465000,6023851.384,20278627.82
United Kingdom,2002,1.14,27.62,71.24,462000,5847906.191,20689312.85
United Kingdom,2003,1.17,26.42,72.4,464000,5726752.765,21044788.48
United Kingdom,2004,1.14,25.78,73.09,475000,5628674.517,21397277.69
United Kingdom,2005,1.08,25.24,73.68,499000,5544965.736,21762584.88
United Kingdom,2006,1.05,25.03,73.91,485000,5490047.311,22068564.52
United Kingdom,2007,1.11,24.71,74.18,487000,5478726.253,22164263.98
United Kingdom,2008,1.27,24.09,74.64,509000,5316355.201,22322972.69
United Kingdom,2009,1.17,22.93,75.9,525000,4958757.834,22054919.89
United Kingdom,2010,1.17,23.49,75.34,548459.5799,5284408.601,22734404.29
United Kingdom,2011,1.24,23.99,74.77,596247.613,5513972.627,23088919.75
United States,1839,42.63,19.37,38,,,
United States,1840,,,,3570000,822000,1268000
United States,1849,36.03,24.97,39,,,
United States,1850,,,,4520000,1712000,2018000
United States,1859,34.29,24.71,41,,,
United States,1860,,,,5880000,2226000,3004000
United States,1869,33.09,29.91,37,,,
United States,1870,,,,6790000,3430000,2710000
United States,1879,28.42,29.58,42,,,
United States,1880,,,,8920000,4470000,4000000
United States,1889,18.97,35.03,46,,,
United States,1890,,,,9960000,6340000,7020000
United States,1899,17.66,35.34,47,,,
United States,1900,,,,11680000,8197000,9193000
United States,1909,17.9,32.34,49.76,,,
United States,1910,17.64,33.15,49.21,11770000,11349000,14361000
United States,1911,16.08,32.97,50.95,,,
United States,1912,16.54,33.65,49.81,,,
United States,1913,15.27,33.4,51.34,,,
United States,1914,15.23,31.43,53.35,,,
United States,1915,15.75,31.53,52.72,,,
United States,1916,16.18,36.11,47.71,,,
United States,1917,18.84,35.4,45.76,,,
United States,1918,19.55,35.22,45.23,,,
United States,1919,16.48,31.53,51.99,,,
United States,1920,11.88,33.61,54.51,10790000,13603000,17217000
United States,1921,9.18,28,62.82,,,
United States,1922,9.53,28.39,62.08,,,
United States,1923,9.23,31.68,59.09,,,
United States,1924,9.7,29.93,60.37,,,
United States,1925,10.21,30.4,59.39,,,
United States,1926,9.1,30.96,59.94,,,
United States,1927,9.16,29.77,61.06,,,
United States,1928,8.79,29.67,61.54,,,
United States,1929,9.94,33.83,56.23,8627000,13879000,23100000
United States,1930,8.67,32.72,58.61,8441000,12557000,22509000
United States,1931,8.75,28.55,62.71,8471000,10805000,21208000
United States,1932,8.2,24.15,67.65,8370000,9091000,19581000
United States,1933,9.42,25.12,65.46,8438000,9380000,19715000
United States,1934,8.53,29.17,62.3,8523000,10758000,21599000
United States,1935,11.53,29.78,58.69,8651000,11373000,22364000
United States,1936,8.9,32.43,58.67,8544000,12429000,24472000
United States,1937,10.31,33.87,55.82,8367000,13417000,24848000
United States,1938,8.89,29.74,61.37,8066000,11812000,24901000
United States,1939,8.29,32.34,59.38,7810000,12820000,25492000
United States,1940,7.54,35.16,57.3,7589000,13915000,26509000
United States,1941,8.06,39.75,52.18,7486000,16738000,28379000
United States,1942,9.15,40.92,49.93,7341000,19310000,30770000
United States,1943,8.71,39.99,51.31,7154000,20677000,35249000
United States,1944,8.25,37.76,53.99,6931000,19769000,37552000
United States,1945,8.57,33.61,57.83,6766000,17915000,37958000
United States,1946,9.99,33.12,56.89,6713000,18133000,32121000
United States,1947,8,31.3,60.8,6657000,19371000,31232000
United States,1948,8.4,32.7,58.9,6625000,20294000,31314000
United States,1949,6.8,31.8,61.1,6440000,18888000,31520000
United States,1950,6.6,33.7,59.9,6402000,19880000,32245000
United States,1951,6.6,34.4,58.9,6022000,21265000,35004000
United States,1952,6,34,60,5879000,21454000,36045000
United States,1953,5.1,34.7,60,5696000,22088000,36381000
United States,1954,5,33.3,61.8,5713000,20605000,35920000
United States,1955,4.4,34.3,61.4,5525000,21150000,36600000
United States,1956,4.1,34.1,61.8,5251000,21574000,37601000
United States,1957,3.9,33.7,62.4,5010000,21471000,38197000
United States,1958,4.3,31.6,64,4848000,19778000,38032000
United States,1959,3.6,32.3,64.1,4704000,20646000,38786000
United States,1960,3.7,31.6,64.7,4531000,20710000,39788000
United States,1961,3.6,30.7,65.7,4442000,20221000,40118000
United States,1962,3.4,31.2,65.5,4310000,20865000,40959000
United States,1963,3.2,31.2,65.6,4079000,21042000,41580000
United States,1964,2.9,31.3,66,3862000,21376000,42685000
United States,1965,3,31.7,65.3,3713000,22449000,44018000
United States,1966,2.9,32.1,65.2,3432000,23737000,46188000
United States,1967,2.7,31.1,66.2,3338000,23924000,47933000
United States,1968,2.5,31,66.3,3303000,24344000,49343000
United States,1969,2.6,30.3,67,3193000,24939000,50807000
United States,1970,2.5,28.9,68.6,3118000,23985000,51239000
United States,1971,2.5,28.2,69.4,3065000,23214000,51728000
United States,1972,2.7,28.1,69.2,3116000,23943000,52870000
United States,1973,3.7,28.2,68.1,3181000,25347000,54846000
United States,1974,3.2,28,68.7,3255000,25321000,56114000
United States,1975,3,27.3,69.9,3191000,23113000,56603000
United States,1976,2.7,27.9,69.3,3210000,24030000,57992000
United States,1977,2.5,28.5,69.1,3105000,25123000,59970000
United States,1978,2.5,28.4,69.1,3158000,26614000,62886000
United States,1979,2.7,28.7,68.6,3183000,27534000,65022000
United States,1980,2.2,28.3,69.5,3275000,26633000,65996000
United States,1981,2.4,28.3,69.3,3260000,26509000,67030000
United States,1982,2.1,26.7,71.3,3140000,24618000,67050000
United States,1983,1.6,25.8,72.6,3166000,24246000,68223000
United States,1984,1.9,26,72,3074000,25740000,71299000
United States,1985,1.8,25.1,73.1,2889000,25865000,73625000
United States,1986,1.6,23.9,74.5,2869000,25675000,75547000
United States,1987,1.6,23.9,74.5,2932000,25812000,78288000
United States,1988,1.5,24,74.5,2988000,26411000,80766000
United States,1989,1.6,23.7,74.9,2940000,26498000,83470000
United States,1990,1.6,22.9,75.4,2930000,26217000,84959000
United States,1991,1.4,21.9,76.7,2964000,25068000,84826000
United States,1992,1.5,21.3,77.1,2883000,24506000,85244000
United States,1993,1.3,21.2,77.6,2935000,24768000,87192000
United States,1994,1.4,21.2,77.4,2995000,25350000,89408000
United States,1995,1.2,21.4,77.5,3210000,25748000,91720000
United States,1996,1.4,21.2,77.4,3154000,25976000,93668000
United States,1997,1.3,21.2,77.6,3132000,26468000,96070000
United States,1998,1.1,20.9,78,3133000,26949000,98419000
United States,1999,1,20.7,78.4,3171000,27034000,100687000
United States,2000,1,20.7,78.5,3146000,27280000,103217000
United States,2001,0.9,19.7,79.3,2093000,25535000,106231000
United States,2002,0.9,18.9,80.2,2098000,24171000,106259000
United States,2003,1,19.1,79.9,2072000,23522000,106722000
United States,2004,1.2,19.4,79.5,2030000,23753000,107820000
United States,2005,1,19.7,79.4,1992000,24018000,109890000
United States,2006,0.9,20,79.1,2022000,24405000,111891000
United States,2007,1,19.9,79.2,1953000,24140000,113483000
United States,2008,1,19.4,79.5,1945000,23177000,113519000
United States,2009,1,18,80.9,1907000,20154000,109771000
United States,2010,1.1,18,80.8,1923000,19315000,109039000
United States,2011,1.3,18.4,80.4,1962000,19453000,110120000
United States,2012,1.2,18.4,80.5,1919000,19798000,112340000
United States,2013,1.3,18.6,80,1957000,20113000,114099000
United States,2014,1.2,18.8,80.2,1947000,20779000,117508000
United States,2015,1,17.9,81.2,2050000,21105000,118704000
United States,2016,0.9,17.3,81.9,,,
