Entity,Year,Share of services in total exports (WDI)
Libya,1985,0.60317
Libya,1986,1.39442
Libya,1987,1.91396
Libya,1988,2.22128
Libya,1989,1.58960
Libya,1990,1.01921
Libya,1991,0.91359
Libya,1992,0.97322
Libya,1993,0.63806
Libya,1994,0.47464
Libya,1995,0.40742
Libya,1996,0.32229
Libya,1997,0.33589
Libya,1998,0.73737
Libya,1999,0.80541
Libya,2000,1.40868
Libya,2001,1.70087
Libya,2002,3.91143
Libya,2003,3.31832
Libya,2004,2.44653
Libya,2005,1.81738
Libya,2006,1.28813
Libya,2007,0.23067
Libya,2008,0.33415
Libya,2009,1.02831
Libya,2010,0.83109
Libya,2011,0.21047
Libya,2012,0.24878
Libya,2013,0.38941
Lithuania,1993,8.89565
Lithuania,1994,13.69257
Lithuania,1995,15.20432
Lithuania,1996,18.94060
Lithuania,1997,26.61053
Lithuania,1998,30.29882
Lithuania,1999,36.35635
Lithuania,2000,29.89989
Lithuania,2001,26.96346
Lithuania,2002,27.78201
Lithuania,2003,28.50336
Lithuania,2004,25.74143
Lithuania,2005,21.68997
Lithuania,2006,21.56920
Lithuania,2007,21.13080
Lithuania,2008,18.38594
Lithuania,2009,20.95212
Lithuania,2010,18.66410
Lithuania,2011,17.22098
Lithuania,2012,17.59502
Lithuania,2013,18.34264
Lithuania,2014,19.77078
Lithuania,2015,21.22336
Lithuania,2016,23.74619
Low & middle income,1981,100.00000
Low & middle income,1982,13.33099
Low & middle income,1983,13.41588
Low & middle income,1984,13.00031
Low & middle income,1985,14.22590
Low & middle income,1986,16.82557
Low & middle income,1987,15.84582
Low & middle income,1988,16.65933
Low & middle income,1989,16.88391
Low & middle income,1990,17.20110
Low & middle income,1991,17.62247
Low & middle income,1992,18.56730
Low & middle income,1993,19.20788
Low & middle income,1994,18.80963
Low & middle income,1995,18.21321
Low & middle income,1996,18.37057
Low & middle income,1997,23.01425
Low & middle income,1998,22.54543
Low & middle income,1999,21.80782
Low & middle income,2000,19.96511
Low & middle income,2001,20.94297
Low & middle income,2002,21.24193
Low & middle income,2003,15.99758
Low & middle income,2004,16.08943
Low & middle income,2005,14.99145
Low & middle income,2006,14.36157
Low & middle income,2007,14.68857
Low & middle income,2008,14.19431
Low & middle income,2009,15.93268
Low & middle income,2010,14.02703
Low & middle income,2011,13.97566
Low & middle income,2012,13.97427
Low & middle income,2013,14.24580
Low & middle income,2014,14.57126
Low & middle income,2015,16.00248
Low income,1978,100.00000
Low income,1979,100.00000
Low income,1980,100.00000
Low income,1981,99.99999
Low income,1982,100.00001
Low income,1983,100.00000
Low income,1984,99.99999
Low income,1985,100.00000
Low income,1986,100.00001
Low income,1987,100.00000
Low income,1988,100.00000
Low income,1989,100.00000
Low income,1990,100.00000
Low income,1991,100.00000
Low income,1992,100.00000
Low income,1993,100.00000
Low income,1994,100.00000
Low income,1995,100.00000
Low income,1996,100.00000
Low income,1997,100.00000
Low income,1998,100.00000
Low income,1999,100.00000
Low income,2000,100.00000
Low income,2001,100.00000
Low income,2002,100.00000
Low income,2003,100.00000
Low income,2004,100.00000
Low income,2005,29.54038
Low income,2006,29.35355
Low income,2007,28.20046
Low income,2008,29.36713
Low income,2009,30.86875
Low income,2010,26.60533
Low income,2011,27.87450
Low income,2012,25.69848
Low income,2013,25.59207
Low income,2014,25.41992
Lower middle income,1977,99.99999
Lower middle income,1978,99.99999
Lower middle income,1979,100.00000
Lower middle income,1980,100.00000
Lower middle income,1981,14.81723
Lower middle income,1982,17.13980
Lower middle income,1983,18.00401
Lower middle income,1984,16.49081
Lower middle income,1985,18.51780
Lower middle income,1986,22.21617
Lower middle income,1987,20.51869
Lower middle income,1988,21.28604
Lower middle income,1989,20.47388
Lower middle income,1990,20.44723
Lower middle income,1991,21.03751
Lower middle income,1992,22.31344
Lower middle income,1993,22.43516
Lower middle income,1994,22.66498
Lower middle income,1995,22.12882
Lower middle income,1996,23.38701
Lower middle income,1997,23.36002
Lower middle income,1998,22.86703
Lower middle income,1999,23.58501
Lower middle income,2000,21.18431
Lower middle income,2001,22.03069
Lower middle income,2002,22.72664
Lower middle income,2003,21.85119
Lower middle income,2004,23.97150
Lower middle income,2005,22.97379
Lower middle income,2006,23.03017
Lower middle income,2007,23.34178
Lower middle income,2008,22.30544
Lower middle income,2009,24.57049
Lower middle income,2010,23.59369
Lower middle income,2011,21.39107
Lower middle income,2012,22.41767
Lower middle income,2013,22.21994
Lower middle income,2014,22.81123
Lower middle income,2015,25.89770
Luxembourg,1999,66.67183
Luxembourg,2000,70.15740
Luxembourg,2001,68.91704
Luxembourg,2002,69.28987
Luxembourg,2003,70.56944
Luxembourg,2004,71.78494
Luxembourg,2005,73.72870
Luxembourg,2006,74.83446
Luxembourg,2007,76.84773
Luxembourg,2008,74.68806
Luxembourg,2009,76.64624
Luxembourg,2010,76.01793
Luxembourg,2011,75.44434
Luxembourg,2012,77.08808
Luxembourg,2013,78.38301
Luxembourg,2014,80.39884
Luxembourg,2015,84.45079
Luxembourg,2016,85.24278
Macao,2002,65.73389
Macao,2003,66.30002
Macao,2004,72.11836
Macao,2005,75.88549
Macao,2006,78.11150
Macao,2007,82.52132
Macao,2008,87.78639
Macao,2009,93.89612
Macao,2010,96.05190
Macao,2011,96.81365
Macao,2012,96.42967
Macao,2013,96.80408
Macao,2014,96.19916
Macao,2015,94.45061
Macedonia,1996,25.59620
Macedonia,1997,20.01652
Macedonia,1998,30.94559
Macedonia,1999,36.75770
Macedonia,2000,39.34421
Macedonia,2001,40.49909
Macedonia,2002,39.76612
Macedonia,2003,41.30490
Macedonia,2004,37.26341
Macedonia,2005,32.80173
Macedonia,2006,29.76628
Macedonia,2007,29.15660
Macedonia,2008,29.61499
Macedonia,2009,36.84489
Macedonia,2010,27.42860
Macedonia,2011,30.36214
Macedonia,2012,31.55702
Macedonia,2013,32.70264
Macedonia,2014,31.93199
Macedonia,2015,31.08584
Macedonia,2016,29.87763
Madagascar,1974,14.33017
Madagascar,1975,16.25290
Madagascar,1976,12.40487
Madagascar,1977,9.01890
Madagascar,1978,7.92867
Madagascar,1979,15.15327
Madagascar,1980,15.40367
Madagascar,1981,15.63932
Madagascar,1982,13.09895
Madagascar,1983,12.72977
Madagascar,1984,13.65312
Madagascar,1985,16.74792
Madagascar,1986,18.86120
Madagascar,1987,22.71248
Madagascar,1988,29.38686
Madagascar,1989,29.13962
Madagascar,1990,32.49598
Madagascar,1991,30.68132
Madagascar,1992,34.85173
Madagascar,1993,35.88388
Madagascar,1994,31.41883
Madagascar,1995,32.59085
Madagascar,1996,37.56083
Madagascar,1997,49.09157
Madagascar,1998,49.87540
Madagascar,1999,46.07329
Madagascar,2000,49.41491
Madagascar,2001,47.45961
Madagascar,2002,53.86156
Madagascar,2003,44.61037
Madagascar,2004,50.97115
Madagascar,2005,37.55479
Madagascar,2006,41.06817
Madagascar,2007,44.51933
Madagascar,2008,49.55861
Madagascar,2009,44.76072
Madagascar,2010,46.44459
Madagascar,2011,44.30612
Madagascar,2012,46.39975
Madagascar,2013,39.68190
Malawi,1977,6.28571
Malawi,1978,12.18274
Malawi,1979,13.51737
Malawi,1980,10.16548
Malawi,1981,13.81138
Malawi,1982,10.41077
Malawi,1983,10.46440
Malawi,1984,7.97661
Malawi,1985,9.55851
Malawi,1986,7.48449
Malawi,1987,9.27789
Malawi,1988,11.58551
Malawi,1989,10.19494
Malawi,1990,8.27061
Malawi,1991,7.49479
Malawi,1992,6.65285
Malawi,1993,8.62317
Malawi,1994,7.46861
Malawi,1995,5.14510
Malawi,1996,6.70836
Malawi,1997,6.70260
Malawi,1998,5.51990
Malawi,1999,9.89347
Malawi,2000,7.83906
Malawi,2001,9.25487
Malawi,2002,10.47226
Malawi,2003,8.38127
Malawi,2004,9.56772
Malawi,2005,11.05991
Malawi,2006,8.21257
Malawi,2007,8.43716
Malawi,2008,7.26210
Malawi,2009,5.86969
Malawi,2010,6.55084
Malawi,2011,5.37999
Malawi,2012,7.61755
Malawi,2013,7.95658
Malawi,2014,6.66207
Malawi,2015,7.52483
Malaysia,1974,8.14249
Malaysia,1975,9.67456
Malaysia,1976,6.99668
Malaysia,1977,7.46020
Malaysia,1978,7.83954
Malaysia,1979,6.65948
Malaysia,1980,8.05174
Malaysia,1981,10.05207
Malaysia,1982,11.56983
Malaysia,1983,11.82444
Malaysia,1984,10.47216
Malaysia,1985,11.25589
Malaysia,1986,12.67187
Malaysia,1987,11.27854
Malaysia,1988,10.18440
Malaysia,1989,10.38203
Malaysia,1990,11.81384
Malaysia,1991,11.48558
Malaysia,1992,11.13330
Malaysia,1993,12.17783
Malaysia,1994,14.07485
Malaysia,1995,13.91596
Malaysia,1996,16.43008
Malaysia,1997,16.86295
Malaysia,1998,13.80912
Malaysia,1999,12.60151
Malaysia,2000,12.50899
Malaysia,2001,14.23496
Malaysia,2002,13.78345
Malaysia,2003,11.50401
Malaysia,2004,12.03002
Malaysia,2005,12.24007
Malaysia,2006,11.54701
Malaysia,2007,14.14050
Malaysia,2008,13.37171
Malaysia,2009,15.18194
Malaysia,2010,15.61903
Malaysia,2011,15.29200
Malaysia,2012,16.27306
Malaysia,2013,17.22695
Malaysia,2014,16.85351
Malaysia,2015,16.48083
Maldives,1977,50.00000
Maldives,1978,43.75000
Maldives,1979,74.40192
Maldives,1980,80.36810
Maldives,1981,78.79195
Maldives,1982,77.41515
Maldives,1983,74.18514
Maldives,1984,72.66272
Maldives,1985,72.00878
Maldives,1986,67.70084
Maldives,1987,64.21220
Maldives,1988,57.53243
Maldives,1989,57.56363
Maldives,1990,56.44891
Maldives,1991,58.64756
Maldives,1992,70.32295
Maldives,1993,75.29213
Maldives,1994,72.35349
Maldives,1995,73.25243
Maldives,1996,78.33429
Maldives,1997,77.68920
Maldives,1998,77.60144
Maldives,1999,78.93321
Maldives,2000,76.22832
Maldives,2001,76.26146
Maldives,2002,73.26076
Maldives,2003,73.96993
Maldives,2004,73.71994
Maldives,2005,66.63947
Maldives,2006,71.01504
Maldives,2007,87.41846
Maldives,2008,83.17643
Maldives,2009,90.12719
Maldives,2010,90.16154
Maldives,2011,85.86707
Maldives,2012,87.38931
Maldives,2013,88.67754
Maldives,2014,90.92704
Maldives,2015,92.36839
Mali,1975,24.15661
Mali,1976,15.90528
Mali,1977,16.09101
Mali,1978,28.33052
Mali,1979,23.83292
Mali,1980,21.98198
Mali,1981,23.04867
Mali,1982,23.36000
Mali,1983,20.11314
Mali,1984,17.50246
Mali,1985,24.55170
Mali,1986,24.89451
Mali,1987,24.38545
Mali,1988,21.86836
Mali,1989,22.18588
Mali,1990,20.22049
Mali,1991,16.08476
Mali,1992,17.70433
Mali,1993,16.74966
Mali,1994,17.08285
Mali,1995,16.54115
Mali,1996,15.44921
Mali,1997,11.40391
Mali,1998,11.29633
Mali,1999,13.16657
Mali,2000,15.39990
Mali,2001,17.25814
Mali,2002,16.21948
Mali,2003,19.47823
Mali,2004,19.80551
Mali,2005,19.94734
Mali,2006,16.81444
Mali,2007,19.51401
Mali,2008,17.86355
Mali,2009,16.71941
Mali,2010,15.74952
Mali,2011,14.67082
Mali,2012,10.30938
Mali,2013,12.97937
Mali,2014,14.10414
Malta,1971,61.43911
Malta,1972,52.59146
Malta,1973,53.99781
Malta,1974,46.89766
Malta,1975,48.66131
Malta,1976,41.23711
Malta,1977,38.18265
Malta,1978,42.17067
Malta,1979,42.72382
Malta,1980,47.22933
Malta,1981,45.17867
Malta,1982,40.71682
Malta,1983,41.03425
Malta,1984,37.00737
Malta,1985,38.59333
Malta,1986,40.95640
Malta,1987,46.04162
Malta,1988,45.57149
Malta,1989,41.96562
Malta,1990,38.88566
Malta,1991,38.24273
Malta,1992,35.69525
Malta,1993,39.62996
Malta,1994,38.24522
Malta,1995,35.04991
Malta,1996,37.31490
Malta,1997,39.43289
Malta,1998,39.14695
Malta,1999,37.46687
Malta,2000,30.56561
Malta,2001,35.58960
Malta,2002,34.58976
Malta,2003,35.70570
Malta,2004,56.46492
Malta,2005,62.00213
Malta,2006,61.42437
Malta,2007,64.19122
Malta,2008,72.89488
Malta,2009,77.93111
Malta,2010,75.01559
Malta,2011,74.12334
Malta,2012,72.95566
Malta,2013,76.35748
Malta,2014,79.27695
Malta,2015,80.03606
Malta,2016,82.44294
Marshall Islands,2005,29.51309
Marshall Islands,2006,35.25971
Marshall Islands,2007,33.90634
Marshall Islands,2008,32.01486
Marshall Islands,2009,32.80334
Marshall Islands,2010,17.08335
Marshall Islands,2011,13.92187
Marshall Islands,2012,8.49519
Marshall Islands,2013,9.78243
Marshall Islands,2014,14.53254
Mauritania,1975,9.73717
Mauritania,1976,9.66461
Mauritania,1977,12.05056
Mauritania,1978,22.22222
Mauritania,1979,23.59729
Mauritania,1980,22.34189
Mauritania,1981,15.33965
Mauritania,1982,16.44702
Mauritania,1983,8.75211
Mauritania,1984,8.70793
Mauritania,1985,6.79533
Mauritania,1986,5.36311
Mauritania,1987,7.90558
Mauritania,1988,7.45476
Mauritania,1989,6.97942
Mauritania,1990,5.68793
Mauritania,1991,6.68217
Mauritania,1992,4.72089
Mauritania,1993,5.03843
Mauritania,1994,6.11015
Mauritania,1995,5.52873
Mauritania,1996,6.16792
Mauritania,1997,7.61321
Mauritania,1998,8.65294
Mauritania,2012,5.21030
Mauritania,2013,6.56317
Mauritania,2014,12.57645
Mauritania,2015,15.05909
Mauritius,1976,18.78732
Mauritius,1977,23.19334
Mauritius,1978,26.92878
Mauritius,1979,25.27709
Mauritius,1980,24.39301
Mauritius,1981,34.04725
Mauritius,1982,27.74252
Mauritius,1983,26.99479
Mauritius,1984,25.58306
Mauritius,1985,21.09296
Mauritius,1986,20.98454
Mauritius,1987,23.55581
Mauritius,1988,25.29275
Mauritius,1989,26.66166
Mauritius,1990,28.10034
Mauritius,1991,29.65074
Mauritius,1992,30.19927
Mauritius,1993,29.79161
Mauritius,1994,31.48446
Mauritius,1995,33.10157
Mauritius,1996,34.66827
Mauritius,1997,35.83562
Mauritius,1998,35.45470
Mauritius,1999,39.45514
Mauritius,2000,40.80859
Mauritius,2001,42.87298
Mauritius,2002,38.93916
Mauritius,2003,40.27683
Mauritius,2004,42.20777
Mauritius,2005,43.07525
Mauritius,2006,41.78109
Mauritius,2007,49.63172
Mauritius,2008,51.62268
Mauritius,2009,53.59583
Mauritius,2010,54.37389
Mauritius,2011,55.97295
Mauritius,2012,56.26392
Mauritius,2013,49.18435
Mauritius,2014,50.76560
Mauritius,2015,51.64790
Mexico,1979,38.73262
Mexico,1980,25.69581
Mexico,1981,22.86942
Mexico,1982,19.02510
Mexico,1983,18.02182
Mexico,1984,19.85957
Mexico,1985,21.90620
Mexico,1986,26.69782
Mexico,1987,25.55124
Mexico,1988,29.07001
Mexico,1989,30.88863
Mexico,1990,30.26193
Mexico,1991,32.48102
Mexico,1992,33.75066
Mexico,1993,33.20507
Mexico,1994,31.78001
Mexico,1995,23.28709
Mexico,1996,22.00144
Mexico,1997,23.07400
Mexico,1998,8.87197
Mexico,1999,7.78935
Mexico,2000,7.49414
Mexico,2001,7.25776
Mexico,2002,7.21755
Mexico,2003,7.00973
Mexico,2004,6.78511
Mexico,2005,6.83074
Mexico,2006,5.97551
Mexico,2007,5.95568
Mexico,2008,5.70898
Mexico,2009,6.05571
Mexico,2010,4.85029
Mexico,2011,4.26218
Mexico,2012,4.16565
Mexico,2013,5.03682
Mexico,2014,5.03561
Mexico,2015,5.66580
Mexico,2016,6.04876
Micronesia (country),2009,41.51629
Micronesia (country),2010,38.22350
Micronesia (country),2011,35.55878
Micronesia (country),2012,28.77015
Micronesia (country),2013,26.93185
Micronesia (country),2014,30.19363
Middle East & North Africa (IDA & IBRD),1977,100.00000
Middle East & North Africa (IDA & IBRD),1978,100.00000
Middle East & North Africa (IDA & IBRD),1979,100.00000
Middle East & North Africa (IDA & IBRD),1980,100.00000
Middle East & North Africa (IDA & IBRD),1981,100.00000
Middle East & North Africa (IDA & IBRD),1982,100.00000
Middle East & North Africa (IDA & IBRD),1983,100.00000
Middle East & North Africa (IDA & IBRD),1984,100.00000
Middle East & North Africa (IDA & IBRD),1985,100.00000
Middle East & North Africa (IDA & IBRD),1986,100.00000
Middle East & North Africa (IDA & IBRD),1987,100.00000
Middle East & North Africa (IDA & IBRD),1988,99.99999
Middle East & North Africa (IDA & IBRD),1989,100.00001
Middle East & North Africa (IDA & IBRD),1990,100.00000
Middle East & North Africa (IDA & IBRD),1991,100.00000
Middle East & North Africa (IDA & IBRD),1992,100.00000
Middle East & North Africa (IDA & IBRD),1993,100.00000
Middle East & North Africa (IDA & IBRD),1994,100.00000
Middle East & North Africa (IDA & IBRD),1995,100.00000
Middle East & North Africa (IDA & IBRD),1996,100.00000
Middle East & North Africa (IDA & IBRD),1997,100.00000
Middle East & North Africa (IDA & IBRD),1998,100.00000
Middle East & North Africa (IDA & IBRD),1999,100.00001
Middle East & North Africa (IDA & IBRD),2000,100.00000
Middle East & North Africa (IDA & IBRD),2001,100.00000
Middle East & North Africa (IDA & IBRD),2002,100.00000
Middle East & North Africa (IDA & IBRD),2003,100.00001
Middle East & North Africa (IDA & IBRD),2004,100.00000
Middle East & North Africa (IDA & IBRD),2005,23.67646
Middle East & North Africa (IDA & IBRD),2006,22.07908
Middle East & North Africa (IDA & IBRD),2007,22.12585
Middle East & North Africa (IDA & IBRD),2008,20.69313
Middle East & North Africa (IDA & IBRD),2009,27.73672
Middle East & North Africa (IDA & IBRD),2010,25.19549
Middle East & North Africa (IDA & IBRD),2011,22.96309
Middle East & North Africa (IDA & IBRD),2012,19.66491
Middle East & North Africa (IDA & IBRD),2013,20.17799
Middle East & North Africa (IDA & IBRD),2014,22.29610
Middle East & North Africa (IDA & IBRD),2015,29.83921
Middle East & North Africa (excluding high income),1977,100.00001
Middle East & North Africa (excluding high income),1978,100.00000
Middle East & North Africa (excluding high income),1979,100.00000
Middle East & North Africa (excluding high income),1980,100.00000
Middle East & North Africa (excluding high income),1981,100.00000
Middle East & North Africa (excluding high income),1982,100.00000
Middle East & North Africa (excluding high income),1983,100.00000
Middle East & North Africa (excluding high income),1984,100.00000
Middle East & North Africa (excluding high income),1985,100.00000
Middle East & North Africa (excluding high income),1986,100.00000
Middle East & North Africa (excluding high income),1987,100.00000
Middle East & North Africa (excluding high income),1988,99.99999
Middle East & North Africa (excluding high income),1989,100.00000
Middle East & North Africa (excluding high income),1990,100.00000
Middle East & North Africa (excluding high income),1991,100.00000
Middle East & North Africa (excluding high income),1992,100.00000
Middle East & North Africa (excluding high income),1993,100.00000
Middle East & North Africa (excluding high income),1994,100.00000
Middle East & North Africa (excluding high income),1995,100.00000
Middle East & North Africa (excluding high income),1996,100.00001
Middle East & North Africa (excluding high income),1997,100.00000
Middle East & North Africa (excluding high income),1998,100.00000
Middle East & North Africa (excluding high income),1999,100.00001
Middle East & North Africa (excluding high income),2000,100.00000
Middle East & North Africa (excluding high income),2001,100.00000
Middle East & North Africa (excluding high income),2002,100.00000
Middle East & North Africa (excluding high income),2003,100.00000
Middle East & North Africa (excluding high income),2004,100.00000
Middle East & North Africa (excluding high income),2005,23.70295
Middle East & North Africa (excluding high income),2006,22.08611
Middle East & North Africa (excluding high income),2007,22.13383
Middle East & North Africa (excluding high income),2008,20.72243
Middle East & North Africa (excluding high income),2009,27.74239
Middle East & North Africa (excluding high income),2010,25.25865
Middle East & North Africa (excluding high income),2011,23.06237
Middle East & North Africa (excluding high income),2012,19.75957
Middle East & North Africa (excluding high income),2013,20.32521
Middle East & North Africa (excluding high income),2014,22.37895
Middle East & North Africa (excluding high income),2015,29.88238
Middle income,1982,13.28976
Middle income,1983,13.38262
Middle income,1984,12.97898
Middle income,1985,14.13290
Middle income,1986,16.83593
Middle income,1987,15.78043
Middle income,1988,16.61140
Middle income,1989,16.85766
Middle income,1990,17.17569
Middle income,1991,17.61398
Middle income,1992,18.55253
Middle income,1993,19.17540
Middle income,1994,18.81695
Middle income,1995,18.14824
Middle income,1996,18.36910
Middle income,1997,23.07413
Middle income,1998,22.61341
Middle income,1999,21.83704
Middle income,2000,20.04619
Middle income,2001,21.06185
Middle income,2002,21.37091
Middle income,2003,16.21021
Middle income,2004,16.24206
Middle income,2005,15.11853
Middle income,2006,14.46452
Middle income,2007,14.78626
Middle income,2008,14.28131
Middle income,2009,15.99859
Middle income,2010,14.06139
Middle income,2011,13.98259
Middle income,2012,13.98783
Middle income,2013,14.26053
Middle income,2014,14.59127
Middle income,2015,16.01015
Moldova,1994,5.04020
Moldova,1995,16.35598
Moldova,1996,11.41578
Moldova,1997,16.82762
Moldova,1998,22.21651
Moldova,1999,27.34266
Moldova,2000,32.95142
Moldova,2001,30.19105
Moldova,2002,30.52933
Moldova,2003,29.99061
Moldova,2004,32.34856
Moldova,2005,33.48697
Moldova,2006,40.47502
Moldova,2007,41.21860
Moldova,2008,45.12194
Moldova,2009,45.60675
Moldova,2010,40.35734
Moldova,2011,36.42001
Moldova,2012,37.69945
Moldova,2013,37.42236
Moldova,2014,38.51785
Moldova,2015,39.12141
Moldova,2016,40.35930
Mongolia,1981,7.84602
Mongolia,1982,8.55228
Mongolia,1983,9.03447
Mongolia,1984,8.10728
Mongolia,1985,11.00471
Mongolia,1986,10.20482
Mongolia,1987,9.82232
Mongolia,1988,10.21226
Mongolia,1989,4.37395
Mongolia,1990,9.75857
Mongolia,1991,7.10456
Mongolia,1992,8.90937
Mongolia,1993,6.63604
Mongolia,1994,11.00873
Mongolia,1995,11.27287
Mongolia,1996,11.62597
Mongolia,1997,8.48358
Mongolia,1998,14.42059
Mongolia,1999,13.51774
Mongolia,2000,12.63739
Mongolia,2001,17.83297
Mongolia,2002,26.04704
Mongolia,2003,24.89407
Mongolia,2004,27.94628
Mongolia,2005,27.99257
Mongolia,2006,23.93491
Mongolia,2007,22.72913
Mongolia,2008,17.17034
Mongolia,2009,18.20144
Mongolia,2010,14.22891
Mongolia,2011,11.39435
Mongolia,2012,14.66531
Mongolia,2013,15.41093
Mongolia,2014,10.01797
Mongolia,2015,13.44421
Montenegro,2007,59.00441
Montenegro,2008,65.68868
Montenegro,2009,73.30511
Montenegro,2010,70.01217
Montenegro,2011,66.03615
Montenegro,2012,70.73957
Montenegro,2013,71.49281
Montenegro,2014,74.31183
Montenegro,2015,78.88417
Montenegro,2016,78.83472
Morocco,1975,22.97498
Morocco,1976,25.58357
Morocco,1977,29.28115
Morocco,1978,29.72538
Morocco,1979,26.84027
Morocco,1980,24.21226
Morocco,1981,23.85333
Morocco,1982,29.07922
Morocco,1983,28.94357
Morocco,1984,27.66097
Morocco,1985,31.26488
Morocco,1986,31.81440
Morocco,1987,33.01449
Morocco,1988,32.73340
Morocco,1989,33.12702
Morocco,1990,32.20970
Morocco,1991,29.99005
Morocco,1992,37.62742
Morocco,1993,39.08682
Morocco,1994,38.46516
Morocco,1995,37.71357
Morocco,1996,41.96947
Morocco,1997,40.51821
Morocco,1998,43.63533
Morocco,1999,44.82308
Morocco,2000,45.08651
Morocco,2001,50.73047
Morocco,2002,51.54982
Morocco,2003,55.16454
Morocco,2004,55.28069
Morocco,2005,55.83408
Morocco,2006,58.59724
Morocco,2007,58.72704
Morocco,2008,50.08091
Morocco,2009,61.80604
Morocco,2010,54.48629
Morocco,2011,49.92670
Morocco,2012,47.45602
Morocco,2013,44.00708
Morocco,2014,44.18768
Morocco,2015,44.07473
Morocco,2016,44.88874
Mozambique,2005,16.38391
Mozambique,2006,14.24818
Mozambique,2007,15.97885
Mozambique,2008,17.30685
Mozambique,2009,22.17118
Mozambique,2010,9.49903
Mozambique,2011,10.50416
Mozambique,2012,17.04324
Mozambique,2013,13.53721
Mozambique,2014,15.61764
Mozambique,2015,17.47195
Myanmar,1976,13.62831
Myanmar,1977,14.79680
Myanmar,1978,8.69916
Myanmar,1979,10.04749
Myanmar,1980,10.85725
Myanmar,1981,12.05185
Myanmar,1982,16.24578
Myanmar,1983,14.60216
Myanmar,1984,14.44918
Myanmar,1985,17.68899
Myanmar,1986,16.72296
Myanmar,1987,23.93217
Myanmar,1988,22.07879
Myanmar,1989,20.25273
Myanmar,1990,29.57684
Myanmar,1991,18.41482
Myanmar,1992,17.45850
Myanmar,1993,28.09875
Myanmar,1994,23.99823
Myanmar,1995,27.88906
Myanmar,1996,31.32195
Myanmar,1997,34.86634
Myanmar,1998,37.02168
Myanmar,1999,40.11025
Myanmar,2000,43.35284
Myanmar,2001,17.55751
Myanmar,2002,18.02041
Myanmar,2003,10.74537
Myanmar,2004,8.59173
Myanmar,2005,7.42177
Myanmar,2006,6.91512
Myanmar,2007,5.83618
Myanmar,2008,5.69633
Myanmar,2009,5.58469
Myanmar,2010,4.79279
Myanmar,2011,8.96795
Myanmar,2012,13.02749
Myanmar,2013,22.59997
Myanmar,2014,23.77963
Myanmar,2015,27.87429
Namibia,1990,10.80174
Namibia,1991,10.92570
Namibia,1992,11.46726
Namibia,1993,14.99668
Namibia,1994,16.40040
Namibia,1995,18.18486
Namibia,1996,19.37613
Namibia,1997,22.05629
Namibia,1998,20.37229
Namibia,1999,18.66772
Namibia,2000,11.71902
Namibia,2001,19.62346
Namibia,2002,19.87458
Namibia,2003,24.72386
Namibia,2004,20.64215
Namibia,2005,16.62043
Namibia,2006,16.57127
Namibia,2007,17.00261
Namibia,2008,15.01122
Namibia,2009,17.20411
Namibia,2010,14.50070
Namibia,2011,14.41078
Namibia,2012,19.68778
Namibia,2013,16.69595
Namibia,2014,18.38287
Namibia,2015,18.68372
Nepal,1976,37.53610
Nepal,1977,47.08214
Nepal,1978,52.58603
Nepal,1979,50.26487
Nepal,1980,60.30017
Nepal,1981,51.88303
Nepal,1982,64.63709
Nepal,1983,62.76554
Nepal,1984,55.03181
Nepal,1985,49.39260
Nepal,1986,55.33279
Nepal,1987,57.30552
Nepal,1988,53.59436
Nepal,1989,55.75888
Nepal,1990,48.39924
Nepal,1991,46.62969
Nepal,1992,42.11908
Nepal,1993,45.63393
Nepal,1994,61.10737
Nepal,1995,65.99670
Nepal,1996,66.08399
Nepal,1997,67.66100
Nepal,1998,53.96783
Nepal,1999,51.68797
Nepal,2000,39.46207
Nepal,2001,36.45191
Nepal,2002,32.56564
Nepal,2003,34.60362
Nepal,2004,37.34951
Nepal,2005,29.63987
Nepal,2006,31.24387
Nepal,2007,35.60159
Nepal,2008,42.31364
Nepal,2009,45.71022
Nepal,2010,42.69369
Nepal,2011,46.36247
Nepal,2012,47.94279
Nepal,2013,54.37824
Nepal,2014,57.59542
Nepal,2015,63.75653
Netherlands,1967,21.54354
Netherlands,1968,21.14794
Netherlands,1969,19.55485
Netherlands,1970,18.66353
Netherlands,1971,23.37446
Netherlands,1972,22.36717
Netherlands,1973,21.41310
Netherlands,1974,19.61814
Netherlands,1975,21.35925
Netherlands,1976,19.94934
Netherlands,1977,20.39383
Netherlands,1978,21.31992
Netherlands,1979,19.26929
Netherlands,1980,19.86334
Netherlands,1981,19.34922
Netherlands,1982,19.87946
Netherlands,1983,18.41259
Netherlands,1984,17.84532
Netherlands,1985,17.55276
Netherlands,1986,19.02744
Netherlands,1987,19.03375
Netherlands,1988,19.05922
Netherlands,1989,19.11726
Netherlands,1990,19.52462
Netherlands,1991,21.39389
Netherlands,1992,23.06217
Netherlands,1993,23.93940
Netherlands,1994,23.62957
Netherlands,1995,19.55116
Netherlands,1996,20.05911
Netherlands,1997,21.10593
Netherlands,1998,20.64990
Netherlands,1999,21.24483
Netherlands,2000,20.17226
Netherlands,2001,20.54088
Netherlands,2002,21.98566
Netherlands,2003,20.41543
Netherlands,2004,21.26760
Netherlands,2005,20.74418
Netherlands,2006,19.56053
Netherlands,2007,20.06963
Netherlands,2008,20.10782
Netherlands,2009,23.11008
Netherlands,2010,20.70379
Netherlands,2011,19.82518
