Entity,Year,Under five mortality rate (UN World Population Prospects (2015))
South Sudan,2005,16.49
South Sudan,2010,14.22
South Sudan,2015,12.23
Spain,1955,8.26
Spain,1960,6.21
Spain,1965,4.89
Spain,1970,3.75
Spain,1975,2.7
Spain,1980,1.9
Spain,1985,1.33
Spain,1990,1.03
Spain,1995,0.85
Spain,2000,0.64
Spain,2005,0.52
Spain,2010,0.48
Spain,2015,0.36
Sri Lanka,1955,14.42
Sri Lanka,1960,11.66
Sri Lanka,1965,9.49
Sri Lanka,1970,7.93
Sri Lanka,1975,6.5
Sri Lanka,1980,5.09
Sri Lanka,1985,4.03
Sri Lanka,1990,3.2
Sri Lanka,1995,2.56
Sri Lanka,2000,2.06
Sri Lanka,2005,1.64
Sri Lanka,2010,1.17
Sri Lanka,2015,0.96
Sudan,1955,22.76
Sudan,1960,20.46
Sudan,1965,18.52
Sudan,1970,16.79
Sudan,1975,15.36
Sudan,1980,14.61
Sudan,1985,14.25
Sudan,1990,13.72
Sudan,1995,12.97
Sudan,2000,11.86
Sudan,2005,10.61
Sudan,2010,9.33
Sudan,2015,8.15
Suriname,1955,11.45
Suriname,1960,9.87
Suriname,1965,8.34
Suriname,1970,7.24
Suriname,1975,6.5
Suriname,1980,5.89
Suriname,1985,5.44
Suriname,1990,5.14
Suriname,1995,4.48
Suriname,2000,3.76
Suriname,2005,3.19
Suriname,2010,2.95
Suriname,2015,2.32
Swaziland,1955,26.03
Swaziland,1960,24.02
Swaziland,1965,22.52
Swaziland,1970,21.01
Swaziland,1975,18.29
Swaziland,1980,15.65
Swaziland,1985,12.83
Swaziland,1990,10.83
Swaziland,1995,9.51
Swaziland,2000,11.35
Swaziland,2005,12.77
Swaziland,2010,11.35
Swaziland,2015,9.2
Sweden,1955,2.42
Sweden,1960,2.07
Sweden,1965,1.86
Sweden,1970,1.48
Sweden,1975,1.23
Sweden,1980,0.95
Sweden,1985,0.79
Sweden,1990,0.73
Sweden,1995,0.63
Sweden,2000,0.44
Sweden,2005,0.4
Sweden,2010,0.32
Sweden,2015,0.33
Switzerland,1955,3.57
Switzerland,1960,2.9
Switzerland,1965,2.54
Switzerland,1970,2.05
Switzerland,1975,1.69
Switzerland,1980,1.2
Switzerland,1985,0.98
Switzerland,1990,0.87
Switzerland,1995,0.75
Switzerland,2000,0.59
Switzerland,2005,0.55
Switzerland,2010,0.49
Switzerland,2015,0.42
Syria,1955,21.09
Syria,1960,18.28
Syria,1965,15.68
Syria,1970,12.89
Syria,1975,9.86
Syria,1980,7.39
Syria,1985,5.5
Syria,1990,4.15
Syria,1995,3.17
Syria,2000,2.52
Syria,2005,2.09
Syria,2010,1.74
Syria,2015,2.09
Tajikistan,1955,21.83
Tajikistan,1960,20.2
Tajikistan,1965,18.63
Tajikistan,1970,17.13
Tajikistan,1975,15.87
Tajikistan,1980,14.81
Tajikistan,1985,13.78
Tajikistan,1990,12.76
Tajikistan,1995,11.45
Tajikistan,2000,10.37
Tajikistan,2005,8.24
Tajikistan,2010,5.85
Tajikistan,2015,5.13
Tanzania,1955,25.88
Tanzania,1960,24.19
Tanzania,1965,23.01
Tanzania,1970,21.64
Tanzania,1975,19.92
Tanzania,1980,17.96
Tanzania,1985,17.17
Tanzania,1990,16.56
Tanzania,1995,16.48
Tanzania,2000,14.48
Tanzania,2005,10.57
Tanzania,2010,7.72
Tanzania,2015,5.15
Thailand,1955,18.91
Thailand,1960,15.89
Thailand,1965,13.28
Thailand,1970,10.92
Thailand,1975,8.57
Thailand,1980,6.68
Thailand,1985,5.31
Thailand,1990,4.15
Thailand,1995,3.13
Thailand,2000,2.46
Thailand,2005,1.96
Thailand,2010,1.56
Thailand,2015,1.31
Timor,1955,38.93
Timor,1960,35.8
Timor,1965,32.85
Timor,1970,30.05
Timor,1975,27.44
Timor,1980,37.41
Timor,1985,27.48
Timor,1990,21.13
Timor,1995,17.4
Timor,2000,11.99
Timor,2005,8.72
Timor,2010,6.45
Timor,2015,5.57
Togo,1955,32.09
Togo,1960,28.82
Togo,1965,25.89
Togo,1970,23.27
Togo,1975,20.85
Togo,1980,18.6
Togo,1985,16.69
Togo,1990,15.28
Togo,1995,14.2
Togo,2000,13.24
Togo,2005,12.37
Togo,2010,9.98
Togo,2015,8.59
Tonga,1955,7.98
Tonga,1960,7.05
Tonga,1965,6.18
Tonga,1970,5.41
Tonga,1975,4.72
Tonga,1980,4.23
Tonga,1985,3.77
Tonga,1990,3.39
Tonga,1995,3.2
Tonga,2000,3.01
Tonga,2005,2.82
Tonga,2010,2.63
Tonga,2015,2.43
Trinidad and Tobago,1955,10.93
Trinidad and Tobago,1960,8.74
Trinidad and Tobago,1965,6.58
Trinidad and Tobago,1970,6.25
Trinidad and Tobago,1975,5.55
Trinidad and Tobago,1980,4.74
Trinidad and Tobago,1985,4
Trinidad and Tobago,1990,3.61
Trinidad and Tobago,1995,3.44
Trinidad and Tobago,2000,3.57
Trinidad and Tobago,2005,3.65
Trinidad and Tobago,2010,3.35
Trinidad and Tobago,2015,3.09
Tunisia,1955,30.25
Tunisia,1960,28.63
Tunisia,1965,25.56
Tunisia,1970,20.95
Tunisia,1975,16.42
Tunisia,1980,11.56
Tunisia,1985,7.68
Tunisia,1990,5.7
Tunisia,1995,4.05
Tunisia,2000,3.3
Tunisia,2005,2.56
Tunisia,2010,2.04
Tunisia,2015,2.04
Turkey,1955,29.28
Turkey,1960,27.47
Turkey,1965,24.38
Turkey,1970,21.2
Turkey,1975,18.35
Turkey,1980,14.82
Turkey,1985,11.79
Turkey,1990,9.33
Turkey,1995,7.27
Turkey,2000,4.98
Turkey,2005,3.41
Turkey,2010,2.3
Turkey,2015,1.86
Turkmenistan,1955,19.33
Turkmenistan,1960,17.74
Turkmenistan,1965,16.21
Turkmenistan,1970,14.74
Turkmenistan,1975,13.47
Turkmenistan,1980,12.35
Turkmenistan,1985,11.13
Turkmenistan,1990,10.01
Turkmenistan,1995,9.57
Turkmenistan,2000,7.78
Turkmenistan,2005,6.59
Turkmenistan,2010,6.43
Turkmenistan,2015,5.95
Uganda,1955,27.08
Uganda,1960,24.56
Uganda,1965,22
Uganda,1970,19.52
Uganda,1975,18.65
Uganda,1980,18.49
Uganda,1985,18.55
Uganda,1990,18.67
Uganda,1995,17.5
Uganda,2000,15.6
Uganda,2005,12.57
Uganda,2010,10.63
Uganda,2015,9.35
Ukraine,1955,11.28
Ukraine,1960,6.17
Ukraine,1965,3.75
Ukraine,1970,2.92
Ukraine,1975,2.65
Ukraine,1980,2.88
Ukraine,1985,2.52
Ukraine,1990,2.22
Ukraine,1995,2.1
Ukraine,2000,2.07
Ukraine,2005,1.81
Ukraine,2010,1.51
Ukraine,2015,1.1
United Arab Emirates,1955,26.94
United Arab Emirates,1960,21.24
United Arab Emirates,1965,16.15
United Arab Emirates,1970,11.1
United Arab Emirates,1975,7.65
United Arab Emirates,1980,5.24
United Arab Emirates,1985,3.61
United Arab Emirates,1990,2.57
United Arab Emirates,1995,1.93
United Arab Emirates,2000,1.44
United Arab Emirates,2005,1.07
United Arab Emirates,2010,0.81
United Arab Emirates,2015,0.72
United Kingdom,1955,3.36
United Kingdom,1960,2.8
United Kingdom,1965,2.57
United Kingdom,1970,2.22
United Kingdom,1975,2.01
United Kingdom,1980,1.64
United Kingdom,1985,1.27
United Kingdom,1990,1.08
United Kingdom,1995,0.82
United Kingdom,2000,0.7
United Kingdom,2005,0.63
United Kingdom,2010,0.57
United Kingdom,2015,0.49
United States,1955,3.56
United States,1960,3.16
United States,1965,2.94
United States,1970,2.63
United States,1975,2.15
United States,1980,1.7
United States,1985,1.39
United States,1990,1.24
United States,1995,1.06
United States,2000,0.89
United States,2005,0.83
United States,2010,0.8
United States,2015,0.7
United States Virgin Islands,1955,7.72
United States Virgin Islands,1960,6.03
United States Virgin Islands,1965,5.21
United States Virgin Islands,1970,4.36
United States Virgin Islands,1975,3.6
United States Virgin Islands,1980,2.98
United States Virgin Islands,1985,2.56
United States Virgin Islands,1990,2.12
United States Virgin Islands,1995,1.79
United States Virgin Islands,2000,1.53
United States Virgin Islands,2005,1.34
United States Virgin Islands,2010,1.23
United States Virgin Islands,2015,1.09
Uruguay,1955,6.4
Uruguay,1960,5.91
Uruguay,1965,5.35
Uruguay,1970,5.26
Uruguay,1975,5.17
Uruguay,1980,4.74
Uruguay,1985,3.74
Uruguay,1990,2.6
Uruguay,1995,2.31
Uruguay,2000,1.84
Uruguay,2005,1.73
Uruguay,2010,1.6
Uruguay,2015,1.5
Uzbekistan,1955,15.99
Uzbekistan,1960,14.47
Uzbekistan,1965,13.01
Uzbekistan,1970,11.62
Uzbekistan,1975,10.37
Uzbekistan,1980,9.56
Uzbekistan,1985,8.65
Uzbekistan,1990,7.85
Uzbekistan,1995,7.16
Uzbekistan,2000,6.59
Uzbekistan,2005,6
Uzbekistan,2010,5.71
Uzbekistan,2015,5.33
Vanuatu,1955,25.42
Vanuatu,1960,22.52
Vanuatu,1965,19.71
Vanuatu,1970,16.94
Vanuatu,1975,14.4
Vanuatu,1980,12.02
Vanuatu,1985,9.79
Vanuatu,1990,8.29
Vanuatu,1995,6.76
Vanuatu,2000,5.36
Vanuatu,2005,4.25
Vanuatu,2010,3.46
Vanuatu,2015,2.84
Venezuela,1955,15.01
Venezuela,1960,12.77
Venezuela,1965,10.51
Venezuela,1970,8.61
Venezuela,1975,6.84
Venezuela,1980,5.47
Venezuela,1985,4.28
Venezuela,1990,3.51
Venezuela,1995,2.9
Venezuela,2000,2.57
Venezuela,2005,2.15
Venezuela,2010,1.85
Venezuela,2015,1.59
Vietnam,1955,15.8
Vietnam,1960,12.75
Vietnam,1965,10.38
Vietnam,1970,8.61
Vietnam,1975,8.02
Vietnam,1980,6.67
Vietnam,1985,5.88
Vietnam,1990,5.12
Vietnam,1995,4.6
Vietnam,2000,3.82
Vietnam,2005,3.25
Vietnam,2010,2.81
Vietnam,2015,2.43
Western Sahara,1955,32.29
Western Sahara,1960,30.08
Western Sahara,1965,28.01
Western Sahara,1970,25.98
Western Sahara,1975,23.96
Western Sahara,1980,19.91
Western Sahara,1985,15.99
Western Sahara,1990,12.48
Western Sahara,1995,10.59
Western Sahara,2000,8.79
Western Sahara,2005,6.98
Western Sahara,2010,5.61
Western Sahara,2015,4.61
World,1955,21.51
World,1960,19.54
World,1965,18.34
World,1970,15.72
World,1975,13.86
World,1980,12.44
World,1985,10.92
World,1990,9.64
World,1995,9.05
World,2000,8.25
World,2005,7.06
World,2010,5.88
World,2015,4.96
Yemen,1955,37.11
Yemen,1960,37.11
Yemen,1965,37.11
Yemen,1970,31.73
Yemen,1975,26.97
Yemen,1980,22.02
Yemen,1985,17.18
Yemen,1990,13.7
Yemen,1995,11.89
Yemen,2000,10.53
Yemen,2005,9.37
Yemen,2010,8.32
Yemen,2015,7.28
Zambia,1955,25.06
Zambia,1960,23.15
Zambia,1965,21.39
Zambia,1970,19.78
Zambia,1975,17.72
Zambia,1980,16.51
Zambia,1985,16.66
Zambia,1990,17.76
Zambia,1995,18.16
Zambia,2000,16.62
Zambia,2005,13.15
Zambia,2010,10.56
Zambia,2015,8.3
Zimbabwe,1955,19.15
Zimbabwe,1960,17.36
Zimbabwe,1965,15.78
Zimbabwe,1970,14.46
Zimbabwe,1975,13.21
Zimbabwe,1980,11.7
Zimbabwe,1985,9.66
Zimbabwe,1990,8.42
Zimbabwe,1995,8.1
Zimbabwe,2000,9.44
Zimbabwe,2005,10.11
Zimbabwe,2010,9.14
Zimbabwe,2015,7.18
