Entity,Year,Share of the population in extreme poverty,Extreme Poverty to 2030 (On or Off-track)
Libya,2024,7.39,Off-track
Libya,2025,8.05,Off-track
Libya,2026,8.86,Poverty rising
Libya,2027,9.78,Poverty rising
Libya,2028,10.81,Poverty rising
Libya,2029,11.97,Poverty rising
Libya,2030,13.29,Poverty rising
Lithuania,2015,0.73,Target reached
Lithuania,2016,0.71,Target reached
Lithuania,2017,0.69,Target reached
Lithuania,2018,0.67,Target reached
Lithuania,2019,0.65,Target reached
Lithuania,2020,0.63,Target reached
Lithuania,2021,0.61,Target reached
Lithuania,2022,0.60,Target reached
Lithuania,2023,0.58,Target reached
Lithuania,2024,0.57,Target reached
Lithuania,2025,0.56,Target reached
Lithuania,2026,0.55,Target reached
Lithuania,2027,0.55,Target reached
Lithuania,2028,0.54,Target reached
Lithuania,2029,0.53,Target reached
Lithuania,2030,0.52,Target reached
Luxembourg,2015,0.29,Target reached
Luxembourg,2016,0.29,Target reached
Luxembourg,2017,0.28,Target reached
Luxembourg,2018,0.28,Target reached
Luxembourg,2019,0.28,Target reached
Luxembourg,2020,0.28,Target reached
Luxembourg,2021,0.28,Target reached
Luxembourg,2022,0.28,Target reached
Luxembourg,2023,0.27,Target reached
Luxembourg,2024,0.27,Target reached
Luxembourg,2025,0.27,Target reached
Luxembourg,2026,0.27,Target reached
Luxembourg,2027,0.27,Target reached
Luxembourg,2028,0.27,Target reached
Luxembourg,2029,0.27,Target reached
Luxembourg,2030,0.27,Target reached
Macao,2015,0.26,Target reached
Macao,2016,0.27,Target reached
Macao,2017,0.26,Target reached
Macao,2018,0.25,Target reached
Macao,2019,0.24,Target reached
Macao,2020,0.23,Target reached
Macao,2021,0.22,Target reached
Macao,2022,0.21,Target reached
Macao,2023,0.20,Target reached
Macao,2024,0.19,Target reached
Macao,2025,0.19,Target reached
Macao,2026,0.18,Target reached
Macao,2027,0.18,Target reached
Macao,2028,0.17,Target reached
Macao,2029,0.17,Target reached
Macao,2030,0.16,Target reached
Macedonia,2015,0.97,Target reached
Macedonia,2016,0.83,Target reached
Macedonia,2017,0.67,Target reached
Macedonia,2018,0.53,Target reached
Macedonia,2019,0.40,Target reached
Macedonia,2020,0.30,Target reached
Macedonia,2021,0.23,Target reached
Macedonia,2022,0.18,Target reached
Macedonia,2023,0.14,Target reached
Macedonia,2024,0.11,Target reached
Macedonia,2025,0.09,Target reached
Macedonia,2026,0.07,Target reached
Macedonia,2027,0.06,Target reached
Macedonia,2028,0.05,Target reached
Macedonia,2029,0.04,Target reached
Macedonia,2030,0.03,Target reached
Madagascar,2015,78.83,Off-track
Madagascar,2016,78.37,Off-track
Madagascar,2017,77.75,Off-track
Madagascar,2018,76.99,Off-track
Madagascar,2019,76.13,Off-track
Madagascar,2020,75.26,Off-track
Madagascar,2021,74.35,Off-track
Madagascar,2022,73.39,Off-track
Madagascar,2023,72.17,Off-track
Madagascar,2024,70.96,Off-track
Madagascar,2025,69.76,Off-track
Madagascar,2026,68.36,Off-track
Madagascar,2027,66.98,Off-track
Madagascar,2028,65.61,Off-track
Madagascar,2029,64.26,Off-track
Madagascar,2030,62.93,Off-track
Malawi,2015,64.91,Poverty rising
Malawi,2016,65.40,Poverty rising
Malawi,2017,64.85,Off-track
Malawi,2018,64.07,Off-track
Malawi,2019,63.02,Off-track
Malawi,2020,61.95,Off-track
Malawi,2021,60.84,Off-track
Malawi,2022,59.69,Off-track
Malawi,2023,58.30,Off-track
Malawi,2024,56.90,Off-track
Malawi,2025,55.50,Off-track
Malawi,2026,53.96,Off-track
Malawi,2027,52.43,Off-track
Malawi,2028,50.91,Off-track
Malawi,2029,49.39,Off-track
Malawi,2030,47.89,Off-track
Malaysia,2015,1.74,Target reached
Malaysia,2016,1.64,Target reached
Malaysia,2017,1.53,Target reached
Malaysia,2018,1.44,Target reached
Malaysia,2019,1.34,Target reached
Malaysia,2020,1.25,Target reached
Malaysia,2021,1.17,Target reached
Malaysia,2022,1.09,Target reached
Malaysia,2023,1.02,Target reached
Malaysia,2024,0.96,Target reached
Malaysia,2025,0.90,Target reached
Malaysia,2026,0.85,Target reached
Malaysia,2027,0.79,Target reached
Malaysia,2028,0.75,Target reached
Malaysia,2029,0.70,Target reached
Malaysia,2030,0.66,Target reached
Maldives,2015,3.33,On-track
Maldives,2016,3.07,On-track
Maldives,2017,2.81,Target reached
Maldives,2018,2.52,Target reached
Maldives,2019,2.24,Target reached
Maldives,2020,1.99,Target reached
Maldives,2021,1.77,Target reached
Maldives,2022,1.57,Target reached
Maldives,2023,1.34,Target reached
Maldives,2024,1.15,Target reached
Maldives,2025,0.99,Target reached
Maldives,2026,0.86,Target reached
Maldives,2027,0.74,Target reached
Maldives,2028,0.65,Target reached
Maldives,2029,0.57,Target reached
Maldives,2030,0.50,Target reached
Mali,2015,31.55,Off-track
Mali,2016,30.31,Off-track
Mali,2017,29.18,Off-track
Mali,2018,28.31,Off-track
Mali,2019,27.47,Off-track
Mali,2020,26.62,Off-track
Mali,2021,25.77,Off-track
Mali,2022,24.92,Off-track
Mali,2023,23.78,Off-track
Mali,2024,22.67,Off-track
Mali,2025,21.59,Off-track
Mali,2026,20.34,Off-track
Mali,2027,19.14,Off-track
Mali,2028,17.98,Off-track
Mali,2029,16.85,Off-track
Mali,2030,15.77,Off-track
Malta,2015,0.06,Target reached
Malta,2016,0.06,Target reached
Malta,2017,0.06,Target reached
Malta,2018,0.06,Target reached
Malta,2019,0.06,Target reached
Malta,2020,0.06,Target reached
Malta,2021,0.06,Target reached
Malta,2022,0.06,Target reached
Malta,2023,0.05,Target reached
Malta,2024,0.05,Target reached
Malta,2025,0.05,Target reached
Malta,2026,0.05,Target reached
Malta,2027,0.05,Target reached
Malta,2028,0.05,Target reached
Malta,2029,0.05,Target reached
Malta,2030,0.05,Target reached
Mauritania,2015,5.94,Poverty rising
Mauritania,2016,6.10,Poverty rising
Mauritania,2017,5.79,On-track
Mauritania,2018,5.71,On-track
Mauritania,2019,5.27,On-track
Mauritania,2020,4.76,On-track
Mauritania,2021,4.39,On-track
Mauritania,2022,4.12,On-track
Mauritania,2023,3.82,On-track
Mauritania,2024,3.53,On-track
Mauritania,2025,3.27,On-track
Mauritania,2026,3.01,On-track
Mauritania,2027,2.77,Target reached
Mauritania,2028,2.56,Target reached
Mauritania,2029,2.35,Target reached
Mauritania,2030,2.17,Target reached
Mauritius,2015,0.28,Target reached
Mauritius,2016,0.25,Target reached
Mauritius,2017,0.23,Target reached
Mauritius,2018,0.21,Target reached
Mauritius,2019,0.19,Target reached
Mauritius,2020,0.17,Target reached
Mauritius,2021,0.16,Target reached
Mauritius,2022,0.14,Target reached
Mauritius,2023,0.14,Target reached
Mauritius,2024,0.13,Target reached
Mauritius,2025,0.12,Target reached
Mauritius,2026,0.12,Target reached
Mauritius,2027,0.11,Target reached
Mauritius,2028,0.10,Target reached
Mauritius,2029,0.10,Target reached
Mauritius,2030,0.09,Target reached
Mexico,2015,2.33,Target reached
Mexico,2016,2.23,Target reached
Mexico,2017,2.18,Target reached
Mexico,2018,2.11,Target reached
Mexico,2019,1.96,Target reached
Mexico,2020,1.83,Target reached
Mexico,2021,1.69,Target reached
Mexico,2022,1.56,Target reached
Mexico,2023,1.43,Target reached
Mexico,2024,1.31,Target reached
Mexico,2025,1.20,Target reached
Mexico,2026,1.10,Target reached
Mexico,2027,1.01,Target reached
Mexico,2028,0.93,Target reached
Mexico,2029,0.85,Target reached
Mexico,2030,0.78,Target reached
Micronesia (country),2015,29.12,Off-track
Micronesia (country),2016,28.78,Off-track
Micronesia (country),2017,28.46,Off-track
Micronesia (country),2018,28.28,Off-track
Micronesia (country),2019,28.21,Off-track
Micronesia (country),2020,28.23,Off-track
Micronesia (country),2021,28.26,Off-track
Micronesia (country),2022,28.31,Off-track
Micronesia (country),2023,28.01,Off-track
Micronesia (country),2024,27.71,Off-track
Micronesia (country),2025,27.40,Off-track
Micronesia (country),2026,27.01,Off-track
Micronesia (country),2027,26.62,Off-track
Micronesia (country),2028,26.23,Off-track
Micronesia (country),2029,25.86,Off-track
Micronesia (country),2030,25.50,Off-track
Moldova,2015,0.02,Target reached
Moldova,2016,0.02,Target reached
Moldova,2017,0.01,Target reached
Moldova,2018,0.02,Target reached
Moldova,2019,0.01,Target reached
Moldova,2020,0.01,Target reached
Moldova,2021,0.01,Target reached
Moldova,2022,0.01,Target reached
Moldova,2023,0.00,Target reached
Moldova,2024,0.00,Target reached
Moldova,2025,0.00,Target reached
Moldova,2026,0.00,Target reached
Moldova,2027,0.00,Target reached
Moldova,2028,0.00,Target reached
Moldova,2029,0.00,Target reached
Moldova,2030,0.00,Target reached
Mongolia,2015,0.23,Target reached
Mongolia,2016,0.23,Target reached
Mongolia,2017,0.25,Target reached
Mongolia,2018,0.25,Target reached
Mongolia,2019,0.20,Target reached
Mongolia,2020,0.18,Target reached
Mongolia,2021,0.15,Target reached
Mongolia,2022,0.13,Target reached
Mongolia,2023,0.11,Target reached
Mongolia,2024,0.10,Target reached
Mongolia,2025,0.09,Target reached
Mongolia,2026,0.08,Target reached
Mongolia,2027,0.07,Target reached
Mongolia,2028,0.07,Target reached
Mongolia,2029,0.06,Target reached
Mongolia,2030,0.06,Target reached
Montenegro,2015,0.02,Target reached
Montenegro,2016,0.02,Target reached
Montenegro,2017,0.02,Target reached
Montenegro,2018,0.02,Target reached
Montenegro,2019,0.02,Target reached
Montenegro,2020,0.01,Target reached
Montenegro,2021,0.01,Target reached
Montenegro,2022,0.01,Target reached
Montenegro,2023,0.01,Target reached
Montenegro,2024,0.02,Target reached
Montenegro,2025,0.02,Target reached
Montenegro,2026,0.01,Target reached
Montenegro,2027,0.01,Target reached
Montenegro,2028,0.01,Target reached
Montenegro,2029,0.01,Target reached
Montenegro,2030,0.01,Target reached
Morocco,2015,0.54,Target reached
Morocco,2016,0.54,Target reached
Morocco,2017,0.45,Target reached
Morocco,2018,0.38,Target reached
Morocco,2019,0.33,Target reached
Morocco,2020,0.27,Target reached
Morocco,2021,0.23,Target reached
Morocco,2022,0.19,Target reached
Morocco,2023,0.16,Target reached
Morocco,2024,0.13,Target reached
Morocco,2025,0.11,Target reached
Morocco,2026,0.10,Target reached
Morocco,2027,0.08,Target reached
Morocco,2028,0.07,Target reached
Morocco,2029,0.06,Target reached
Morocco,2030,0.06,Target reached
Mozambique,2015,66.77,Off-track
Mozambique,2016,66.36,Off-track
Mozambique,2017,65.39,Off-track
Mozambique,2018,63.90,Off-track
Mozambique,2019,62.13,Off-track
Mozambique,2020,60.10,Off-track
Mozambique,2021,58.03,Off-track
Mozambique,2022,51.79,Off-track
Mozambique,2023,49.10,Off-track
Mozambique,2024,46.46,Off-track
Mozambique,2025,43.88,Off-track
Mozambique,2026,41.35,Off-track
Mozambique,2027,38.89,Off-track
Mozambique,2028,36.52,Off-track
Mozambique,2029,34.23,Off-track
Mozambique,2030,32.02,Off-track
Myanmar,2015,14.43,On-track
Myanmar,2016,12.98,On-track
Myanmar,2017,11.47,On-track
Myanmar,2018,10.14,On-track
Myanmar,2019,8.99,On-track
Myanmar,2020,7.97,On-track
Myanmar,2021,7.07,On-track
Myanmar,2022,6.28,On-track
Myanmar,2023,5.58,On-track
Myanmar,2024,4.96,On-track
Myanmar,2025,4.42,On-track
Myanmar,2026,3.96,On-track
Myanmar,2027,3.56,On-track
Myanmar,2028,3.20,On-track
Myanmar,2029,2.88,Target reached
Myanmar,2030,2.59,Target reached
Namibia,2015,21.64,Poverty rising
Namibia,2016,22.23,Poverty rising
Namibia,2017,21.88,Off-track
Namibia,2018,21.14,Off-track
Namibia,2019,20.56,Off-track
Namibia,2020,20.06,Off-track
Namibia,2021,19.60,Off-track
Namibia,2022,19.14,Off-track
Namibia,2023,18.29,Off-track
Namibia,2024,17.46,Off-track
Namibia,2025,16.64,Off-track
Namibia,2026,15.81,Off-track
Namibia,2027,15.00,Off-track
Namibia,2028,14.20,Off-track
Namibia,2029,13.42,Off-track
Namibia,2030,12.65,Off-track
Nepal,2015,8.74,On-track
Nepal,2016,8.97,On-track
Nepal,2017,7.46,On-track
Nepal,2018,6.38,On-track
Nepal,2019,5.59,On-track
Nepal,2020,4.86,On-track
Nepal,2021,4.17,On-track
Nepal,2022,3.54,On-track
Nepal,2023,3.08,On-track
Nepal,2024,2.66,Target reached
Nepal,2025,2.29,Target reached
Nepal,2026,1.93,Target reached
Nepal,2027,1.62,Target reached
Nepal,2028,1.36,Target reached
Nepal,2029,1.13,Target reached
Nepal,2030,0.94,Target reached
Netherlands,2015,0.32,Target reached
Netherlands,2016,0.32,Target reached
Netherlands,2017,0.32,Target reached
Netherlands,2018,0.32,Target reached
Netherlands,2019,0.32,Target reached
Netherlands,2020,0.32,Target reached
Netherlands,2021,0.32,Target reached
Netherlands,2022,0.31,Target reached
Netherlands,2023,0.31,Target reached
Netherlands,2024,0.31,Target reached
Netherlands,2025,0.31,Target reached
Netherlands,2026,0.31,Target reached
Netherlands,2027,0.31,Target reached
Netherlands,2028,0.31,Target reached
Netherlands,2029,0.31,Target reached
Netherlands,2030,0.31,Target reached
New Zealand,2015,0.01,Target reached
New Zealand,2016,0.01,Target reached
New Zealand,2017,0.01,Target reached
New Zealand,2018,0.01,Target reached
New Zealand,2019,0.01,Target reached
New Zealand,2020,0.01,Target reached
New Zealand,2021,0.01,Target reached
New Zealand,2022,0.01,Target reached
New Zealand,2023,0.01,Target reached
New Zealand,2024,0.01,Target reached
New Zealand,2025,0.01,Target reached
New Zealand,2026,0.01,Target reached
New Zealand,2027,0.02,Target reached
New Zealand,2028,0.02,Target reached
New Zealand,2029,0.02,Target reached
New Zealand,2030,0.02,Target reached
Nicaragua,2015,8.14,On-track
Nicaragua,2016,7.51,On-track
Nicaragua,2017,6.96,On-track
Nicaragua,2018,6.46,On-track
Nicaragua,2019,5.97,On-track
Nicaragua,2020,5.48,On-track
Nicaragua,2021,5.04,On-track
Nicaragua,2022,4.62,On-track
Nicaragua,2023,4.16,On-track
Nicaragua,2024,3.73,On-track
Nicaragua,2025,3.34,On-track
Nicaragua,2026,2.97,Target reached
Nicaragua,2027,2.63,Target reached
Nicaragua,2028,2.33,Target reached
Nicaragua,2029,2.07,Target reached
Nicaragua,2030,1.83,Target reached
Niger,2015,43.37,Off-track
Niger,2016,43.18,Off-track
Niger,2017,42.60,Off-track
Niger,2018,41.81,Off-track
Niger,2019,41.06,Off-track
Niger,2020,39.01,Off-track
Niger,2021,37.71,Off-track
Niger,2022,36.22,Off-track
Niger,2023,34.21,Off-track
Niger,2024,32.27,Off-track
Niger,2025,30.37,Off-track
Niger,2026,28.39,Off-track
Niger,2027,26.47,Off-track
Niger,2028,24.61,Off-track
Niger,2029,22.83,Off-track
Niger,2030,21.11,Off-track
Nigeria,2015,38.75,Poverty rising
Nigeria,2016,41.35,Poverty rising
Nigeria,2017,42.43,Poverty rising
Nigeria,2018,42.82,Poverty rising
Nigeria,2019,43.21,Poverty rising
Nigeria,2020,43.63,Poverty rising
Nigeria,2021,44.03,Poverty rising
Nigeria,2022,44.42,Poverty rising
Nigeria,2023,43.54,Off-track
Nigeria,2024,42.67,Off-track
Nigeria,2025,41.80,Off-track
Nigeria,2026,40.97,Off-track
Nigeria,2027,40.14,Off-track
Nigeria,2028,39.32,Off-track
Nigeria,2029,38.51,Off-track
Nigeria,2030,37.71,Off-track
Non-fragile,2015,4.90,
Non-fragile,2016,4.15,
Non-fragile,2017,3.44,
Non-fragile,2018,2.80,
Non-fragile,2019,2.26,
Non-fragile,2020,1.85,
Non-fragile,2021,1.53,
Non-fragile,2022,1.30,
Non-fragile,2023,1.17,
Non-fragile,2024,1.08,
Non-fragile,2025,1.01,
Non-fragile,2026,0.95,
Non-fragile,2027,0.90,
Non-fragile,2028,0.86,
Non-fragile,2029,0.82,
Non-fragile,2030,0.79,
North America,2015,2.55,
North America,2016,2.50,
North America,2017,2.46,
North America,2018,2.41,
North America,2019,2.34,
North America,2020,2.27,
North America,2021,2.21,
North America,2022,2.14,
North America,2023,2.07,
North America,2024,2.01,
North America,2025,1.95,
North America,2026,1.89,
North America,2027,1.83,
North America,2028,1.77,
North America,2029,1.72,
North America,2030,1.67,
North Korea,2015,43.65,Off-track
North Korea,2016,42.76,Off-track
North Korea,2017,41.88,Off-track
North Korea,2018,41.02,Off-track
North Korea,2019,40.18,Off-track
North Korea,2020,39.35,Off-track
North Korea,2021,38.54,Off-track
North Korea,2022,37.75,Off-track
North Korea,2023,36.84,Off-track
North Korea,2024,35.98,Off-track
North Korea,2025,35.15,Off-track
North Korea,2026,34.19,Off-track
North Korea,2027,33.27,Off-track
North Korea,2028,32.39,Off-track
North Korea,2029,31.56,Off-track
North Korea,2030,30.77,Off-track
Norway,2015,0.26,Target reached
Norway,2016,0.27,Target reached
Norway,2017,0.27,Target reached
Norway,2018,0.27,Target reached
Norway,2019,0.27,Target reached
Norway,2020,0.26,Target reached
Norway,2021,0.26,Target reached
Norway,2022,0.26,Target reached
Norway,2023,0.26,Target reached
Norway,2024,0.26,Target reached
Norway,2025,0.26,Target reached
Norway,2026,0.26,Target reached
Norway,2027,0.26,Target reached
Norway,2028,0.26,Target reached
Norway,2029,0.26,Target reached
Norway,2030,0.26,Target reached
Oceania,2015,7.57,
Oceania,2016,7.56,
Oceania,2017,7.50,
Oceania,2018,7.43,
Oceania,2019,7.35,
Oceania,2020,7.26,
Oceania,2021,7.18,
Oceania,2022,7.08,
Oceania,2023,6.91,
Oceania,2024,6.74,
Oceania,2025,6.57,
Oceania,2026,6.41,
Oceania,2027,6.26,
Oceania,2028,6.11,
Oceania,2029,5.96,
Oceania,2030,5.82,
Oman,2015,0.19,Target reached
Oman,2016,0.18,Target reached
Oman,2017,0.17,Target reached
Oman,2018,0.16,Target reached
Oman,2019,0.15,Target reached
Oman,2020,0.14,Target reached
Oman,2021,0.13,Target reached
Oman,2022,0.12,Target reached
Oman,2023,0.12,Target reached
Oman,2024,0.11,Target reached
Oman,2025,0.11,Target reached
Oman,2026,0.11,Target reached
Oman,2027,0.10,Target reached
Oman,2028,0.10,Target reached
Oman,2029,0.09,Target reached
Oman,2030,0.09,Target reached
Pakistan,2015,4.65,On-track
Pakistan,2016,3.95,On-track
Pakistan,2017,3.27,On-track
Pakistan,2018,2.65,Target reached
Pakistan,2019,2.02,Target reached
Pakistan,2020,1.55,Target reached
Pakistan,2021,1.18,Target reached
Pakistan,2022,0.89,Target reached
Pakistan,2023,0.71,Target reached
Pakistan,2024,0.57,Target reached
Pakistan,2025,0.46,Target reached
Pakistan,2026,0.37,Target reached
Pakistan,2027,0.29,Target reached
Pakistan,2028,0.23,Target reached
Pakistan,2029,0.19,Target reached
Pakistan,2030,0.16,Target reached
Palestine,2015,0.07,Target reached
Palestine,2016,0.07,Target reached
Palestine,2017,0.06,Target reached
Palestine,2018,0.07,Target reached
Palestine,2019,0.06,Target reached
Palestine,2020,0.06,Target reached
Palestine,2021,0.06,Target reached
Palestine,2022,0.06,Target reached
Palestine,2023,0.05,Target reached
Palestine,2024,0.04,Target reached
Palestine,2025,0.04,Target reached
Palestine,2026,0.04,Target reached
Palestine,2027,0.03,Target reached
Palestine,2028,0.02,Target reached
Palestine,2029,0.02,Target reached
Palestine,2030,0.02,Target reached
Panama,2015,2.77,Target reached
Panama,2016,2.53,Target reached
Panama,2017,2.26,Target reached
Panama,2018,1.98,Target reached
Panama,2019,1.72,Target reached
Panama,2020,1.49,Target reached
Panama,2021,1.28,Target reached
Panama,2022,1.10,Target reached
Panama,2023,0.97,Target reached
Panama,2024,0.85,Target reached
Panama,2025,0.75,Target reached
Panama,2026,0.66,Target reached
Panama,2027,0.58,Target reached
Panama,2028,0.52,Target reached
Panama,2029,0.46,Target reached
Panama,2030,0.40,Target reached
Papua New Guinea,2015,31.70,Off-track
Papua New Guinea,2016,31.49,Off-track
Papua New Guinea,2017,31.11,Off-track
Papua New Guinea,2018,30.66,Off-track
Papua New Guinea,2019,30.14,Off-track
Papua New Guinea,2020,29.59,Off-track
Papua New Guinea,2021,29.09,Off-track
Papua New Guinea,2022,28.50,Off-track
Papua New Guinea,2023,27.59,Off-track
Papua New Guinea,2024,26.71,Off-track
Papua New Guinea,2025,25.85,Off-track
Papua New Guinea,2026,25.05,Off-track
Papua New Guinea,2027,24.27,Off-track
Papua New Guinea,2028,23.52,Off-track
Papua New Guinea,2029,22.78,Off-track
Papua New Guinea,2030,22.07,Off-track
Paraguay,2015,2.14,Target reached
Paraguay,2016,2.01,Target reached
Paraguay,2017,1.94,Target reached
Paraguay,2018,1.84,Target reached
Paraguay,2019,1.75,Target reached
Paraguay,2020,1.67,Target reached
Paraguay,2021,1.58,Target reached
Paraguay,2022,1.51,Target reached
Paraguay,2023,1.40,Target reached
Paraguay,2024,1.31,Target reached
Paraguay,2025,1.22,Target reached
Paraguay,2026,1.14,Target reached
Paraguay,2027,1.06,Target reached
Paraguay,2028,0.99,Target reached
Paraguay,2029,0.93,Target reached
Paraguay,2030,0.87,Target reached
Peru,2015,2.51,Target reached
Peru,2016,2.33,Target reached
Peru,2017,2.17,Target reached
Peru,2018,2.01,Target reached
Peru,2019,1.85,Target reached
Peru,2020,1.70,Target reached
Peru,2021,1.58,Target reached
Peru,2022,1.46,Target reached
Peru,2023,1.31,Target reached
Peru,2024,1.18,Target reached
Peru,2025,1.06,Target reached
Peru,2026,0.96,Target reached
Peru,2027,0.88,Target reached
Peru,2028,0.79,Target reached
Peru,2029,0.72,Target reached
Peru,2030,0.66,Target reached
Philippines,2015,12.16,On-track
Philippines,2016,10.44,On-track
Philippines,2017,8.76,On-track
Philippines,2018,7.07,On-track
Philippines,2019,5.34,On-track
Philippines,2020,3.53,On-track
Philippines,2021,2.23,Target reached
Philippines,2022,0.94,Target reached
Philippines,2023,0.00,Target reached
Philippines,2024,0.00,Target reached
Philippines,2025,0.00,Target reached
Philippines,2026,0.00,Target reached
Philippines,2027,0.00,Target reached
Philippines,2028,0.00,Target reached
Philippines,2029,0.00,Target reached
Philippines,2030,0.00,Target reached
Poland,2015,0.05,Target reached
Poland,2016,0.05,Target reached
Poland,2017,0.05,Target reached
Poland,2018,0.04,Target reached
Poland,2019,0.04,Target reached
Poland,2020,0.04,Target reached
Poland,2021,0.03,Target reached
Poland,2022,0.04,Target reached
Poland,2023,0.03,Target reached
Poland,2024,0.03,Target reached
Poland,2025,0.03,Target reached
Poland,2026,0.03,Target reached
Poland,2027,0.03,Target reached
Poland,2028,0.03,Target reached
Poland,2029,0.02,Target reached
Poland,2030,0.02,Target reached
Portugal,2015,0.57,Target reached
Portugal,2016,0.57,Target reached
Portugal,2017,0.56,Target reached
Portugal,2018,0.55,Target reached
Portugal,2019,0.54,Target reached
Portugal,2020,0.54,Target reached
Portugal,2021,0.53,Target reached
Portugal,2022,0.52,Target reached
Portugal,2023,0.53,Target reached
Portugal,2024,0.53,Target reached
Portugal,2025,0.53,Target reached
Portugal,2026,0.53,Target reached
Portugal,2027,0.53,Target reached
Portugal,2028,0.53,Target reached
Portugal,2029,0.54,Target reached
Portugal,2030,0.54,Target reached
Puerto Rico,2015,0.00,Target reached
Puerto Rico,2016,0.00,Target reached
Puerto Rico,2017,0.00,Target reached
Puerto Rico,2018,0.00,Target reached
Puerto Rico,2019,0.00,Target reached
Puerto Rico,2020,0.00,Target reached
Puerto Rico,2021,0.00,Target reached
Puerto Rico,2022,0.00,Target reached
Puerto Rico,2023,0.00,Target reached
Puerto Rico,2024,0.00,Target reached
Puerto Rico,2025,0.00,Target reached
Puerto Rico,2026,0.00,Target reached
Puerto Rico,2027,0.00,Target reached
Puerto Rico,2028,0.00,Target reached
Puerto Rico,2029,0.00,Target reached
Puerto Rico,2030,0.00,Target reached
Qatar,2015,0.00,Target reached
Qatar,2016,0.00,Target reached
Qatar,2017,0.00,Target reached
Qatar,2018,0.00,Target reached
Qatar,2019,0.00,Target reached
Qatar,2020,0.00,Target reached
Qatar,2021,0.00,Target reached
Qatar,2022,0.00,Target reached
Qatar,2023,0.00,Target reached
Qatar,2024,0.00,Target reached
Qatar,2025,0.00,Target reached
Qatar,2026,0.00,Target reached
Qatar,2027,0.00,Target reached
Qatar,2028,0.00,Target reached
Qatar,2029,0.00,Target reached
Qatar,2030,0.00,Target reached
Romania,2015,0.20,Target reached
Romania,2016,0.16,Target reached
Romania,2017,0.14,Target reached
Romania,2018,0.12,Target reached
Romania,2019,0.11,Target reached
Romania,2020,0.09,Target reached
Romania,2021,0.08,Target reached
Romania,2022,0.08,Target reached
Romania,2023,0.07,Target reached
Romania,2024,0.07,Target reached
Romania,2025,0.06,Target reached
Romania,2026,0.06,Target reached
Romania,2027,0.05,Target reached
Romania,2028,0.05,Target reached
Romania,2029,0.04,Target reached
Romania,2030,0.04,Target reached
Russia,2015,0.00,Target reached
Russia,2016,0.00,Target reached
Russia,2017,0.00,Target reached
Russia,2018,0.00,Target reached
Russia,2019,0.00,Target reached
Russia,2020,0.00,Target reached
Russia,2021,0.00,Target reached
Russia,2022,0.00,Target reached
Russia,2023,0.00,Target reached
Russia,2024,0.00,Target reached
Russia,2025,0.00,Target reached
Russia,2026,0.00,Target reached
Russia,2027,0.00,Target reached
Russia,2028,0.00,Target reached
Russia,2029,0.00,Target reached
Russia,2030,0.00,Target reached
Rwanda,2015,52.33,Off-track
Rwanda,2016,50.49,Off-track
Rwanda,2017,48.60,Off-track
Rwanda,2018,46.34,Off-track
Rwanda,2019,43.79,Off-track
Rwanda,2020,41.15,Off-track
Rwanda,2021,38.48,Off-track
Rwanda,2022,35.83,Off-track
Rwanda,2023,33.78,Off-track
Rwanda,2024,31.77,Off-track
Rwanda,2025,29.80,Off-track
Rwanda,2026,27.73,Off-track
Rwanda,2027,25.72,Off-track
Rwanda,2028,23.76,Off-track
Rwanda,2029,21.85,Off-track
Rwanda,2030,20.00,Off-track
Saint Lucia,2015,34.42,Poverty rising
Saint Lucia,2016,34.50,Poverty rising
Saint Lucia,2017,34.74,Poverty rising
Saint Lucia,2018,34.49,Off-track
Saint Lucia,2019,34.24,Off-track
Saint Lucia,2020,33.93,Off-track
Saint Lucia,2021,33.64,Off-track
Saint Lucia,2022,33.34,Off-track
Saint Lucia,2023,33.26,Off-track
Saint Lucia,2024,33.20,Off-track
Saint Lucia,2025,33.13,Off-track
Saint Lucia,2026,32.98,Off-track
Saint Lucia,2027,32.83,Off-track
Saint Lucia,2028,32.69,Off-track
Saint Lucia,2029,32.56,Off-track
Saint Lucia,2030,32.43,Off-track
Saint Vincent and the Grenadines,2015,5.68,On-track
Saint Vincent and the Grenadines,2016,5.41,On-track
Saint Vincent and the Grenadines,2017,5.12,On-track
Saint Vincent and the Grenadines,2018,4.82,On-track
Saint Vincent and the Grenadines,2019,4.53,On-track
Saint Vincent and the Grenadines,2020,4.26,On-track
Saint Vincent and the Grenadines,2021,4.00,On-track
Saint Vincent and the Grenadines,2022,3.76,On-track
Saint Vincent and the Grenadines,2023,3.61,On-track
Saint Vincent and the Grenadines,2024,3.46,On-track
Saint Vincent and the Grenadines,2025,3.32,On-track
Saint Vincent and the Grenadines,2026,3.19,On-track
Saint Vincent and the Grenadines,2027,3.06,On-track
Saint Vincent and the Grenadines,2028,2.94,Target reached
Saint Vincent and the Grenadines,2029,2.82,Target reached
Saint Vincent and the Grenadines,2030,2.71,Target reached
Samoa,2015,0.14,Target reached
Samoa,2016,0.03,Target reached
Samoa,2017,0.02,Target reached
Samoa,2018,0.01,Target reached
Samoa,2019,0.01,Target reached
Samoa,2020,0.01,Target reached
Samoa,2021,0.00,Target reached
Samoa,2022,0.00,Target reached
Samoa,2023,0.00,Target reached
Samoa,2024,0.00,Target reached
Samoa,2025,0.00,Target reached
Samoa,2026,0.00,Target reached
Samoa,2027,0.00,Target reached
