Entity,Year,"Military expenditure per capita, current USD (OWID based on COW and SIPRI)"
Japan,1961,5.4
Japan,1962,6.5
Japan,1963,7.1
Japan,1964,8.06
Japan,1965,8.7
Japan,1966,9.75
Japan,1967,10.71
Japan,1968,11.95
Japan,1969,13.57
Japan,1970,15.95
Japan,1971,21.31
Japan,1972,24.64
Japan,1973,28.7
Japan,1974,36.38
Japan,1975,40.65
Japan,1976,44.09
Japan,1977,48.42
Japan,1978,66.93
Japan,1979,86.25
Japan,1980,79.6
Japan,1981,98.79
Japan,1982,93.17
Japan,1983,97.68
Japan,1984,106.38
Japan,1985,117.42
Japan,1986,172.29
Japan,1987,208.24
Japan,1988,231.74
Japan,1989,244.5
Japan,1990,232.67
Japan,1991,263.62
Japan,1992,310.23
Japan,1993,334.3
Japan,1994,372.58
Japan,1995,400.24
Japan,1996,361.81
Japan,1997,325.47
Japan,1998,304.73
Japan,1999,319.22
Japan,2000,357.62
Japan,2001,310.76
Japan,2002,310.5
Japan,2003,338.55
Japan,2004,356.16
Japan,2005,345.81
Japan,2006,323.62
Japan,2007,322.51
Japan,2008,361.64
Japan,2009,401.13
Japan,2010,426.82
Japan,2011,469.95
Japan,2012,464.26
Jordan,1946,5.88
Jordan,1947,6.19
Jordan,1948,5.96
Jordan,1949,9.36
Jordan,1950,11.32
Jordan,1951,18.83
Jordan,1952,19.31
Jordan,1953,20.38
Jordan,1954,20.48
Jordan,1955,20.46
Jordan,1956,24.19
Jordan,1957,24.34
Jordan,1958,27.95
Jordan,1959,34.41
Jordan,1960,31.56
Jordan,1961,31.02
Jordan,1962,33.23
Jordan,1963,32.95
Jordan,1964,31.94
Jordan,1965,31.54
Jordan,1966,36.9
Jordan,1967,49.05
Jordan,1968,56.75
Jordan,1969,54.45
Jordan,1970,42.39
Jordan,1971,44.67
Jordan,1972,50.26
Jordan,1973,56.96
Jordan,1974,63.39
Jordan,1975,63.96
Jordan,1976,111.6
Jordan,1977,106.79
Jordan,1978,113.57
Jordan,1979,156.52
Jordan,1980,157.68
Jordan,1981,179.95
Jordan,1982,158.5
Jordan,1983,153.51
Jordan,1984,145.02
Jordan,1985,136.4
Jordan,1986,181.05
Jordan,1987,185.96
Jordan,1988,169.56
Jordan,1989,106.6
Jordan,1990,134.12
Jordan,1991,93.5
Jordan,1992,112.93
Jordan,1993,89.46
Jordan,1994,85.75
Jordan,1995,83.38
Jordan,1996,82.6
Jordan,1997,85.9
Jordan,1998,88.67
Jordan,1999,90.71
Jordan,2000,118.76
Jordan,2001,148.65
Jordan,2002,158.27
Jordan,2003,183.39
Jordan,2004,180.68
Jordan,2005,185.72
Jordan,2006,205.38
Jordan,2007,286.6
Jordan,2008,359.84
Jordan,2009,225.37
Jordan,2010,220.76
Jordan,2011,208.88
Jordan,2012,216.86
Kazakhstan,1992,90.81
Kazakhstan,1993,69.18
Kazakhstan,1994,26.02
Kazakhstan,1995,26.58
Kazakhstan,1996,34.67
Kazakhstan,1997,29.88
Kazakhstan,1998,31.13
Kazakhstan,1999,17.89
Kazakhstan,2000,77.05
Kazakhstan,2001,85.75
Kazakhstan,2002,102.58
Kazakhstan,2003,101.71
Kazakhstan,2004,112.74
Kazakhstan,2005,39.56
Kazakhstan,2006,52.54
Kazakhstan,2007,75.6
Kazakhstan,2008,103.29
Kazakhstan,2009,85.94
Kazakhstan,2010,93.02
Kazakhstan,2011,109.7
Kazakhstan,2012,140.13
Kenya,1963,0.21
Kenya,1964,0.62
Kenya,1965,1.01
Kenya,1966,1.35
Kenya,1967,1.58
Kenya,1968,1.55
Kenya,1969,1.57
Kenya,1970,1.69
Kenya,1971,1.88
Kenya,1972,2.32
Kenya,1973,2.88
Kenya,1974,3.09
Kenya,1975,3.8
Kenya,1976,3.9
Kenya,1977,7.39
Kenya,1978,13.78
Kenya,1979,18.14
Kenya,1980,17.16
Kenya,1981,12.8
Kenya,1982,14.74
Kenya,1983,12.41
Kenya,1984,12.44
Kenya,1985,12.57
Kenya,1986,6.52
Kenya,1987,8.84
Kenya,1988,11.53
Kenya,1989,11.82
Kenya,1990,8.8
Kenya,1991,8.88
Kenya,1992,9.97
Kenya,1993,6.05
Kenya,1994,6.52
Kenya,1995,6.75
Kenya,1996,6.79
Kenya,1997,8.12
Kenya,1998,11.07
Kenya,1999,11.07
Kenya,2000,9.24
Kenya,2001,9.9
Kenya,2002,6.48
Kenya,2003,7.29
Kenya,2004,7.23
Kenya,2005,10.84
Kenya,2006,10.83
Kenya,2007,18.04
Kenya,2008,18.96
Kenya,2009,13.38
Kenya,2010,16.84
Kenya,2011,14.97
Kenya,2012,21.54
Kiribati,1999,0
Kiribati,2000,0
Kiribati,2001,0
Kiribati,2002,0
Kiribati,2003,0
Kiribati,2004,0
Kiribati,2005,0
Kiribati,2006,0
Kiribati,2007,0
Kiribati,2008,0
Kiribati,2009,0
Kiribati,2010,0
Kiribati,2011,0
Kiribati,2012,0
Korea,1895,0.08
Korea,1896,0.08
Korea,1897,0.04
Korea,1899,0.06
Korea,1900,0.07
Korea,1901,0.15
Korea,1902,0.12
Korea,1903,0.17
Korea,1904,0.11
Korea,1905,0.1
Kosovo,2008,0
Kosovo,2009,0
Kosovo,2010,0
Kosovo,2011,0
Kosovo,2012,0
Kuwait,1961,52.31
Kuwait,1962,53.22
Kuwait,1963,55.98
Kuwait,1964,64.82
Kuwait,1965,64.26
Kuwait,1966,67.32
Kuwait,1967,95.31
Kuwait,1968,101.26
Kuwait,1969,100.57
Kuwait,1970,93.72
Kuwait,1971,188.75
Kuwait,1972,221.35
Kuwait,1973,269.14
Kuwait,1974,528.86
Kuwait,1975,650.84
Kuwait,1976,799.33
Kuwait,1977,914.01
Kuwait,1978,888.82
Kuwait,1979,769.25
Kuwait,1980,973.76
Kuwait,1981,1113.35
Kuwait,1982,781.43
Kuwait,1983,872.77
Kuwait,1984,1001.08
Kuwait,1985,1062.21
Kuwait,1986,771.37
Kuwait,1987,742.71
Kuwait,1988,746.57
Kuwait,1989,749.39
Kuwait,1990,6118.64
Kuwait,1991,7398.57
Kuwait,1992,20393.81
Kuwait,1993,1947.3
Kuwait,1994,1933.95
Kuwait,1995,2063.28
Kuwait,1996,2265.11
Kuwait,1997,2000
Kuwait,1998,2028.71
Kuwait,1999,1726.41
Kuwait,2000,1873.73
Kuwait,2001,2575.01
Kuwait,2002,1697.75
Kuwait,2003,1834.12
Kuwait,2004,1820.13
Kuwait,2005,1554.01
Kuwait,2006,1453.87
Kuwait,2007,1470.45
Kuwait,2008,2521.1
Kuwait,2009,1468.07
Kuwait,2010,1555.48
Kuwait,2011,1488.32
Kuwait,2012,1464.92
Kyrgyzstan,1992,10.47
Kyrgyzstan,1993,19.03
Kyrgyzstan,1994,10.95
Kyrgyzstan,1995,12.41
Kyrgyzstan,1996,10.93
Kyrgyzstan,1997,14.67
Kyrgyzstan,1998,14.21
Kyrgyzstan,1999,7.5
Kyrgyzstan,2000,48.95
Kyrgyzstan,2001,51.46
Kyrgyzstan,2002,39.98
Kyrgyzstan,2003,43.92
Kyrgyzstan,2004,50.81
Kyrgyzstan,2005,6.74
Kyrgyzstan,2006,7.08
Kyrgyzstan,2007,7.6
Kyrgyzstan,2008,9.04
Kyrgyzstan,2009,8.36
Kyrgyzstan,2010,3.56
Kyrgyzstan,2011,18.88
Kyrgyzstan,2012,19.18
Laos,1954,0.47
Laos,1955,0.05
Laos,1956,0.07
Laos,1957,0.06
Laos,1958,0.03
Laos,1959,0.04
Laos,1960,9.15
Laos,1961,3.34
Laos,1962,11.63
Laos,1963,15.66
Laos,1964,5.64
Laos,1965,10.11
Laos,1966,12.99
Laos,1967,13.77
Laos,1968,14.16
Laos,1969,14.26
Laos,1970,13.35
Laos,1971,6.35
Laos,1972,6.97
Laos,1973,5.39
Laos,1974,7.47
Laos,1975,6.28
Laos,1976,9.14
Laos,1977,13.56
Laos,1978,12.12
Laos,1979,11.98
Laos,1980,6.55
Laos,1981,7.97
Laos,1984,15.73
Laos,1985,15.3
Laos,1989,4.65
Laos,1992,22.89
Laos,1993,23.93
Laos,1994,16.26
Laos,1995,14.95
Laos,1996,15.69
Laos,1997,13.86
Laos,1998,6.59
Laos,1999,4.15
Laos,2000,3.68
Laos,2001,3.53
Laos,2002,1.98
Laos,2003,1.96
Laos,2005,2.07
Laos,2006,2.2
Laos,2007,2.49
Laos,2008,2.77
Laos,2009,2.23
Laos,2011,2.91
Laos,2012,3.01
Latvia,1918,2.77
Latvia,1919,2.45
Latvia,1920,2.03
Latvia,1921,2.23
Latvia,1922,2.37
Latvia,1923,3.11
Latvia,1924,3.69
Latvia,1925,3.92
Latvia,1926,4.72
Latvia,1927,4.18
Latvia,1928,3.99
Latvia,1929,4.12
Latvia,1930,3.94
Latvia,1931,3.3
Latvia,1932,2.72
Latvia,1933,2.75
Latvia,1934,4.53
Latvia,1935,5.1
Latvia,1936,5.41
Latvia,1937,4.05
Latvia,1938,4.59
Latvia,1939,4.24
Latvia,1940,3.99
Latvia,1992,15.12
Latvia,1993,17.83
Latvia,1994,20.02
Latvia,1995,48.09
Latvia,1996,55.8
Latvia,1997,63.06
Latvia,1998,16.5
Latvia,1999,24.28
Latvia,2000,30.12
Latvia,2001,36.09
Latvia,2002,48.77
Latvia,2003,84.79
Latvia,2004,79.27
Latvia,2005,91.56
Latvia,2006,144.74
Latvia,2007,209.04
Latvia,2008,253.51
Latvia,2009,149.62
Latvia,2010,122.91
Latvia,2011,143.27
Latvia,2012,124.27
Lebanon,1946,4.42
Lebanon,1947,3.84
Lebanon,1948,4.19
Lebanon,1949,6.32
Lebanon,1950,4.58
Lebanon,1951,5.51
Lebanon,1952,5.31
Lebanon,1953,6.25
Lebanon,1954,6.24
Lebanon,1955,7.49
Lebanon,1956,10.47
Lebanon,1957,10.48
Lebanon,1958,11.88
Lebanon,1959,10.88
Lebanon,1960,11.75
Lebanon,1961,13.46
Lebanon,1962,18.67
Lebanon,1963,15.5
Lebanon,1964,11.9
Lebanon,1965,13.6
Lebanon,1966,16.82
Lebanon,1967,17.8
Lebanon,1968,18.59
Lebanon,1969,18.21
Lebanon,1970,21.41
Lebanon,1971,17.31
Lebanon,1972,26.7
Lebanon,1973,35.27
Lebanon,1974,47.09
Lebanon,1975,49.29
Lebanon,1976,40.63
Lebanon,1977,30.17
Lebanon,1978,61.03
Lebanon,1979,84.57
Lebanon,1980,109.03
Lebanon,1981,92.04
Lebanon,1982,124.11
Lebanon,1983,148.73
Lebanon,1984,116.46
Lebanon,1985,45.23
Lebanon,1986,37.89
Lebanon,1988,11.24
Lebanon,1990,54.79
Lebanon,1991,57.85
Lebanon,1992,86.36
Lebanon,1993,98
Lebanon,1994,126.93
Lebanon,1995,162.84
Lebanon,1996,160.18
Lebanon,1997,215.01
Lebanon,1998,183.64
Lebanon,1999,173.98
Lebanon,2000,176.11
Lebanon,2001,175.45
Lebanon,2002,153.3
Lebanon,2003,138.75
Lebanon,2004,137
Lebanon,2005,141.46
Lebanon,2006,144.36
Lebanon,2007,177.05
Lebanon,2008,275.92
Lebanon,2009,335.77
Lebanon,2010,373.19
Lebanon,2011,363.33
Lebanon,2012,373.36
Lesotho,1966,0
Lesotho,1967,0
Lesotho,1968,0
Lesotho,1969,0
Lesotho,1970,0
Lesotho,1971,0
Lesotho,1972,0
Lesotho,1973,0
Lesotho,1974,0
Lesotho,1975,0
Lesotho,1976,0
Lesotho,1977,0
Lesotho,1978,0.77
Lesotho,1979,4.51
Lesotho,1980,0
Lesotho,1981,8.05
Lesotho,1982,7.14
Lesotho,1983,16.04
Lesotho,1984,32.02
Lesotho,1985,7.68
Lesotho,1986,20
Lesotho,1987,9.27
Lesotho,1988,10.09
Lesotho,1989,18.73
Lesotho,1990,13.32
Lesotho,1991,12.48
Lesotho,1992,20.12
Lesotho,1993,8.87
Lesotho,1994,16.19
Lesotho,1995,16.28
Lesotho,1996,15.88
Lesotho,1997,15.02
Lesotho,1998,20.37
Lesotho,1999,16.13
Lesotho,2000,12.54
Lesotho,2001,11.15
Lesotho,2002,10.61
Lesotho,2003,14.22
Lesotho,2004,16.21
Lesotho,2005,18.17
Lesotho,2006,18.04
Lesotho,2007,20.45
Lesotho,2008,18.26
Lesotho,2009,27.14
Lesotho,2010,27.87
Lesotho,2011,24.63
Lesotho,2012,26.8
Liberia,1922,0.43
Liberia,1925,0.45
Liberia,1928,0.43
Liberia,1929,0.33
Liberia,1930,0.32
Liberia,1932,0.19
Liberia,1933,0.1
Liberia,1941,0.16
Liberia,1957,2.08
Liberia,1958,1.83
Liberia,1959,0.99
Liberia,1960,2.1
Liberia,1961,4.13
Liberia,1962,3.82
Liberia,1963,3.55
Liberia,1964,2.87
Liberia,1965,2.9
Liberia,1966,2.73
Liberia,1967,3.04
Liberia,1968,2.45
Liberia,1969,2.82
Liberia,1970,2.37
Liberia,1971,3.25
Liberia,1972,2.75
Liberia,1973,2.56
Liberia,1974,2.46
Liberia,1975,2.88
Liberia,1976,3.33
Liberia,1977,3.98
Liberia,1978,3.96
Liberia,1979,4.44
Liberia,1980,13.96
Liberia,1981,19.77
Liberia,1982,13.62
Liberia,1983,10.77
Liberia,1984,12.33
Liberia,1985,12.03
Liberia,1986,16.97
Liberia,1987,17.97
Liberia,1988,11.99
Liberia,1989,15.67
Liberia,1990,12.46
Liberia,1991,14.29
Liberia,1993,5.47
Liberia,1994,13.33
Liberia,1995,16.3
Liberia,1996,16.31
Liberia,1997,15.63
Liberia,1998,17.25
Liberia,1999,8.53
Liberia,2000,7.93
Liberia,2001,7.61
Liberia,2002,0.33
Liberia,2003,0.32
Liberia,2009,2.09
Liberia,2010,2.02
Liberia,2011,3.19
Libya,1959,3.01
Libya,1960,3.02
Libya,1961,3.73
Libya,1962,8.39
Libya,1963,9.05
Libya,1964,9.7
Libya,1965,13.05
Libya,1966,25.91
Libya,1967,21.22
Libya,1968,21.8
Libya,1969,24.82
Libya,1970,40.16
Libya,1971,112.62
Libya,1972,131.79
Libya,1973,180.49
Libya,1974,298.41
Libya,1975,324.09
Libya,1976,501.35
Libya,1977,503.38
Libya,1978,1080.79
Libya,1979,1139.82
Libya,1980,1002.55
Libya,1981,194.91
Libya,1982,1110.74
Libya,1983,1359.63
Libya,1984,1614.15
Libya,1986,400.91
Libya,1987,360.07
Libya,1988,363.78
Libya,1989,379.21
Libya,1990,438.45
Libya,1991,624.13
Libya,1992,510.09
Libya,1994,288.43
Libya,1995,259.11
Libya,1996,237.26
Libya,1997,216.11
Libya,1998,278.89
Libya,1999,239.63
Libya,2000,209.81
Libya,2001,103.02
Libya,2002,88.95
Libya,2003,98.47
Libya,2004,102.6
Libya,2005,128.89
Libya,2006,104.29
Libya,2007,113.46
Libya,2008,184.79
Libya,2009,286.38
Libya,2010,420.46
Libya,2012,485.46
Liechtenstein,1990,0
Liechtenstein,1991,0
Liechtenstein,1992,0
Liechtenstein,1993,0
Liechtenstein,1994,0
Liechtenstein,1995,0
Liechtenstein,1996,0
Liechtenstein,1997,0
Liechtenstein,1998,0
Liechtenstein,1999,0
Liechtenstein,2000,0
Liechtenstein,2001,0
Liechtenstein,2002,0
Liechtenstein,2003,0
Liechtenstein,2004,0
Liechtenstein,2005,0
Liechtenstein,2006,0
Liechtenstein,2007,0
Liechtenstein,2008,0
Liechtenstein,2009,0
Liechtenstein,2010,0
Liechtenstein,2011,0
Liechtenstein,2012,0
Lithuania,1918,3.22
Lithuania,1919,2.91
Lithuania,1920,2.65
Lithuania,1921,2.35
Lithuania,1922,2.43
Lithuania,1923,3
Lithuania,1924,2.03
Lithuania,1925,2.22
Lithuania,1926,1.99
Lithuania,1927,1.75
Lithuania,1928,2.14
Lithuania,1929,2.14
Lithuania,1930,2.39
Lithuania,1931,2.35
Lithuania,1932,1.94
Lithuania,1933,2.02
Lithuania,1934,3.2
Lithuania,1935,4.46
Lithuania,1936,5.11
Lithuania,1937,5.42
Lithuania,1938,5.65
Lithuania,1939,4.14
Lithuania,1940,3.42
Lithuania,1992,14.75
Lithuania,1993,19.62
Lithuania,1994,17.2
Lithuania,1995,30.96
Lithuania,1996,34.5
Lithuania,1997,36.43
Lithuania,1998,37.63
Lithuania,1999,29.06
Lithuania,2000,54.22
Lithuania,2001,60.61
Lithuania,2002,72.49
Lithuania,2003,99.76
Lithuania,2004,93.01
Lithuania,2005,92.79
Lithuania,2006,108.98
Lithuania,2007,140.13
Lithuania,2008,174.04
Lithuania,2009,129.59
Lithuania,2010,149.28
Lithuania,2011,115.31
Lithuania,2012,108.65
Luxembourg,1920,0.48
Luxembourg,1921,0.54
Luxembourg,1922,0.8
Luxembourg,1923,0.73
Luxembourg,1924,0.44
Luxembourg,1925,0.54
Luxembourg,1926,0.7
Luxembourg,1927,0.59
Luxembourg,1928,0.67
Luxembourg,1929,0.86
Luxembourg,1930,0.91
Luxembourg,1931,1.19
Luxembourg,1932,0.69
Luxembourg,1933,0.75
Luxembourg,1934,1.07
Luxembourg,1935,1.29
Luxembourg,1936,1.1
Luxembourg,1937,1.13
Luxembourg,1938,1.98
Luxembourg,1939,3.27
Luxembourg,1940,3.95
Luxembourg,1944,4.94
Luxembourg,1945,6.21
Luxembourg,1946,6.77
Luxembourg,1947,7.33
Luxembourg,1948,7.9
Luxembourg,1949,8.67
Luxembourg,1950,11.47
Luxembourg,1951,17.73
Luxembourg,1952,28.88
Luxembourg,1953,32.15
Luxembourg,1954,37.46
Luxembourg,1955,40.26
Luxembourg,1956,25.75
Luxembourg,1957,28.38
Luxembourg,1958,27.67
Luxembourg,1959,25.85
Luxembourg,1960,16.77
Luxembourg,1961,18.41
Luxembourg,1962,22.21
Luxembourg,1963,21.59
Luxembourg,1964,28.27
Luxembourg,1965,28.95
Luxembourg,1966,29.98
Luxembourg,1967,24.66
Luxembourg,1968,22.26
Luxembourg,1969,23.14
Luxembourg,1970,24.54
Luxembourg,1971,26.44
Luxembourg,1972,33.85
Luxembourg,1973,44.05
Luxembourg,1974,51.35
Luxembourg,1975,63.31
Luxembourg,1976,70.53
Luxembourg,1977,79.53
Luxembourg,1978,101.23
Luxembourg,1979,116.7
Luxembourg,1980,144.11
Luxembourg,1981,126.36
Luxembourg,1982,112.37
Luxembourg,1983,121.1
Luxembourg,1984,108.43
Luxembourg,1985,63.92
Luxembourg,1986,79.18
Luxembourg,1987,197.04
Luxembourg,1988,198.45
Luxembourg,1989,201.11
Luxembourg,1990,262.38
Luxembourg,1991,273.18
Luxembourg,1992,245.97
Luxembourg,1993,271.36
Luxembourg,1994,316.83
Luxembourg,1995,346.34
Luxembourg,1996,348.56
Luxembourg,1997,321.34
Luxembourg,1998,345.97
Luxembourg,1999,316.9
Luxembourg,2000,299.3
Luxembourg,2001,328.05
Luxembourg,2002,346.85
Luxembourg,2003,447.43
Luxembourg,2004,515.49
Luxembourg,2005,534.93
Luxembourg,2006,545.06
Luxembourg,2007,586.13
Luxembourg,2008,476.39
Luxembourg,2009,500
Luxembourg,2010,525.59
Luxembourg,2011,540.7
Luxembourg,2012,509.54
Macedonia,1993,14.18
Macedonia,1994,16.72
Macedonia,1995,21.69
Macedonia,1996,23.33
Macedonia,1997,27.6
Macedonia,1998,36.02
Macedonia,1999,33.32
Macedonia,2000,35.08
Macedonia,2001,35.87
Macedonia,2002,60.27
Macedonia,2003,65.83
Macedonia,2004,68.07
Macedonia,2005,61.24
Macedonia,2006,63.99
Macedonia,2007,74.87
Macedonia,2008,91.47
Macedonia,2009,75.68
Macedonia,2010,66.13
Macedonia,2011,61.79
Macedonia,2012,61.25
Madagascar,1960,0.08
Madagascar,1961,0.15
Madagascar,1962,1.59
Madagascar,1963,0.84
Madagascar,1964,1.5
Madagascar,1965,1.73
Madagascar,1966,1.82
Madagascar,1967,1.9
Madagascar,1968,1.98
Madagascar,1969,2.06
Madagascar,1970,1.78
Madagascar,1971,1.82
Madagascar,1972,2.24
Madagascar,1973,2.76
Madagascar,1974,3.42
Madagascar,1975,3.88
Madagascar,1976,4.44
Madagascar,1977,5.29
Madagascar,1978,6.13
Madagascar,1979,9.32
Madagascar,1980,10.18
Madagascar,1981,11.32
Madagascar,1982,7.35
Madagascar,1983,7.22
Madagascar,1984,5.43
Madagascar,1985,5.44
Madagascar,1986,5.33
Madagascar,1987,3.21
Madagascar,1988,2.71
Madagascar,1989,2.86
Madagascar,1990,3.27
Madagascar,1991,2.65
Madagascar,1992,2.29
Madagascar,1993,2.65
Madagascar,1994,3.82
Madagascar,1995,2.22
Madagascar,1996,2.48
Madagascar,1997,2.34
Madagascar,1998,2.99
Madagascar,2002,17.51
Madagascar,2003,18.79
Madagascar,2004,14.13
Madagascar,2005,2.95
Madagascar,2006,2.87
Madagascar,2007,4.23
Madagascar,2008,5.17
Madagascar,2009,4.39
Madagascar,2010,2.66
Madagascar,2011,3.32
Madagascar,2012,3.1
Malawi,1964,0.22
Malawi,1965,0.36
Malawi,1966,0.35
Malawi,1967,0.41
Malawi,1968,0.34
Malawi,1969,0.33
Malawi,1970,0.31
Malawi,1971,0.36
Malawi,1972,0.39
Malawi,1973,0.59
Malawi,1974,0.77
Malawi,1975,1.64
Malawi,1976,1.65
Malawi,1977,2.41
Malawi,1978,3.71
Malawi,1979,3.78
Malawi,1980,4.86
Malawi,1981,5.94
Malawi,1982,4.07
Malawi,1983,3.62
Malawi,1984,3.07
Malawi,1985,5.16
Malawi,1986,3.06
Malawi,1987,2.97
Malawi,1988,2.67
Malawi,1989,2.74
Malawi,1990,2.17
Malawi,1991,2.34
Malawi,1992,2.2
Malawi,1993,1.92
Malawi,1994,2.22
Malawi,1995,2.15
Malawi,1996,2.37
Malawi,1997,2.2
Malawi,1998,2.51
Malawi,1999,2.54
Malawi,2000,0.55
Malawi,2001,0.55
Malawi,2002,1.26
Malawi,2003,1.06
Malawi,2004,1.03
Malawi,2005,2.63
Malawi,2006,2.93
Malawi,2007,3.06
Malawi,2008,3.04
Malawi,2009,3.5
Malawi,2011,2.78
Malawi,2012,2.01
Malaysia,1957,5.88
Malaysia,1958,5.94
Malaysia,1959,4.91
Malaysia,1960,4.38
Malaysia,1961,3.6
Malaysia,1962,3.53
Malaysia,1963,4.81
Malaysia,1964,6.41
Malaysia,1965,10.72
Malaysia,1966,13.14
Malaysia,1967,12.26
Malaysia,1968,12.43
Malaysia,1969,11.74
Malaysia,1970,11.87
Malaysia,1971,17.76
Malaysia,1972,24.96
Malaysia,1973,32.71
Malaysia,1974,39.33
Malaysia,1975,45.88
Malaysia,1976,39.18
Malaysia,1977,49.01
Malaysia,1978,59.2
Malaysia,1979,86.71
Malaysia,1980,98.97
Malaysia,1981,144.24
Malaysia,1982,146.96
Malaysia,1983,139.72
Malaysia,1984,78.39
Malaysia,1985,112.49
Malaysia,1986,62.7
Malaysia,1987,51.63
Malaysia,1988,95.15
Malaysia,1989,79.75
Malaysia,1990,87.82
Malaysia,1991,93.82
Malaysia,1992,131.28
Malaysia,1993,132.9
Malaysia,1994,156.23
Malaysia,1995,169.85
Malaysia,1996,174.55
Malaysia,1997,155.87
Malaysia,1998,88.32
Malaysia,1999,144.66
Malaysia,2000,115.94
Malaysia,2001,135.3
Malaysia,2002,91.67
Malaysia,2003,115.78
Malaysia,2004,108.1
Malaysia,2005,120.34
Malaysia,2006,121.78
Malaysia,2007,149.96
Malaysia,2008,160.06
Malaysia,2009,139.73
Malaysia,2010,129.12
Malaysia,2011,163.18
Malaysia,2012,151.85
Maldives,1984,10
Maldives,1986,0
Maldives,1987,0
Maldives,1988,0
Maldives,1989,0
Maldives,1990,0
Maldives,1991,0
Maldives,1992,0
Maldives,1993,0
Maldives,1998,143.91
Maldives,1999,147.48
Maldives,2000,122.38
Maldives,2001,130.43
Maldives,2002,91.87
Maldives,2003,118.06
Maldives,2004,98.98
Maldives,2005,154.36
Maldives,2006,184.82
Maldives,2007,204.55
Mali,1960,0
Mali,1961,1.83
Mali,1962,2
Mali,1963,2.21
Mali,1964,2.37
Mali,1965,2.39
Mali,1966,2.22
Mali,1967,2.29
Mali,1968,1.2
Mali,1969,1.23
Mali,1970,1.28
Mali,1971,1.02
Mali,1972,1.45
Mali,1973,1.86
Mali,1974,1.93
Mali,1975,3.06
Mali,1976,3.46
Mali,1977,3.99
Mali,1978,4.62
Mali,1979,5.23
Mali,1980,6.62
Mali,1981,8.7
Mali,1982,7.63
Mali,1983,6.98
Mali,1984,7
Mali,1985,3.39
Mali,1986,4.92
Mali,1987,7.92
Mali,1988,8.15
Mali,1989,5.15
Mali,1990,4.29
Mali,1991,3.68
Mali,1992,6.68
Mali,1993,5.92
Mali,1994,4.97
Mali,1995,4.63
Mali,1996,3.77
Mali,1997,3.75
Mali,1998,3.37
Mali,1999,3.1
Mali,2000,5.7
Mali,2001,5.99
Mali,2002,5.88
Mali,2003,7.22
Mali,2004,8.12
Mali,2005,10.05
Mali,2006,10.71
Mali,2007,12.34
Mali,2008,11.95
Mali,2009,13.05
Mali,2010,14.59
Mali,2011,15.68
Mali,2012,14.34
Malta,1964,0
Malta,1965,0
Malta,1966,0
Malta,1967,0
Malta,1968,0
Malta,1969,0
Malta,1970,0
Malta,1971,3.3
Malta,1972,3.3
Malta,1973,3.3
Malta,1974,6.62
Malta,1975,6.58
Malta,1976,6.47
Malta,1977,9.58
Malta,1978,12.62
Malta,1979,15.63
Malta,1980,16.45
Malta,1981,21.41
Malta,1982,33.85
Malta,1983,45.73
Malta,1984,44.51
Malta,1985,38.37
Malta,1986,49.91
Malta,1987,67.38
Malta,1988,64.5
Malta,1989,61.51
Malta,1990,59.86
Malta,1991,60.87
Malta,1992,74.79
Malta,1993,57.53
Malta,1994,76.09
Malta,1995,86.25
Malta,1996,91.15
Malta,1997,82.67
Malta,1998,78.13
Malta,1999,69.95
Malta,2000,69.41
Malta,2001,62.34
Malta,2002,80.49
Malta,2003,99.51
Malta,2004,125.91
Malta,2005,118.07
Malta,2006,110.31
Malta,2007,105.01
Malta,2008,116.39
Malta,2009,139.48
Malta,2010,138.82
Malta,2011,131.46
Malta,2012,116.82
Marshall Islands,1991,0
Marshall Islands,1992,0
Marshall Islands,1993,0
Marshall Islands,1994,0
Marshall Islands,1995,0
Marshall Islands,1996,0
Marshall Islands,1997,0
Marshall Islands,1998,0
Marshall Islands,1999,0
Marshall Islands,2000,0
Marshall Islands,2001,0
Marshall Islands,2002,0
Marshall Islands,2003,0
Marshall Islands,2004,0
Marshall Islands,2005,0
Marshall Islands,2006,0
Marshall Islands,2007,0
Marshall Islands,2008,0
Marshall Islands,2009,0
Marshall Islands,2010,0
Marshall Islands,2011,0
Marshall Islands,2012,0
Mauritania,1960,1.01
Mauritania,1961,1.98
Mauritania,1962,2.91
Mauritania,1963,3.81
Mauritania,1964,1.86
Mauritania,1965,1.83
Mauritania,1966,3.58
Mauritania,1967,5.25
Mauritania,1968,6.85
Mauritania,1969,6.7
Mauritania,1970,5.83
Mauritania,1971,2.04
Mauritania,1972,3.1
Mauritania,1973,4.46
Mauritania,1974,5.62
Mauritania,1975,20.27
Mauritania,1976,31.27
Mauritania,1977,43.05
Mauritania,1978,38.02
Mauritania,1979,38.95
Mauritania,1980,52.23
Mauritania,1981,40.25
Mauritania,1982,41.7
Mauritania,1983,29.08
Mauritania,1984,22.97
Mauritania,1985,26.61
Mauritania,1986,26.49
Mauritania,1987,18.84
Mauritania,1989,20.48
Mauritania,1991,19.45
Mauritania,1992,17.55
Mauritania,1993,11.82
Mauritania,1994,13.57
Mauritania,1995,12.7
Mauritania,1996,11.48
Mauritania,1997,10.03
Mauritania,1998,9.89
Mauritania,1999,9.24
Mauritania,2000,8.99
Mauritania,2001,9.18
Mauritania,2002,6.26
Mauritania,2003,6.41
Mauritania,2004,6.22
Mauritania,2005,5.72
Mauritania,2006,5.56
Mauritania,2007,5.71
