Entity,Year,"Poverty headcount ratio at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty headcount ratio at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))"
Serbia,2010,0.1,1.65,0.01,0.26
Serbia,2013,0.19,1.33,0.04,0.3
Seychelles,1999,0.58,2.37,0.11,0.65
Seychelles,2006,0.37,0.97,0.05,0.27
Seychelles,2013,1.06,2.46,0.43,0.89
Sierra Leone,1989,65.49,78.33,46.79,56.7
Sierra Leone,2003,58.47,80.87,21.72,41.07
Sierra Leone,2011,52.33,79.96,16.7,36.71
Slovakia,1988,0,0,0,0
Slovakia,1992,0,0,0,0
Slovakia,1996,0.52,1.95,0.07,0.51
Slovakia,2004,0.08,0.48,0.01,0.1
Slovakia,2005,0.28,0.45,0.17,0.23
Slovakia,2006,0,0.04,0,0.01
Slovakia,2007,0.37,0.86,0.53,0.55
Slovakia,2008,0.3,0.53,0.28,0.35
Slovakia,2009,0,0,0,0
Slovakia,2010,0.42,0.51,0.2,0.3
Slovakia,2011,0.36,0.53,0.21,0.31
Slovakia,2012,0.24,0.42,0.12,0.19
Slovenia,1987,0.02,0.06,0.02,0.03
Slovenia,1993,0.05,0.1,0.04,0.05
Slovenia,1998,0.02,0.06,0.02,0.03
Slovenia,2002,0,0.13,0,0.02
Slovenia,2003,0,0,0,0
Slovenia,2004,0.07,0.21,0.22,0.19
Slovenia,2005,0.1,0.18,0.05,0.09
Slovenia,2006,0.06,0.1,1.53,0.97
Slovenia,2007,0.03,0.09,0.21,0.15
Slovenia,2008,0.01,0.01,0.03,0.02
Slovenia,2009,0.01,0.03,0.48,0.31
Slovenia,2010,0.01,0.01,0.05,0.04
Slovenia,2011,0,0.01,0,0
Slovenia,2012,0.03,0.05,0,0.01
Solomon Islands,2005,45.6,69.26,17.38,33.59
South Africa,1993,29.29,46.67,9.52,20.83
South Africa,1996,33.81,52.86,12.87,25.03
South Africa,2000,32.59,49.97,11.71,23.45
South Africa,2006,25.44,46.84,8.14,19.39
South Africa,2008,16.89,35.75,4.8,13.26
South Africa,2011,16.56,34.68,4.9,13.09
South Asia,1981,54.65,84.02,17.43,38.6
South Asia,1984,52.26,82.83,16.04,37.07
South Asia,1987,48.2,80.65,13.72,34.42
South Asia,1990,44.58,78.42,12.13,32.27
South Asia,1993,44.82,78.8,11.85,32.3
South Asia,1996,40.25,75.59,10.18,29.74
South Asia,2002,38.45,73.76,9.36,28.47
South Asia,2005,33.64,69.5,7.85,25.69
South Asia,2008,29.37,65.85,6.53,23.22
South Asia,2010,24.58,61.8,5.25,20.65
South Asia,2011,19.85,56.71,3.96,17.68
South Asia,2012,17.51,53.31,3.37,16.11
South Asia,2013,15.09,50.3,2.79,14.56
South Sudan,2009,42.71,63.46,18.91,32.34
Sri Lanka,1985,13.27,43.07,2.55,12.35
Sri Lanka,1990,8.73,40.45,1.49,10.08
Sri Lanka,1995,8.85,38.94,1.6,9.96
Sri Lanka,2002,8.25,33.9,1.41,8.87
Sri Lanka,2006,3.75,21.66,0.55,4.91
Sri Lanka,2009,2.41,16.73,0.41,3.44
Sri Lanka,2012,1.92,14.59,0.29,3.03
Sub-Saharan Africa,1990,54.28,73.76,24.33,40.2
Sub-Saharan Africa,1993,58.39,76.6,27.07,43.18
Sub-Saharan Africa,1996,57.69,76.53,26.68,42.8
Sub-Saharan Africa,1999,57.12,76.84,26.03,42.4
Sub-Saharan Africa,2002,55.58,76.53,25,41.46
Sub-Saharan Africa,2005,50.04,73.06,21.17,37.29
Sub-Saharan Africa,2008,47.03,70.28,19.11,34.92
Sub-Saharan Africa,2010,45.68,69.13,18.34,33.98
Sub-Saharan Africa,2011,44.06,67.86,17.43,32.85
Sub-Saharan Africa,2012,42.6,66.5,16.72,31.85
Sub-Saharan Africa,2013,40.99,64.99,15.95,30.75
Sudan,2009,14.92,38.94,3.98,12.79
Suriname,1999,23.38,40.76,16.56,23.13
Swaziland,1994,81.66,91.44,51.04,65.28
Swaziland,2000,48.44,70.28,17.49,34.2
Swaziland,2009,42.03,63.12,16.64,31.05
Tajikistan,1999,54.37,86.06,17.49,39.05
Tajikistan,2003,30.83,64.78,8.19,24.01
Tajikistan,2004,15.43,46.29,3.57,14.38
Tajikistan,2007,10.35,32.65,3.79,10.1
Tajikistan,2009,4.74,23.43,0.9,5.53
Tajikistan,2012,24.47,63.34,5.21,20.75
Tajikistan,2013,22.56,60.82,4.88,19.46
Tajikistan,2014,19.51,56.67,4.06,17.42
Tanzania,1991,70.42,88.66,28.95,49.15
Tanzania,2000,84.74,95.26,44.54,62.58
Tanzania,2007,52.73,77.89,18.95,37.63
Tanzania,2011,46.6,76.1,14.35,33.57
Thailand,1981,19.57,41.53,5.01,14.64
Thailand,1988,14.31,38.22,2.55,11.53
Thailand,1990,9.37,34.31,1.78,9.38
Thailand,1992,6.65,27.36,1.13,7.2
Thailand,1994,3.22,17.87,0.52,4.06
Thailand,1996,2.25,13.93,0.34,2.92
Thailand,1998,1.5,12.93,0.23,2.52
Thailand,1999,2.54,17.16,0.36,3.7
Thailand,2000,2.55,16.97,0.41,3.68
Thailand,2002,1.14,10.75,0.22,2.1
Thailand,2004,0.75,8.01,0.12,1.46
Thailand,2006,0.69,5.51,0.11,1.04
Thailand,2007,0.34,3.74,0.05,0.64
Thailand,2008,0.15,2.97,0.02,0.46
Thailand,2009,0.17,2.59,0.03,0.4
Thailand,2010,0.14,2.09,0.01,0.33
Thailand,2011,0.04,1.17,0.01,0.16
Thailand,2012,0.06,1.23,0.01,0.19
Thailand,2013,0.04,0.92,0,0.12
Timor,2001,44.22,72.84,13.49,31.41
Timor,2007,46.76,80.01,12.09,32.86
Togo,2006,55.55,76.69,21.05,39.09
Togo,2011,54.18,74.54,23.21,39.54
Tonga,2001,2.83,7.58,0.74,2.35
Tonga,2009,1.09,8.19,0.23,1.84
Trinidad and Tobago,1988,0.67,7.7,0.02,1.62
Trinidad and Tobago,1992,3.41,12.24,0.86,3.44
Tunisia,1985,13.93,34.59,3.47,11.58
Tunisia,1990,9.82,27.42,2.44,8.66
Tunisia,1995,10.86,28.69,2.54,9.22
Tunisia,2000,5.32,20.15,1.02,5.46
Tunisia,2005,3.09,13.26,0.65,3.37
Tunisia,2010,1.99,8.41,0.4,2.11
Turkey,1987,1.61,9.75,0.38,2.18
Turkey,1994,2.57,12.08,0.57,3.01
Turkey,2002,1.71,9.94,0.22,2.28
Turkey,2003,3.74,13.2,0.75,3.63
Turkey,2004,2.12,9.08,0.3,2.35
Turkey,2005,2.6,9.34,0.48,2.55
Turkey,2006,1.88,7.76,0.32,1.91
Turkey,2007,1.43,6.32,0.17,1.47
Turkey,2008,0.62,5.36,0.18,1.18
Turkey,2009,0.87,4.57,0.07,1.03
Turkey,2010,0.78,4.25,0.1,1
Turkey,2011,0.28,3.99,0.01,0.74
Turkey,2012,0.26,3.1,0.01,0.6
Turkey,2013,0.33,2.62,0.06,0.54
Turkmenistan,1988,39.4,76.22,8.99,28.86
Turkmenistan,1993,80.85,94.24,39.45,58.68
Turkmenistan,1998,42.26,69.14,14.54,31
Tuvalu,2010,2.66,16.28,0.58,3.73
Uganda,1989,87.11,95.29,51.93,67.49
Uganda,1992,68.11,87.8,28.61,48.45
Uganda,1996,59.6,83.37,22.56,42.27
Uganda,1999,64.12,84.64,26.33,45.58
Uganda,2002,62.21,82.48,24.47,43.75
Uganda,2005,53.18,76.33,19.4,37.76
Uganda,2009,41.46,69.37,13.16,30.22
Uganda,2012,34.64,64.95,10.29,26.22
Ukraine,1988,0.73,6.64,0.21,1.22
Ukraine,1992,2.98,11.79,0.68,3.08
Ukraine,1993,1.32,8.3,0.28,1.81
Ukraine,1995,5.38,18.96,1.43,5.42
Ukraine,1996,5.37,21.37,1.47,5.91
Ukraine,1999,8.26,34.65,1.65,9.08
Ukraine,2002,1.67,10.58,0.31,2.26
Ukraine,2003,0.63,6.25,0.13,1.17
Ukraine,2004,0.56,4.97,0.08,0.93
Ukraine,2005,0.26,2.26,0.04,0.41
Ukraine,2006,0.13,1.4,0.01,0.24
Ukraine,2007,0.08,1.03,0.01,0.16
Ukraine,2008,0.01,0.4,0,0.04
Ukraine,2009,0.07,0.55,0.01,0.1
Ukraine,2010,0,0.25,0,0.03
Ukraine,2011,0,0.17,0,0.02
Ukraine,2012,0,0.2,0,0.05
Ukraine,2013,0,0.08,0,0.01
Ukraine,2014,0.01,0.12,0,0.02
Upper middle income,1981,56.67,67.75,27.2,41.14
Upper middle income,1984,49.45,66.34,19.14,34.73
Upper middle income,1987,39.82,61.56,14.25,28.9
Upper middle income,1990,43.19,62.08,15.8,30.5
Upper middle income,1993,37.36,57.03,13.52,27
Upper middle income,1996,28.56,50.45,9.16,21.27
Upper middle income,1999,27.69,48.13,9.26,20.67
Upper middle income,2002,22.18,40.76,7.28,16.84
Upper middle income,2005,13.76,30.62,3.98,11
Upper middle income,2008,10.35,23.58,2.97,8.36
Upper middle income,2010,8.21,19.82,2.22,6.75
Upper middle income,2011,6.21,16.64,1.69,5.41
Upper middle income,2012,5.27,14.55,1.42,4.66
Upper middle income,2013,2.66,9.91,0.86,2.82
Uruguay,1981,0,3.92,0,0.56
Uruguay,1989,0.46,2.11,0.15,0.55
Uruguay,1992,0.45,2.02,0.15,0.55
Uruguay,1995,0.68,2.28,0.2,0.67
Uruguay,1996,0.81,2.76,0.26,0.78
Uruguay,1997,0.68,2.37,0.23,0.69
Uruguay,1998,0.9,2.53,0.26,0.77
Uruguay,2000,0.57,2.63,0.17,0.7
Uruguay,2001,0.75,3.35,0.18,0.84
Uruguay,2002,1.08,4.32,0.21,1.09
Uruguay,2003,1.31,5.22,0.3,1.34
Uruguay,2004,1.49,6.88,0.34,1.69
Uruguay,2005,1.54,6.11,0.33,1.56
Uruguay,2006,0.89,4.67,0.22,1.09
Uruguay,2007,0.61,3.78,0.12,0.83
Uruguay,2008,0.33,2.55,0.06,0.51
Uruguay,2009,0.34,2.11,0.08,0.44
Uruguay,2010,0.23,1.61,0.08,0.35
Uruguay,2011,0.32,1.61,0.1,0.38
Uruguay,2012,0.4,1.67,0.11,0.43
Uruguay,2013,0.34,1.56,0.11,0.39
Uruguay,2014,0.3,1.3,0.09,0.33
Uzbekistan,1988,0,3.36,0,0.09
Uzbekistan,1998,45.47,69.15,20.06,34.88
Uzbekistan,2000,68.07,88.71,27.07,47.76
Uzbekistan,2002,65.57,87.99,22.38,44.44
Uzbekistan,2003,66.79,87.82,25.32,46.39
Vanuatu,2010,15.36,38.8,3.73,12.75
Venezuela,1981,1.27,9.52,0.06,2.15
Venezuela,1987,0.82,10.24,0.02,2.19
Venezuela,1989,7.83,13.91,5.55,7.52
Venezuela,1992,4.31,8.53,2.79,4.12
Venezuela,1995,8.56,18.34,4.29,7.81
Venezuela,1998,11.44,20.29,7.31,10.52
Venezuela,1999,10.16,20.47,5.32,9.1
Venezuela,2001,9.59,19.05,5.45,8.76
Venezuela,2002,16.03,27.83,9.44,14.2
Venezuela,2003,20.03,33.58,12.13,17.81
Venezuela,2004,17.46,29.08,11.12,15.78
Venezuela,2005,17.01,23.97,12.45,15.49
Venezuela,2006,9.24,14.9,6.8,8.77
Vietnam,1992,49.21,77.09,14.95,34.67
Vietnam,1998,34.79,69.11,8.59,26.38
Vietnam,2002,38.78,69.32,10.37,28.18
Vietnam,2004,27.12,58.46,7.02,21.43
Vietnam,2006,22.01,51.15,5.52,17.77
Vietnam,2008,16.17,45.61,4.06,14.68
Vietnam,2010,4.78,18.05,0.99,4.91
Vietnam,2012,3.23,13.86,0.58,3.47
Vietnam,2014,3.06,12.02,0.62,3.09
World,1981,42.15,,17.96,
World,1984,39.06,,14.52,
World,1987,34.81,,12.19,
World,1990,35.01,,12.16,
World,1993,33.49,,11.55,
World,1996,28.78,,9.35,
World,1999,28.04,,9.17,
World,2002,25.3,,8.14,
World,2005,20.37,,6.17,
World,2008,17.83,,5.29,
World,2010,15.56,,4.59,
World,2011,13.5,,3.99,
World,2012,12.42,,3.67,
World,2013,10.68,,3.23,
Zambia,1991,54.05,68.17,34.74,45.1
Zambia,1993,54.54,72.87,27.69,42.01
Zambia,1996,41.73,63.29,15.86,30.37
Zambia,1998,42.14,64.25,16.76,31.2
Zambia,2002,49.44,75.08,17.45,35.57
Zambia,2004,56.69,74.02,27.26,42.43
Zambia,2006,60.46,76.86,30.09,45.44
Zambia,2010,64.42,78.87,31.59,47.54
Zimbabwe,2011,21.4,45.5,5.17,16.33
