Entity,Year,Patent application rates (OWID based on World Bank & UN),"Patent application rates, nonresidents (OWID based on World Bank & UN)",Scientific and technical journal publication rates (OWID based on World Bank & UN),"Patent application rates, aged 15+ (OWID based on World Bank & UN)","Patent application rates, aged 15+, nonresidents (OWID based on World Bank & UN)","Scientific and technical journal publication rates, aged 15+ (OWID based on World Bank & UN)"
Lower middle income,2011,5.368,19.54,44.476,0.079,0.288,0.656
Lower middle income,2012,5.216,17.532,47.561,0.077,0.257,0.698
Lower middle income,2013,6.2,19.162,49.878,0.091,0.28,0.73
Lower middle income,2014,6.358,18.22,,0.093,0.265,
Lower middle income,2015,6.464,18.684,,0.094,0.271,
Luxembourg,1985,220.885,1197.144,,2.667,14.457,
Luxembourg,1986,217.182,1104.912,,2.62,13.327,
Luxembourg,1987,186.109,809.171,,2.244,9.757,
Luxembourg,1988,182.086,664.078,,2.197,8.012,
Luxembourg,1989,153.805,448.157,,1.858,5.413,
Luxembourg,1990,107.372,432.107,,1.299,5.229,
Luxembourg,1991,134.367,307.494,,1.629,3.728,
Luxembourg,1993,183.659,417.636,,2.238,5.09,
Luxembourg,1994,124.093,183.657,,1.517,2.245,
Luxembourg,1995,85.653,168.859,,1.05,2.07,
Luxembourg,1996,125.536,185.889,,1.543,2.284,
Luxembourg,1997,114.436,243.176,,1.408,2.993,
Luxembourg,1998,103.603,160.113,,1.276,1.973,
Luxembourg,1999,55.752,199.779,,0.687,2.463,
Luxembourg,2000,194.82,208.572,136.832,2.404,2.573,1.688
Luxembourg,2001,115.509,158.541,141.781,1.425,1.956,1.749
Luxembourg,2002,91.892,94.133,174.147,1.133,1.161,2.147
Luxembourg,2003,35.427,17.714,184.443,0.436,0.218,2.272
Luxembourg,2004,50.208,39.293,312.599,0.618,0.484,3.847
Luxembourg,2005,51.595,137.588,309.787,0.634,1.691,3.807
Luxembourg,2006,55.011,55.011,398.191,0.674,0.674,4.881
Luxembourg,2007,31.25,52.084,445.631,0.382,0.637,5.448
Luxembourg,2008,98.23,47.068,632.968,1.198,0.574,7.719
Luxembourg,2009,120.534,48.214,773.228,1.467,0.587,9.408
Luxembourg,2010,155.833,41.424,890.418,1.892,0.503,10.812
Luxembourg,2011,163.983,82.956,1103.701,1.985,1.004,13.362
Luxembourg,2012,205.294,97.938,1085.233,2.478,1.182,13.1
Luxembourg,2013,207.965,103.062,1347.541,2.503,1.24,16.217
Luxembourg,2014,230.084,161.778,,2.761,1.941,
Luxembourg,2015,224.718,208.917,,2.689,2.5,
Macao,2001,,15.979,,,0.204,
Macao,2002,,26.732,,,0.336,
Macao,2004,,46.664,,,0.571,
Macao,2005,6.217,246.602,,0.075,2.982,
Macao,2006,,265.548,,,3.174,
Macao,2007,1.985,577.584,,0.023,6.82,
Macao,2008,5.833,404.395,,0.068,4.72,
Macao,2009,1.904,234.146,,0.022,2.705,
Macao,2010,7.449,108.014,,0.085,1.238,
Macao,2011,7.28,101.922,,0.083,1.166,
Macao,2012,8.888,94.217,,0.102,1.077,
Macao,2013,10.42,93.776,,0.119,1.073,
Macao,2014,3.397,176.636,,0.039,2.026,
Macao,2015,4.992,103.171,,0.057,1.186,
Macedonia,1993,39.314,25.201,,0.528,0.339,
Macedonia,1994,29.268,89.822,,0.392,1.202,
Macedonia,1995,50.422,38.321,,0.672,0.511,
Macedonia,1996,26.138,6.534,,0.346,0.087,
Macedonia,1997,33.007,59.012,,0.435,0.777,
Macedonia,1998,41.748,29.82,,0.546,0.39,
Macedonia,1999,31.614,0.988,,0.411,0.013,
Macedonia,2000,34.893,26.047,73.962,0.451,0.336,0.955
Macedonia,2001,32.308,28.881,80.525,0.414,0.37,1.033
Macedonia,2002,20.499,102.005,72.086,0.261,1.301,0.919
Macedonia,2003,23.376,11.201,69.786,0.297,0.142,0.885
Macedonia,2004,21.39,4.375,118.714,0.27,0.055,1.498
Macedonia,2005,25.725,7.281,116.344,0.323,0.091,1.46
Macedonia,2006,26.658,1.939,101.156,0.333,0.024,1.263
Macedonia,2007,50.836,6.294,122.83,0.631,0.078,1.525
Macedonia,2008,16.446,2.419,150.094,0.203,0.03,1.852
Macedonia,2009,18.849,5.316,183.559,0.231,0.065,2.253
Macedonia,2010,13.039,0.483,150.671,0.159,0.006,1.841
Macedonia,2011,17.854,1.448,203.148,0.217,0.018,2.471
Macedonia,2012,24.108,1.446,212.34,0.292,0.018,2.575
Macedonia,2013,20.234,1.927,211.925,0.245,0.023,2.564
Madagascar,1994,0.689,1.531,,0.012,0.028,
Madagascar,1995,1.633,1.187,,0.03,0.022,
Madagascar,1996,0.503,1.654,,0.009,0.03,
Madagascar,1997,0.627,2.509,,0.011,0.046,
Madagascar,1998,0.945,2.026,,0.017,0.037,
Madagascar,1999,0.654,2.421,,0.012,0.044,
Madagascar,2000,0.444,3.044,2.67,0.008,0.056,0.049
Madagascar,2001,,2.337,2.669,,0.043,0.049
Madagascar,2002,0.239,1.491,1.593,0.004,0.027,0.029
Madagascar,2003,0.174,1.157,2.957,0.003,0.021,0.054
Madagascar,2004,0.899,1.236,2.809,0.016,0.022,0.051
Madagascar,2005,0.382,1.909,3.163,0.007,0.035,0.057
Madagascar,2006,0.212,2.119,3.326,0.004,0.038,0.06
Madagascar,2007,0.463,3.448,5.593,0.008,0.062,0.1
Madagascar,2008,0.7,3.151,4.101,0.013,0.056,0.073
Madagascar,2009,0.049,2.091,4.132,0.001,0.037,0.073
Madagascar,2010,0.425,1.607,3.825,0.008,0.028,0.068
Madagascar,2011,0.138,2.667,4.374,0.002,0.047,0.077
Madagascar,2012,0.179,1.79,4.202,0.003,0.031,0.073
Madagascar,2013,0.174,2.047,4.93,0.003,0.036,0.086
Madagascar,2014,0.212,1.229,,0.004,0.021,
Madagascar,2015,0.124,0.66,,0.002,0.011,
Malawi,1985,,4.854,,,0.093,
Malawi,1986,,5.115,,,0.097,
Malawi,1987,,6.527,,,0.123,
Malawi,1988,0.116,3.821,,0.002,0.072,
Malawi,1989,0.11,3.738,,0.002,0.07,
Malawi,1990,,3.497,,,0.064,
Malawi,1991,0.104,2.178,,0.002,0.04,
Malawi,1992,0.206,1.233,,0.004,0.023,
Malawi,1993,0.308,1.538,,0.006,0.029,
Malawi,1994,0.102,1.225,,0.002,0.023,
Malawi,1995,0.101,3.33,,0.002,0.062,
Malawi,1996,0.198,2.967,,0.004,0.055,
Malawi,1997,0.193,2.504,,0.004,0.047,
Malawi,1998,0.187,1.681,,0.004,0.032,
Malawi,1999,0.091,,,0.002,,
Malawi,2000,0.264,1.494,5.468,0.005,0.028,0.103
Malawi,2001,,26.762,5.729,,0.505,0.108
Malawi,2002,,,6.018,,,0.113
Malawi,2003,,,6.16,,,0.116
Malawi,2004,,,6.256,,,0.117
Malawi,2005,,,6.227,,,0.117
Malawi,2006,,,6.3,,,0.118
Malawi,2007,,,9.277,,,0.173
Malawi,2008,,,10.188,,,0.19
Malawi,2009,,,7.992,,,0.149
Malawi,2010,,,9.758,,,0.181
Malawi,2011,,,10.936,,,0.203
Malawi,2012,0.248,4.038,10.579,0.005,0.075,0.195
Malawi,2013,0.241,,9.441,0.004,,0.174
Malawi,2014,0.293,,,0.005,,
Malawi,2015,0.341,,,0.006,,
Malaysia,1985,0.513,85.198,,0.008,1.382,
Malaysia,1986,1.807,14.522,,0.029,0.235,
Malaysia,1987,4.296,193.342,,0.069,3.116,
Malaysia,1988,4.287,90.853,,0.069,1.458,
Malaysia,1989,4.79,102.817,,0.077,1.642,
Malaysia,1990,5.1,122.683,,0.081,1.95,
Malaysia,1991,5.721,125.26,,0.091,1.982,
Malaysia,1992,7.942,118.868,,0.125,1.873,
Malaysia,1993,10.156,137.677,,0.159,2.161,
Malaysia,1994,11.157,168.31,,0.174,2.63,
Malaysia,1995,6.88,190.821,,0.107,2.967,
Malaysia,1996,10.512,254.67,,0.163,3.937,
Malaysia,1997,8.3,290.837,,0.127,4.466,
Malaysia,1998,8.728,260.927,,0.133,3.978,
Malaysia,1999,9.622,248.231,,0.146,3.754,
Malaysia,2000,8.885,259.687,53.865,0.135,3.938,0.817
Malaysia,2001,11.435,238.956,45.525,0.172,3.599,0.686
Malaysia,2002,13.306,190.712,49.655,0.199,2.846,0.741
Malaysia,2003,15.23,189.803,54.102,0.225,2.803,0.799
Malaysia,2004,20.736,195.439,79.045,0.303,2.857,1.156
Malaysia,2005,20.343,224.635,93.182,0.294,3.249,1.348
Malaysia,2006,20.311,163.291,120.703,0.291,2.337,1.727
Malaysia,2007,25.164,63.923,144.623,0.356,0.905,2.048
Malaysia,2008,30.172,165.431,229.286,0.423,2.319,3.215
Malaysia,2009,44.701,163.12,309.711,0.621,2.266,4.302
Malaysia,2010,43.789,183.265,401.273,0.603,2.523,5.524
Malaysia,2011,37.576,187.741,522.512,0.513,2.565,7.139
Malaysia,2012,38.189,199.723,539.261,0.519,2.712,7.322
Malaysia,2013,40.361,202.176,596.501,0.544,2.723,8.035
Malaysia,2014,44.76,207.324,,0.6,2.778,
Malaysia,2015,41.402,210.102,,0.552,2.802,
Maldives,2000,,,1.748,,,0.03
Maldives,2001,,,17.466,,,0.287
Maldives,2003,,,7.895,,,0.124
Maldives,2004,,,7.372,,,0.113
Maldives,2005,,,9.969,,,0.15
Maldives,2006,,,15.315,,,0.226
Maldives,2007,,,13.467,,,0.196
Maldives,2008,,,2.486,,,0.036
Maldives,2009,,,8.333,,,0.118
Maldives,2010,,,7.629,,,0.107
Maldives,2011,,,17.772,,,0.248
Maldives,2012,,,23.636,,,0.328
Maldives,2013,,,13.486,,,0.187
Mali,2000,,,1.441,,,0.027
Mali,2001,,,2.302,,,0.043
Mali,2002,,,2.672,,,0.05
Mali,2003,,,3.074,,,0.058
Mali,2004,,,2.647,,,0.05
Mali,2005,,,3.344,,,0.063
Mali,2006,,,4.014,,,0.075
Mali,2007,,,3.905,,,0.074
Mali,2008,,,3.565,,,0.067
Mali,2009,,,4.457,,,0.084
Mali,2010,,,4.093,,,0.077
Mali,2011,,,4.968,,,0.094
Mali,2012,,,5.267,,,0.1
Mali,2013,,,3.896,,,0.074
Malta,1985,,59.444,,,0.785,
Malta,1986,14.615,35.075,,0.193,0.463,
Malta,1987,14.514,49.349,,0.192,0.651,
Malta,1988,8.637,40.308,,0.114,0.532,
Malta,1989,5.703,37.066,,0.075,0.489,
Malta,1990,5.647,48,,0.074,0.632,
Malta,1991,16.491,57.717,,0.217,0.759,
Malta,1992,8.161,59.845,,0.107,0.784,
Malta,1993,21.545,43.091,,0.281,0.561,
Malta,1994,56.03,56.03,,0.726,0.726,
Malta,1995,29.145,34.444,,0.376,0.444,
Malta,1996,15.793,47.38,,0.203,0.608,
Malta,1997,57.473,62.697,,0.735,0.802,
Malta,1998,20.764,67.482,,0.265,0.86,
Malta,1999,28.381,185.769,,0.361,2.36,
Malta,2000,58.961,238.408,98.952,0.745,3.013,1.251
Malta,2001,66.153,272.245,114.496,0.831,3.419,1.438
Malta,2002,55.56,454.581,129.051,0.693,5.666,1.609
Malta,2003,,,186.411,,,2.305
Malta,2004,,1173.779,148.031,,14.401,1.816
Malta,2005,,,177.053,,,2.158
Malta,2006,,1986.144,191.953,,24.072,2.326
Malta,2007,24.587,71.301,261.848,0.297,0.861,3.16
Malta,2008,34.198,83.053,440.179,0.411,0.999,5.295
Malta,2009,19.395,50.912,367.536,0.233,0.61,4.407
Malta,2010,28.95,16.887,433.526,0.346,0.202,5.18
Malta,2011,21.621,14.414,461.482,0.257,0.171,5.489
Malta,2012,26.225,14.304,568.357,0.31,0.169,6.728
Malta,2013,30.706,9.448,612.225,0.362,0.111,7.213
Malta,2014,11.7,18.719,,0.137,0.22,
Malta,2015,20.839,4.631,,0.244,0.054,
Marshall Islands,2000,,,21.089,,,0.211
Marshall Islands,2001,,,30.661,,,0.307
Marshall Islands,2003,,,53.726,,,0.537
Marshall Islands,2004,,,19.203,,,0.192
Marshall Islands,2005,,,15.368,,,0.154
Marshall Islands,2006,,,71.047,,,0.71
Marshall Islands,2007,,,15.344,,,0.153
Marshall Islands,2008,,,30.641,,,0.306
Marshall Islands,2009,,,32.492,,,0.325
Marshall Islands,2010,,,28.612,,,0.286
Marshall Islands,2011,,,28.549,,,0.285
Marshall Islands,2012,,,28.483,,,0.285
Marshall Islands,2013,,,5.683,,,0.057
Mauritania,2000,,,2.178,,,0.038
Mauritania,2001,,,2.652,,,0.046
Mauritania,2002,,,2.401,,,0.042
Mauritania,2003,,,1.657,,,0.029
Mauritania,2004,,,2.103,,,0.036
Mauritania,2005,,,3.354,,,0.058
Mauritania,2006,,,2.267,,,0.039
Mauritania,2007,,,2.717,,,0.046
Mauritania,2008,,,1.467,,,0.025
Mauritania,2009,,,1.797,,,0.031
Mauritania,2010,,,1.828,,,0.031
Mauritania,2011,,,3.927,,,0.066
Mauritania,2012,,,3.577,,,0.06
Mauritania,2013,,,4.105,,,0.069
Mauritius,1985,3.92,4.899,,0.058,0.072,
Mauritius,1986,,20.421,,,0.297,
Mauritius,1987,,4.826,,,0.07,
Mauritius,1988,2.876,13.42,,0.041,0.192,
Mauritius,1989,,10.464,,,0.148,
Mauritius,1990,0.944,2.833,,0.013,0.04,
Mauritius,1991,1.869,7.475,,0.026,0.105,
Mauritius,1992,,11.066,,,0.154,
Mauritius,1993,1.823,3.645,,0.025,0.051,
Mauritius,1994,4.493,10.783,,0.062,0.149,
Mauritius,1995,2.673,3.564,,0.037,0.049,
Mauritius,1996,2.646,16.755,,0.036,0.231,
Mauritius,1997,2.613,10.45,,0.036,0.143,
Mauritius,1998,2.585,10.341,,0.035,0.141,
Mauritius,2000,,,41.453,,,0.558
Mauritius,2001,,,37.198,,,0.499
Mauritius,2002,,,47.567,,,0.636
Mauritius,2003,,,37.581,,,0.502
Mauritius,2004,,,45.045,,,0.601
Mauritius,2005,,,45.675,,,0.607
Mauritius,2006,,,47.812,,,0.632
Mauritius,2007,,,46.869,,,0.615
Mauritius,2008,1.608,17.683,52.165,0.021,0.23,0.679
Mauritius,2009,,,61.727,,,0.796
Mauritius,2010,,,70.298,,,0.901
Mauritius,2011,0.798,15.171,47.109,0.01,0.193,0.599
Mauritius,2012,3.185,11.148,81.696,0.04,0.141,1.031
Mauritius,2013,1.589,14.301,86.998,0.02,0.179,1.092
Mauritius,2014,2.379,14.275,,0.03,0.178,
Mauritius,2015,0.792,15.84,,0.01,0.196,
Mexico,1985,7.627,39.956,,0.133,0.699,
Mexico,1986,7.969,38.906,,0.138,0.672,
Mexico,1987,9.217,43.588,,0.157,0.743,
Mexico,1988,7.943,45.661,,0.133,0.767,
Mexico,1989,9.044,45.604,,0.15,0.756,
Mexico,1990,7.744,51.548,,0.127,0.845,
Mexico,1991,6.477,54.059,,0.105,0.877,
Mexico,1992,6.361,80.267,,0.102,1.289,
Mexico,1993,6.104,84.536,,0.097,1.346,
Mexico,1994,5.393,102.286,,0.085,1.615,
Mexico,1995,4.594,52.751,,0.072,0.827,
Mexico,1996,4.034,66.519,,0.063,1.036,
Mexico,1997,4.317,103.935,,0.067,1.609,
Mexico,1998,4.584,105.645,,0.071,1.626,
Mexico,1999,4.536,116.201,,0.069,1.779,
Mexico,2000,4.237,124.165,47.068,0.064,1.89,0.716
Mexico,2001,5.181,126.432,50.392,0.078,1.914,0.763
Mexico,2002,5.04,120.128,53.636,0.076,1.808,0.807
Mexico,2003,4.43,111.122,59.919,0.066,1.663,0.897
Mexico,2004,5.281,118.07,66.692,0.079,1.757,0.992
Mexico,2005,5.384,127.692,75.284,0.08,1.89,1.114
Mexico,2006,5.214,135.622,83.488,0.077,1.993,1.227
Mexico,2007,5.624,142.798,83.591,0.082,2.083,1.22
Mexico,2008,6.027,139.853,90.523,0.087,2.026,1.311
Mexico,2009,7.117,116.523,92.645,0.102,1.676,1.333
Mexico,2010,8.106,116.136,96.33,0.116,1.658,1.376
Mexico,2011,8.943,109.077,99.731,0.127,1.547,1.414
Mexico,2012,10.709,116.032,103.145,0.151,1.634,1.453
Mexico,2013,9.875,116.162,107.009,0.138,1.625,1.497
Mexico,2014,10.03,119.858,,0.139,1.666,
Mexico,2015,10.835,132.71,,0.15,1.833,
Micronesia (country),2000,,,21.409,,,0.359
Micronesia (country),2001,,,10.265,,,0.171
Micronesia (country),2003,,,21.532,,,0.356
Micronesia (country),2004,,,22.519,,,0.37
Micronesia (country),2005,,,44.258,,,0.723
Micronesia (country),2006,,,18.924,,,0.307
Micronesia (country),2007,,,59.004,,,0.952
Micronesia (country),2008,,,41.157,,,0.66
Micronesia (country),2009,,,36.553,,,0.583
Micronesia (country),2010,,,74.313,,,1.178
Micronesia (country),2011,,,47.358,,,0.743
Micronesia (country),2012,,,40.579,,,0.631
Micronesia (country),2013,,,56.894,,,0.877
Middle East & North Africa,1985,6.782,19.129,,0.12,0.338,
Middle East & North Africa,1987,6.751,18.072,,0.119,0.319,
Middle East & North Africa,1988,7.218,17.178,,0.127,0.303,
Middle East & North Africa,1989,7.012,17.927,,0.123,0.315,
Middle East & North Africa,1990,6.383,18.259,,0.112,0.32,
Middle East & North Africa,1991,6.861,16.691,,0.119,0.291,
Middle East & North Africa,1992,8.179,14.969,,0.142,0.259,
Middle East & North Africa,1993,8.441,16.947,,0.145,0.291,
Middle East & North Africa,1994,8.06,16.589,,0.137,0.282,
Middle East & North Africa,1995,8.191,18.758,,0.138,0.315,
Middle East & North Africa,1996,8.241,15.283,,0.137,0.254,
Middle East & North Africa,1998,10.072,21.669,,0.163,0.35,
Middle East & North Africa,1999,10.407,22.218,,0.166,0.355,
Middle East & North Africa,2000,9.933,24.955,56.459,0.156,0.393,0.889
Middle East & North Africa,2001,8.648,24.722,58.809,0.134,0.384,0.914
Middle East & North Africa,2002,9.517,22.57,62.611,0.146,0.346,0.96
Middle East & North Africa,2003,10.384,19.847,68.131,0.157,0.3,1.031
Middle East & North Africa,2004,14.32,22.295,76.918,0.214,0.333,1.149
Middle East & North Africa,2005,19.189,24.287,84.975,0.283,0.359,1.255
Middle East & North Africa,2006,,,98.655,,,1.444
Middle East & North Africa,2007,36.531,32.006,110.744,0.531,0.465,1.608
Middle East & North Africa,2008,,,125.88,,,1.817
Middle East & North Africa,2009,,,142.516,,,2.047
Middle East & North Africa,2010,35.71,29,157.428,0.511,0.415,2.254
Middle East & North Africa,2011,36.152,31.122,183.735,0.517,0.445,2.627
Middle East & North Africa,2012,32.637,28.371,192.818,0.467,0.406,2.757
Middle East & North Africa,2013,34.898,28.364,194.258,0.499,0.406,2.78
Middle East & North Africa,2014,40.371,27.082,,0.578,0.388,
Middle East & North Africa (excluding high income),1985,3.553,7.289,,0.063,0.13,
Middle East & North Africa (excluding high income),1987,3.59,5.595,,0.064,0.1,
Middle East & North Africa (excluding high income),1988,3.442,5.865,,0.061,0.104,
Middle East & North Africa (excluding high income),1989,3.08,5.969,,0.055,0.106,
Middle East & North Africa (excluding high income),1990,2.475,5.976,,0.044,0.106,
Middle East & North Africa (excluding high income),1991,2.92,5.313,,0.051,0.093,
Middle East & North Africa (excluding high income),1992,3.179,4.233,,0.055,0.074,
Middle East & North Africa (excluding high income),1993,3.924,5.115,,0.068,0.088,
Middle East & North Africa (excluding high income),1994,3.749,4.903,,0.064,0.084,
Middle East & North Africa (excluding high income),1995,4.099,5.853,,0.069,0.099,
Middle East & North Africa (excluding high income),1996,4.47,5.949,,0.075,0.099,
Middle East & North Africa (excluding high income),1998,3.949,8.095,,0.064,0.132,
Middle East & North Africa (excluding high income),1999,3.991,6.493,,0.064,0.104,
Middle East & North Africa (excluding high income),2000,5.168,6.481,24.218,0.082,0.103,0.384
Middle East & North Africa (excluding high income),2001,5.157,5.87,26.924,0.081,0.092,0.421
Middle East & North Africa (excluding high income),2002,6.315,5.514,30.269,0.097,0.085,0.466
Middle East & North Africa (excluding high income),2003,7.088,5.413,35.071,0.108,0.082,0.533
Middle East & North Africa (excluding high income),2004,10.864,6.273,42.958,0.163,0.094,0.645
Middle East & North Africa (excluding high income),2005,16.008,9.602,51.252,0.237,0.142,0.76
Middle East & North Africa (excluding high income),2006,,,64.757,,,0.953
Middle East & North Africa (excluding high income),2007,36.334,14.431,78.353,0.531,0.211,1.146
Middle East & North Africa (excluding high income),2008,,,95.162,,,1.384
Middle East & North Africa (excluding high income),2009,,,113.353,,,1.643
Middle East & North Africa (excluding high income),2010,36.113,14.175,129.572,0.522,0.205,1.873
Middle East & North Africa (excluding high income),2011,36.844,13.759,155.089,0.533,0.199,2.242
Middle East & North Africa (excluding high income),2012,34.047,12.795,161.678,0.493,0.185,2.339
Middle East & North Africa (excluding high income),2013,35.743,12.37,160.341,0.518,0.179,2.323
Middle East & North Africa (excluding high income),2014,42.027,11.056,,0.61,0.16,
Middle East & North Africa (IDA & IBRD),1985,3.553,7.289,,0.063,0.13,
Middle East & North Africa (IDA & IBRD),1987,3.59,5.595,,0.064,0.1,
Middle East & North Africa (IDA & IBRD),1988,3.442,5.865,,0.061,0.104,
Middle East & North Africa (IDA & IBRD),1989,3.08,5.969,,0.055,0.106,
Middle East & North Africa (IDA & IBRD),1990,2.496,6.029,,0.044,0.106,
Middle East & North Africa (IDA & IBRD),1991,2.946,5.36,,0.052,0.094,
Middle East & North Africa (IDA & IBRD),1992,3.208,4.272,,0.056,0.074,
Middle East & North Africa (IDA & IBRD),1993,3.961,5.162,,0.068,0.089,
Middle East & North Africa (IDA & IBRD),1994,3.785,4.95,,0.065,0.085,
Middle East & North Africa (IDA & IBRD),1995,4.14,5.91,,0.07,0.1,
Middle East & North Africa (IDA & IBRD),1996,4.515,6.009,,0.075,0.1,
Middle East & North Africa (IDA & IBRD),1998,3.99,8.179,,0.065,0.133,
Middle East & North Africa (IDA & IBRD),1999,4.033,6.561,,0.065,0.105,
Middle East & North Africa (IDA & IBRD),2000,5.222,6.55,24.33,0.083,0.104,0.385
Middle East & North Africa (IDA & IBRD),2001,5.212,5.932,27.095,0.081,0.093,0.423
Middle East & North Africa (IDA & IBRD),2002,6.382,5.573,30.454,0.098,0.086,0.468
Middle East & North Africa (IDA & IBRD),2003,7.165,5.472,35.28,0.109,0.083,0.535
Middle East & North Africa (IDA & IBRD),2004,10.982,6.341,43.275,0.164,0.095,0.648
Middle East & North Africa (IDA & IBRD),2005,16.183,9.707,51.631,0.24,0.144,0.764
Middle East & North Africa (IDA & IBRD),2006,,,65.259,,,0.959
Middle East & North Africa (IDA & IBRD),2007,36.738,14.591,78.982,0.536,0.213,1.153
Middle East & North Africa (IDA & IBRD),2008,,,95.949,,,1.393
Middle East & North Africa (IDA & IBRD),2009,,,114.305,,,1.654
Middle East & North Africa (IDA & IBRD),2010,36.528,14.338,130.689,0.527,0.207,1.886
Middle East & North Africa (IDA & IBRD),2011,37.272,13.919,156.518,0.538,0.201,2.258
Middle East & North Africa (IDA & IBRD),2012,34.447,12.945,163.176,0.497,0.187,2.357
Middle East & North Africa (IDA & IBRD),2013,36.168,12.517,161.889,0.523,0.181,2.342
Middle East & North Africa (IDA & IBRD),2014,42.533,11.189,,0.616,0.162,
Middle income,1985,4.843,8.446,,0.076,0.132,
Middle income,1986,4.752,7.473,,0.074,0.117,
Middle income,1987,5.234,8.354,,0.081,0.13,
Middle income,1988,5.416,7.48,,0.084,0.116,
Middle income,1989,5.538,8.089,,0.085,0.125,
Middle income,1990,4.191,8.903,,0.064,0.137,
Middle income,1991,4.391,8.825,,0.067,0.135,
Middle income,1992,14.675,13.11,,0.224,0.2,
Middle income,1993,16.051,12.939,,0.244,0.197,
Middle income,1994,12.428,13.95,,0.188,0.211,
Middle income,1995,11.01,14.42,,0.166,0.217,
Middle income,1996,11.157,17.729,,0.167,0.265,
Middle income,1997,10.596,21.989,,0.158,0.327,
Middle income,1998,11.145,25.305,,0.165,0.374,
Middle income,1999,12.322,24.292,,0.181,0.357,
Middle income,2000,15.353,24.412,33.789,0.224,0.356,0.492
Middle income,2001,17.081,25.69,37.299,0.247,0.372,0.54
Middle income,2002,17.719,25.254,38.957,0.254,0.363,0.559
Middle income,2003,21.66,26.455,41.959,0.308,0.377,0.597
Middle income,2004,23.796,30.564,52.516,0.336,0.432,0.742
Middle income,2005,29.837,36.688,66.413,0.418,0.514,0.931
Middle income,2006,36.592,39.494,75.209,0.51,0.551,1.049
Middle income,2007,43.593,42.199,84.019,0.604,0.585,1.165
Middle income,2008,52.279,44.013,95.125,0.721,0.607,1.313
Middle income,2009,57.536,38.52,107.695,0.79,0.529,1.48
Middle income,2010,70.195,42.184,117.774,0.961,0.577,1.612
Middle income,2011,92.36,46.256,132.887,1.261,0.631,1.814
Middle income,2012,113.688,47,139.359,1.548,0.64,1.898
Middle income,2013,144.912,48.258,146.582,1.97,0.656,1.993
Middle income,2014,160.313,48.987,,2.175,0.665,
Middle income,2015,187.219,48.951,,2.535,0.663,
Moldova,1993,18.103,9.727,,0.249,0.134,
Moldova,1994,64.21,80.195,,0.88,1.099,
Moldova,1995,73.467,10.612,,1.001,0.145,
Moldova,1996,78.795,36.807,,1.065,0.498,
Moldova,1997,80.729,15.598,,1.083,0.209,
Moldova,1998,70.358,6.297,,0.937,0.084,
Moldova,1999,70.195,4.113,,0.927,0.054,
Moldova,2000,65.941,2.748,41.571,0.861,0.036,0.543
Moldova,2001,120.337,4.681,32.631,1.553,0.06,0.421
Moldova,2002,65.966,8.28,31.465,0.84,0.105,0.401
Moldova,2003,81.099,0.83,32.246,1.019,0.01,0.405
Moldova,2004,82.41,2.497,29.107,1.022,0.031,0.361
Moldova,2005,104.862,3.06,48.12,1.287,0.038,0.591
Moldova,2006,84.514,2.51,38.603,1.03,0.031,0.47
Moldova,2007,93.097,3.914,41.46,1.127,0.047,0.502
Moldova,2008,76.468,6.162,46.553,0.922,0.074,0.561
Moldova,2009,37.581,1.402,55.194,0.451,0.017,0.663
Moldova,2010,39.023,3.088,49.073,0.467,0.037,0.588
Moldova,2011,27.247,3.09,57.332,0.325,0.037,0.685
Moldova,2012,26.127,6.181,64.054,0.311,0.074,0.763
Moldova,2013,18.828,8.149,63.677,0.224,0.097,0.757
Moldova,2014,18.839,20.245,,0.224,0.24,
Moldova,2015,18.007,16.882,,0.214,0.2,
Monaco,1985,520.201,1872.724,,5.202,18.727,
Monaco,1986,344.341,1377.363,,3.443,13.774,
Monaco,1987,651.309,1885.37,,6.513,18.854,
Monaco,1988,547.289,2291.774,,5.473,22.918,
Monaco,1989,307.041,1705.786,,3.07,17.058,
Monaco,1990,713.339,1902.239,,7.133,19.022,
Monaco,1991,405.077,1417.769,,4.051,14.178,
Monaco,1992,301.376,435.321,,3.014,4.353,
Monaco,1993,331.807,364.988,,3.318,3.65,
Monaco,1994,690.176,460.118,,6.902,4.601,
Monaco,1995,423.577,553.908,,4.236,5.539,
Monaco,1996,516.679,742.726,,5.167,7.427,
Monaco,1997,639.98,415.987,,6.4,4.16,
Monaco,1998,126.891,475.843,,1.269,4.758,
Monaco,1999,471.698,440.252,,4.717,4.403,
Monaco,2000,187.021,218.191,414.563,1.87,2.182,4.146
Monaco,2001,185.414,432.633,769.468,1.854,4.326,7.695
Monaco,2002,245.181,122.59,661.988,2.452,1.226,6.62
Monaco,2003,151.823,91.094,810.737,1.518,0.911,8.107
Monaco,2004,210.122,60.035,1131.656,2.101,0.6,11.317
Monaco,2005,59.184,147.96,1112.656,0.592,1.48,11.127
Monaco,2006,174.378,203.441,1031.737,1.744,2.034,10.317
Monaco,2007,313.292,142.406,843.041,3.133,1.424,8.43
Monaco,2008,195.242,83.675,1006.889,1.952,0.837,10.069
Monaco,2009,82.115,191.602,1264.575,0.821,1.916,12.646
Monaco,2010,161.751,134.793,1156.521,1.618,1.348,11.565
Monaco,2011,160.013,80.006,1256.1,1.6,0.8,12.561
Monaco,2012,105.868,105.868,807.241,1.059,1.059,8.072
