Entity,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)),Closing the poverty gap including/excluding China (PovcalNet (World Bank) (2017))
World no China,1993,,273501.1097
World no China,1996,,264754.7765
World no China,1999,,268562.4361
World no China,2002,,263695.0551
World no China,2005,,235483.6602
World no China,2008,,212457.2154
World no China,2010,,195618.5
World no China,2011,,177465.521
World no China,2012,,167681.1334
World no China,2013,,157555.5784
Zambia,1981,1272.743101,
Zambia,1984,1535.560877,
Zambia,1987,1732.858853,
Zambia,1990,1931.749798,
Zambia,1993,1687.945019,
Zambia,1996,1044.89645,
Zambia,1999,1227.652425,
Zambia,2002,1387.515964,
Zambia,2005,2324.567616,
Zambia,2008,2844.819527,
Zambia,2010,3049.546968,
Zambia,2011,3039.127824,
Zambia,2012,3019.621056,
Zambia,2013,2995.0878,
Zimbabwe,1981,22.049139,
Zimbabwe,1984,51.4653285,
Zimbabwe,1987,62.190306,
Zimbabwe,1990,34.159036,
Zimbabwe,1993,75.745457,
Zimbabwe,1996,28.83573,
Zimbabwe,1999,28.3093635,
Zimbabwe,2002,82.724841,
Zimbabwe,2005,376.268134,
Zimbabwe,2008,886.605075,
Zimbabwe,2010,657.8284405,
Zimbabwe,2011,511.277327,
Zimbabwe,2012,427.4116785,
Zimbabwe,2013,406.092795,
