Entity,Year,Fertility (UN Population Division (2015 revision))
Paraguay,1995,4.31
Paraguay,2000,3.88
Paraguay,2005,3.24
Paraguay,2010,2.89
Paraguay,2015,2.6
Peru,1955,6.95
Peru,1960,6.95
Peru,1965,6.95
Peru,1970,6.7
Peru,1975,6
Peru,1980,5.4
Peru,1985,4.65
Peru,1990,4.1
Peru,1995,3.57
Peru,2000,3.1
Peru,2005,2.8
Peru,2010,2.6
Peru,2015,2.5
Philippines,1955,7.42
Philippines,1960,7.27
Philippines,1965,6.98
Philippines,1970,6.54
Philippines,1975,5.98
Philippines,1980,5.46
Philippines,1985,4.92
Philippines,1990,4.53
Philippines,1995,4.14
Philippines,2000,3.9
Philippines,2005,3.7
Philippines,2010,3.27
Philippines,2015,3.04
Poland,1955,3.63
Poland,1960,3.47
Poland,1965,2.75
Poland,1970,2.33
Poland,1975,2.23
Poland,1980,2.23
Poland,1985,2.31
Poland,1990,2.16
Poland,1995,1.95
Poland,2000,1.51
Poland,2005,1.26
Poland,2010,1.37
Poland,2015,1.37
Polynesia,1955,6.78
Polynesia,1960,6.86
Polynesia,1965,6.82
Polynesia,1970,6.39
Polynesia,1975,5.74
Polynesia,1980,5.23
Polynesia,1985,4.79
Polynesia,1990,4.37
Polynesia,1995,3.96
Polynesia,2000,3.55
Polynesia,2005,3.32
Polynesia,2010,3.17
Polynesia,2015,2.95
Portugal,1955,3.1
Portugal,1960,3.12
Portugal,1965,3.19
Portugal,1970,3.12
Portugal,1975,2.83
Portugal,1980,2.55
Portugal,1985,2.01
Portugal,1990,1.62
Portugal,1995,1.48
Portugal,2000,1.46
Portugal,2005,1.45
Portugal,2010,1.37
Portugal,2015,1.28
Puerto Rico,1955,4.97
Puerto Rico,1960,4.82
Puerto Rico,1965,4.37
Puerto Rico,1970,3.41
Puerto Rico,1975,2.99
Puerto Rico,1980,2.76
Puerto Rico,1985,2.46
Puerto Rico,1990,2.26
Puerto Rico,1995,2.18
Puerto Rico,2000,1.99
Puerto Rico,2005,1.82
Puerto Rico,2010,1.7
Puerto Rico,2015,1.64
Qatar,1955,6.97
Qatar,1960,6.97
Qatar,1965,6.97
Qatar,1970,6.97
Qatar,1975,6.77
Qatar,1980,6.11
Qatar,1985,5.45
Qatar,1990,4.41
Qatar,1995,3.74
Qatar,2000,3.46
Qatar,2005,2.95
Qatar,2010,2.23
Qatar,2015,2.08
Reunion,1955,6.93
Reunion,1960,6.57
Reunion,1965,6.56
Reunion,1970,5.67
Reunion,1975,3.88
Reunion,1980,3.12
Reunion,1985,2.78
Reunion,1990,2.71
Reunion,1995,2.41
Reunion,2000,2.33
Reunion,2005,2.45
Reunion,2010,2.4
Reunion,2015,2.24
Romania,1955,3.06
Romania,1960,2.74
Romania,1965,2.1
Romania,1970,2.87
Romania,1975,2.65
Romania,1980,2.55
Romania,1985,2.26
Romania,1990,2.22
Romania,1995,1.51
Romania,2000,1.34
Romania,2005,1.32
Romania,2010,1.45
Romania,2015,1.48
Russia,1955,2.85
Russia,1960,2.82
Russia,1965,2.55
Russia,1970,2.02
Russia,1975,2.03
Russia,1980,1.94
Russia,1985,2.04
Russia,1990,2.12
Russia,1995,1.55
Russia,2000,1.25
Russia,2005,1.3
Russia,2010,1.44
Russia,2015,1.66
Rwanda,1955,8
Rwanda,1960,8.15
Rwanda,1965,8.2
Rwanda,1970,8.2
Rwanda,1975,8.28
Rwanda,1980,8.43
Rwanda,1985,8.38
Rwanda,1990,7.99
Rwanda,1995,6.55
Rwanda,2000,5.9
Rwanda,2005,5.4
Rwanda,2010,4.85
Rwanda,2015,4.05
Saint Lucia,1955,6
Saint Lucia,1960,6.94
Saint Lucia,1965,6.79
Saint Lucia,1970,6.48
Saint Lucia,1975,5.69
Saint Lucia,1980,5.2
Saint Lucia,1985,4.2
Saint Lucia,1990,3.65
Saint Lucia,1995,3.15
Saint Lucia,2000,2.6
Saint Lucia,2005,2.1
Saint Lucia,2010,2.04
Saint Lucia,2015,1.92
Saint Vincent and the Grenadines,1955,7.33
Saint Vincent and the Grenadines,1960,7.33
Saint Vincent and the Grenadines,1965,7.02
Saint Vincent and the Grenadines,1970,6.41
Saint Vincent and the Grenadines,1975,5.54
Saint Vincent and the Grenadines,1980,4.42
Saint Vincent and the Grenadines,1985,3.64
Saint Vincent and the Grenadines,1990,3.1
Saint Vincent and the Grenadines,1995,2.85
Saint Vincent and the Grenadines,2000,2.55
Saint Vincent and the Grenadines,2005,2.24
Saint Vincent and the Grenadines,2010,2.13
Saint Vincent and the Grenadines,2015,2.01
Samoa,1955,7.63
Samoa,1960,7.63
Samoa,1965,7.63
Samoa,1970,7.35
Samoa,1975,7
Samoa,1980,6.49
Samoa,1985,5.91
Samoa,1990,5.35
Samoa,1995,4.92
Samoa,2000,4.62
Samoa,2005,4.44
Samoa,2010,4.47
Samoa,2015,4.16
Sao Tome and Principe,1955,6.2
Sao Tome and Principe,1960,6.2
Sao Tome and Principe,1965,6.3
Sao Tome and Principe,1970,6.4
Sao Tome and Principe,1975,6.52
Sao Tome and Principe,1980,6.5
Sao Tome and Principe,1985,6.24
Sao Tome and Principe,1990,5.96
Sao Tome and Principe,1995,5.68
Sao Tome and Principe,2000,5.41
Sao Tome and Principe,2005,5.15
Sao Tome and Principe,2010,4.9
Sao Tome and Principe,2015,4.67
Saudi Arabia,1955,7.18
Saudi Arabia,1960,7.18
Saudi Arabia,1965,7.26
Saudi Arabia,1970,7.26
Saudi Arabia,1975,7.3
Saudi Arabia,1980,7.28
Saudi Arabia,1985,7.02
Saudi Arabia,1990,6.22
Saudi Arabia,1995,5.55
Saudi Arabia,2000,4.5
Saudi Arabia,2005,3.55
Saudi Arabia,2010,3.15
Saudi Arabia,2015,2.85
Senegal,1955,6.57
Senegal,1960,6.83
Senegal,1965,7.06
Senegal,1970,7.24
Senegal,1975,7.41
Senegal,1980,7.45
Senegal,1985,7.25
Senegal,1990,6.88
Senegal,1995,6.35
Senegal,2000,5.78
Senegal,2005,5.38
Senegal,2010,5.15
Senegal,2015,5.18
Serbia,1955,3.22
Serbia,1960,2.57
Serbia,1965,2.51
Serbia,1970,2.43
Serbia,1975,2.36
Serbia,1980,2.37
Serbia,1985,2.32
Serbia,1990,2.23
Serbia,1995,1.96
Serbia,2000,1.92
Serbia,2005,1.71
Serbia,2010,1.56
Serbia,2015,1.56
Seychelles,1955,5
Seychelles,1960,5
Seychelles,1965,5.59
Seychelles,1970,5.92
Seychelles,1975,5.38
Seychelles,1980,4.27
Seychelles,1985,3.51
Seychelles,1990,2.94
Seychelles,1995,2.57
Seychelles,2000,2.18
Seychelles,2005,2.2
Seychelles,2010,2.3
Seychelles,2015,2.33
Sierra Leone,1955,5.97
Sierra Leone,1960,5.97
Sierra Leone,1965,5.97
Sierra Leone,1970,5.97
Sierra Leone,1975,6.06
Sierra Leone,1980,6.25
Sierra Leone,1985,6.46
Sierra Leone,1990,6.66
Sierra Leone,1995,6.62
Sierra Leone,2000,6.41
Sierra Leone,2005,6.05
Sierra Leone,2010,5.51
Sierra Leone,2015,4.79
Singapore,1955,6.61
Singapore,1960,6.34
Singapore,1965,5.12
Singapore,1970,3.65
Singapore,1975,2.82
Singapore,1980,1.84
Singapore,1985,1.69
Singapore,1990,1.7
Singapore,1995,1.73
Singapore,2000,1.57
Singapore,2005,1.35
Singapore,2010,1.26
Singapore,2015,1.23
Slovakia,1955,3.5
Slovakia,1960,3.24
Slovakia,1965,2.91
Slovakia,1970,2.54
Slovakia,1975,2.51
Slovakia,1980,2.46
Slovakia,1985,2.27
Slovakia,1990,2.15
Slovakia,1995,1.87
Slovakia,2000,1.4
Slovakia,2005,1.22
Slovakia,2010,1.31
Slovakia,2015,1.37
Slovenia,1955,2.68
Slovenia,1960,2.38
Slovenia,1965,2.34
Slovenia,1970,2.27
Slovenia,1975,2.2
Slovenia,1980,2.16
Slovenia,1985,1.93
Slovenia,1990,1.65
Slovenia,1995,1.33
Slovenia,2000,1.25
Slovenia,2005,1.21
Slovenia,2010,1.38
Slovenia,2015,1.58
Solomon Islands,1955,6.4
Solomon Islands,1960,6.4
Solomon Islands,1965,6.4
Solomon Islands,1970,6.54
Solomon Islands,1975,7.24
Solomon Islands,1980,7.04
Solomon Islands,1985,6.43
Solomon Islands,1990,6.13
Solomon Islands,1995,5.53
Solomon Islands,2000,4.91
Solomon Islands,2005,4.6
Solomon Islands,2010,4.4
Solomon Islands,2015,4.06
Somalia,1955,7.25
Somalia,1960,7.25
Somalia,1965,7.25
Somalia,1970,7.25
Somalia,1975,7.1
Somalia,1980,7
Somalia,1985,7.07
Somalia,1990,7.26
Somalia,1995,7.53
Somalia,2000,7.7
Somalia,2005,7.44
Somalia,2010,7.1
Somalia,2015,6.61
South Africa,1955,6.3
South Africa,1960,6.2
South Africa,1965,6.1
South Africa,1970,5.7
South Africa,1975,5.47
South Africa,1980,5
South Africa,1985,4.56
South Africa,1990,4
South Africa,1995,3.34
South Africa,2000,2.95
South Africa,2005,2.8
South Africa,2010,2.55
South Africa,2015,2.4
South America,1955,5.7
South America,1960,5.72
South America,1965,5.74
South America,1970,5.22
South America,1975,4.61
South America,1980,4.25
South America,1985,3.78
South America,1990,3.27
South America,1995,2.86
South America,2000,2.62
South America,2005,2.41
South America,2010,2.15
South America,2015,2.05
South Korea,1955,5.05
South Korea,1960,6.33
South Korea,1965,5.63
South Korea,1970,4.71
South Korea,1975,4.28
South Korea,1980,2.92
South Korea,1985,2.23
South Korea,1990,1.6
South Korea,1995,1.7
South Korea,2000,1.51
South Korea,2005,1.22
South Korea,2010,1.23
South Korea,2015,1.26
South Sudan,1955,6.65
South Sudan,1960,6.7
South Sudan,1965,6.75
South Sudan,1970,6.85
South Sudan,1975,6.9
South Sudan,1980,6.92
South Sudan,1985,6.78
South Sudan,1990,6.83
South Sudan,1995,6.65
South Sudan,2000,6.42
South Sudan,2005,6
South Sudan,2010,5.6
South Sudan,2015,5.15
South-Central Asia,1955,6
South-Central Asia,1960,6.02
South-Central Asia,1965,6.03
South-Central Asia,1970,5.89
South-Central Asia,1975,5.63
South-Central Asia,1980,5.26
South-Central Asia,1985,4.98
South-Central Asia,1990,4.54
South-Central Asia,1995,4.01
South-Central Asia,2000,3.58
South-Central Asia,2005,3.17
South-Central Asia,2010,2.84
South-Central Asia,2015,2.57
South-Eastern Asia,1955,5.92
South-Eastern Asia,1960,6.11
South-Eastern Asia,1965,6.08
South-Eastern Asia,1970,5.91
South-Eastern Asia,1975,5.48
South-Eastern Asia,1980,4.8
South-Eastern Asia,1985,4.2
South-Eastern Asia,1990,3.57
South-Eastern Asia,1995,3.11
South-Eastern Asia,2000,2.69
South-Eastern Asia,2005,2.51
South-Eastern Asia,2010,2.41
South-Eastern Asia,2015,2.35
Southern Africa,1955,6.28
Southern Africa,1960,6.2
Southern Africa,1965,6.12
Southern Africa,1970,5.77
Southern Africa,1975,5.57
Southern Africa,1980,5.14
Southern Africa,1985,4.71
Southern Africa,1990,4.16
Southern Africa,1995,3.5
Southern Africa,2000,3.09
Southern Africa,2005,2.9
Southern Africa,2010,2.65
Southern Africa,2015,2.51
Southern Asia,1955,6.04
Southern Asia,1960,6.06
Southern Asia,1965,6.07
Southern Asia,1970,5.94
Southern Asia,1975,5.67
Southern Asia,1980,5.31
Southern Asia,1985,5.03
Southern Asia,1990,4.57
Southern Asia,1995,4.04
Southern Asia,2000,3.61
Southern Asia,2005,3.19
Southern Asia,2010,2.85
Southern Asia,2015,2.56
Southern Europe,1955,2.67
Southern Europe,1960,2.6
Southern Europe,1965,2.69
Southern Europe,1970,2.67
Southern Europe,1975,2.54
Southern Europe,1980,2.23
Southern Europe,1985,1.83
Southern Europe,1990,1.56
Southern Europe,1995,1.41
Southern Europe,2000,1.35
Southern Europe,2005,1.37
Southern Europe,2010,1.44
Southern Europe,2015,1.41
Spain,1955,2.53
Spain,1960,2.7
Spain,1965,2.81
Spain,1970,2.84
Spain,1975,2.85
Spain,1980,2.55
Spain,1985,1.88
Spain,1990,1.46
Spain,1995,1.28
Spain,2000,1.19
Spain,2005,1.29
Spain,2010,1.39
Spain,2015,1.32
Sri Lanka,1955,5.8
Sri Lanka,1960,5.8
Sri Lanka,1965,5.2
Sri Lanka,1970,4.7
Sri Lanka,1975,4
Sri Lanka,1980,3.61
Sri Lanka,1985,3.19
Sri Lanka,1990,2.64
Sri Lanka,1995,2.38
Sri Lanka,2000,2.24
Sri Lanka,2005,2.26
Sri Lanka,2010,2.28
Sri Lanka,2015,2.11
Sub-Saharan Africa,1955,6.56
Sub-Saharan Africa,1960,6.58
Sub-Saharan Africa,1965,6.65
Sub-Saharan Africa,1970,6.66
Sub-Saharan Africa,1975,6.75
Sub-Saharan Africa,1980,6.77
Sub-Saharan Africa,1985,6.69
Sub-Saharan Africa,1990,6.51
Sub-Saharan Africa,1995,6.18
Sub-Saharan Africa,2000,5.91
Sub-Saharan Africa,2005,5.68
Sub-Saharan Africa,2010,5.4
Sub-Saharan Africa,2015,5.1
Sudan,1955,6.65
Sudan,1960,6.65
Sudan,1965,6.75
Sudan,1970,6.86
Sudan,1975,6.9
Sudan,1980,6.92
Sudan,1985,6.63
Sudan,1990,6.3
Sudan,1995,6
Sudan,2000,5.63
Sudan,2005,5.25
Sudan,2010,4.83
Sudan,2015,4.46
Suriname,1955,6.56
Suriname,1960,6.56
Suriname,1965,6.56
Suriname,1970,5.95
Suriname,1975,5.29
Suriname,1980,4.2
Suriname,1985,3.7
Suriname,1990,3.42
Suriname,1995,3.16
Suriname,2000,2.92
Suriname,2005,2.71
Suriname,2010,2.54
Suriname,2015,2.4
Swaziland,1955,6.7
Swaziland,1960,6.7
Swaziland,1965,6.75
Swaziland,1970,6.85
Swaziland,1975,6.87
Swaziland,1980,6.73
Swaziland,1985,6.54
Swaziland,1990,6.13
Swaziland,1995,5.3
Swaziland,2000,4.49
Swaziland,2005,4.01
Swaziland,2010,3.75
Swaziland,2015,3.36
Sweden,1955,2.24
Sweden,1960,2.25
Sweden,1965,2.31
Sweden,1970,2.17
Sweden,1975,1.91
Sweden,1980,1.66
Sweden,1985,1.64
Sweden,1990,1.91
Sweden,1995,2.01
Sweden,2000,1.56
Sweden,2005,1.67
Sweden,2010,1.89
Sweden,2015,1.92
Switzerland,1955,2.31
Switzerland,1960,2.39
Switzerland,1965,2.6
Switzerland,1970,2.36
Switzerland,1975,1.87
Switzerland,1980,1.54
Switzerland,1985,1.54
Switzerland,1990,1.55
Switzerland,1995,1.54
Switzerland,2000,1.48
Switzerland,2005,1.41
Switzerland,2010,1.47
Switzerland,2015,1.52
Syria,1955,7.23
Syria,1960,7.38
Syria,1965,7.54
Syria,1970,7.56
Syria,1975,7.54
Syria,1980,7.32
Syria,1985,6.77
Syria,1990,5.87
Syria,1995,4.8
Syria,2000,4.26
Syria,2005,3.67
Syria,2010,3.19
Syria,2015,3.03
Tajikistan,1955,6
Tajikistan,1960,6.2
Tajikistan,1965,6.3
Tajikistan,1970,6.72
Tajikistan,1975,6.83
Tajikistan,1980,5.9
Tajikistan,1985,5.54
Tajikistan,1990,5.41
Tajikistan,1995,4.88
Tajikistan,2000,4.29
Tajikistan,2005,3.71
Tajikistan,2010,3.48
Tajikistan,2015,3.55
Tanzania,1955,6.74
Tanzania,1960,6.8
Tanzania,1965,6.8
Tanzania,1970,6.79
Tanzania,1975,6.75
Tanzania,1980,6.73
Tanzania,1985,6.55
Tanzania,1990,6.36
Tanzania,1995,6.05
Tanzania,2000,5.75
Tanzania,2005,5.66
Tanzania,2010,5.58
Tanzania,2015,5.24
Thailand,1955,6.14
Thailand,1960,6.14
Thailand,1965,6.13
Thailand,1970,5.99
Thailand,1975,5.05
Thailand,1980,3.92
Thailand,1985,2.95
Thailand,1990,2.3
Thailand,1995,1.99
Thailand,2000,1.77
Thailand,2005,1.6
Thailand,2010,1.56
Thailand,2015,1.53
Timor,1955,6.44
Timor,1960,6.35
Timor,1965,6.37
Timor,1970,6.16
Timor,1975,5.54
Timor,1980,4.31
Timor,1985,5.39
Timor,1990,5.21
Timor,1995,5.69
Timor,2000,7.01
Timor,2005,6.96
Timor,2010,6.53
Timor,2015,5.91
Togo,1955,6.33
Togo,1960,6.42
Togo,1965,6.65
Togo,1970,6.94
Togo,1975,7.2
Togo,1980,7.28
Togo,1985,7.06
Togo,1990,6.62
Togo,1995,6.02
Togo,2000,5.54
Togo,2005,5.31
Togo,2010,5.04
Togo,2015,4.69
Tonga,1955,7.3
Tonga,1960,7.3
Tonga,1965,7.3
Tonga,1970,6.5
Tonga,1975,5.5
Tonga,1980,5.5
Tonga,1985,5.5
Tonga,1990,4.74
Tonga,1995,4.62
Tonga,2000,4.29
Tonga,2005,4.23
Tonga,2010,4.03
Tonga,2015,3.79
Trinidad and Tobago,1955,5.3
Trinidad and Tobago,1960,5.3
Trinidad and Tobago,1965,5.04
Trinidad and Tobago,1970,3.81
Trinidad and Tobago,1975,3.45
Trinidad and Tobago,1980,3.24
Trinidad and Tobago,1985,3.28
Trinidad and Tobago,1990,2.75
Trinidad and Tobago,1995,2.18
Trinidad and Tobago,2000,1.82
Trinidad and Tobago,2005,1.75
Trinidad and Tobago,2010,1.8
Trinidad and Tobago,2015,1.8
Tunisia,1955,6.65
Tunisia,1960,6.85
Tunisia,1965,6.99
Tunisia,1970,6.92
Tunisia,1975,6.39
Tunisia,1980,5.65
Tunisia,1985,4.82
Tunisia,1990,4
Tunisia,1995,2.98
Tunisia,2000,2.34
Tunisia,2005,2.04
Tunisia,2010,2.02
Tunisia,2015,2.16
Turkey,1955,6.62
Turkey,1960,6.43
Turkey,1965,6.14
Turkey,1970,5.74
Turkey,1975,5.34
Turkey,1980,4.65
Turkey,1985,4.07
Turkey,1990,3.35
Turkey,1995,2.87
Turkey,2000,2.62
Turkey,2005,2.35
Turkey,2010,2.18
Turkey,2015,2.1
Turkmenistan,1955,6
Turkmenistan,1960,6.02
Turkmenistan,1965,6.75
Turkmenistan,1970,6.34
Turkmenistan,1975,6.19
Turkmenistan,1980,5.32
Turkmenistan,1985,4.79
Turkmenistan,1990,4.55
Turkmenistan,1995,4.03
Turkmenistan,2000,3.03
Turkmenistan,2005,2.76
Turkmenistan,2010,2.5
Turkmenistan,2015,2.34
Uganda,1955,6.9
Uganda,1960,6.95
Uganda,1965,7.05
Uganda,1970,7.12
Uganda,1975,7.1
Uganda,1980,7.1
Uganda,1985,7.1
Uganda,1990,7.1
Uganda,1995,7.06
Uganda,2000,6.95
Uganda,2005,6.75
Uganda,2010,6.38
Uganda,2015,5.91
Ukraine,1955,2.81
Ukraine,1960,2.7
Ukraine,1965,2.13
Ukraine,1970,2.02
Ukraine,1975,2.08
Ukraine,1980,1.98
Ukraine,1985,2
Ukraine,1990,1.9
Ukraine,1995,1.62
Ukraine,2000,1.24
Ukraine,2005,1.15
Ukraine,2010,1.38
Ukraine,2015,1.49
United Arab Emirates,1955,6.97
United Arab Emirates,1960,6.97
United Arab Emirates,1965,6.87
United Arab Emirates,1970,6.77
United Arab Emirates,1975,6.36
United Arab Emirates,1980,5.66
United Arab Emirates,1985,5.23
United Arab Emirates,1990,4.83
United Arab Emirates,1995,3.88
United Arab Emirates,2000,2.97
United Arab Emirates,2005,2.4
United Arab Emirates,2010,1.97
United Arab Emirates,2015,1.82
United Kingdom,1955,2.18
United Kingdom,1960,2.49
United Kingdom,1965,2.81
United Kingdom,1970,2.57
United Kingdom,1975,2.01
United Kingdom,1980,1.73
United Kingdom,1985,1.78
United Kingdom,1990,1.84
United Kingdom,1995,1.78
United Kingdom,2000,1.74
United Kingdom,2005,1.66
United Kingdom,2010,1.88
United Kingdom,2015,1.92
United States,1955,3.33
United States,1960,3.67
United States,1965,3.4
United States,1970,2.58
United States,1975,2.02
United States,1980,1.77
United States,1985,1.8
United States,1990,1.91
United States,1995,2.03
United States,2000,2
United States,2005,2.04
United States,2010,2.06
United States,2015,1.89
United States Virgin Islands,1955,5.25
United States Virgin Islands,1960,5.49
United States Virgin Islands,1965,5.67
United States Virgin Islands,1970,5.52
United States Virgin Islands,1975,4.66
United States Virgin Islands,1980,3.49
United States Virgin Islands,1985,2.97
United States Virgin Islands,1990,3.02
United States Virgin Islands,1995,2.79
United States Virgin Islands,2000,2.19
United States Virgin Islands,2005,2.14
United States Virgin Islands,2010,2.44
United States Virgin Islands,2015,2.3
Upper-middle-income countries,1955,6.01
Upper-middle-income countries,1960,5.59
Upper-middle-income countries,1965,6
Upper-middle-income countries,1970,5.98
Upper-middle-income countries,1975,4.93
Upper-middle-income countries,1980,3.58
Upper-middle-income countries,1985,3.08
Upper-middle-income countries,1990,3.03
Upper-middle-income countries,1995,2.38
Upper-middle-income countries,2000,1.93
Upper-middle-income countries,2005,1.84
Upper-middle-income countries,2010,1.82
Upper-middle-income countries,2015,1.85
Uruguay,1955,2.73
Uruguay,1960,2.83
Uruguay,1965,2.9
Uruguay,1970,2.8
Uruguay,1975,3
Uruguay,1980,2.89
Uruguay,1985,2.57
Uruguay,1990,2.53
Uruguay,1995,2.49
Uruguay,2000,2.3
Uruguay,2005,2.2
Uruguay,2010,2.12
Uruguay,2015,2.04
Uzbekistan,1955,5.05
Uzbekistan,1960,5.05
Uzbekistan,1965,5.29
Uzbekistan,1970,5.6
Uzbekistan,1975,5.65
Uzbekistan,1980,5.2
Uzbekistan,1985,4.71
Uzbekistan,1990,4.4
Uzbekistan,1995,3.77
Uzbekistan,2000,2.99
Uzbekistan,2005,2.51
Uzbekistan,2010,2.48
Uzbekistan,2015,2.48
Vanuatu,1955,7.6
Vanuatu,1960,7.35
Vanuatu,1965,7
Vanuatu,1970,6.46
Vanuatu,1975,6.11
Vanuatu,1980,5.75
Vanuatu,1985,5.4
Vanuatu,1990,5.04
Vanuatu,1995,4.83
Vanuatu,2000,4.59
Vanuatu,2005,4.11
Vanuatu,2010,3.63
Vanuatu,2015,3.41
Venezuela,1955,6.46
Venezuela,1960,6.46
Venezuela,1965,6.66
Venezuela,1970,5.9
Venezuela,1975,4.94
Venezuela,1980,4.47
Venezuela,1985,3.96
Venezuela,1990,3.65
Venezuela,1995,3.25
Venezuela,2000,2.94
Venezuela,2005,2.72
Venezuela,2010,2.55
Venezuela,2015,2.4
Vietnam,1955,5.4
Vietnam,1960,6.16
Vietnam,1965,6.42
Vietnam,1970,6.46
Vietnam,1975,6.33
Vietnam,1980,5.5
Vietnam,1985,4.6
Vietnam,1990,3.85
Vietnam,1995,3.23
Vietnam,2000,2.25
Vietnam,2005,1.92
Vietnam,2010,1.93
Vietnam,2015,1.96
Western Africa,1955,6.39
Western Africa,1960,6.46
Western Africa,1965,6.54
Western Africa,1970,6.6
Western Africa,1975,6.79
Western Africa,1980,6.9
Western Africa,1985,6.84
Western Africa,1990,6.67
Western Africa,1995,6.41
Western Africa,2000,6.14
Western Africa,2005,5.95
Western Africa,2010,5.74
Western Africa,2015,5.54
Western Asia,1955,6.32
Western Asia,1960,6.09
Western Asia,1965,6.07
Western Asia,1970,5.91
Western Asia,1975,5.7
Western Asia,1980,5.33
Western Asia,1985,4.96
Western Asia,1990,4.47
Western Asia,1995,4.02
Western Asia,2000,3.59
Western Asia,2005,3.21
Western Asia,2010,3.02
Western Asia,2015,2.91
Western Europe,1955,2.39
Western Europe,1960,2.49
Western Europe,1965,2.65
Western Europe,1970,2.47
Western Europe,1975,1.96
Western Europe,1980,1.65
Western Europe,1985,1.62
Western Europe,1990,1.57
Western Europe,1995,1.49
Western Europe,2000,1.52
Western Europe,2005,1.59
Western Europe,2010,1.64
Western Europe,2015,1.66
Western Sahara,1955,6.34
Western Sahara,1960,6.42
Western Sahara,1965,6.53
Western Sahara,1970,6.6
Western Sahara,1975,6.57
Western Sahara,1980,6.23
Western Sahara,1985,5.33
Western Sahara,1990,4.54
Western Sahara,1995,3.96
Western Sahara,2000,3.18
Western Sahara,2005,2.81
Western Sahara,2010,2.44
Western Sahara,2015,2.2
World,1955,4.96
World,1960,4.9
World,1965,5.02
World,1970,4.92
World,1975,4.48
World,1980,3.87
World,1985,3.59
World,1990,3.45
World,1995,3.04
World,2000,2.74
World,2005,2.62
World,2010,2.56
World,2015,2.51
Yemen,1955,7.35
Yemen,1960,7.35
Yemen,1965,7.45
Yemen,1970,7.7
Yemen,1975,7.9
Yemen,1980,8.5
Yemen,1985,8.8
Yemen,1990,8.8
Yemen,1995,8.2
Yemen,2000,6.8
Yemen,2005,5.95
Yemen,2010,5.1
Yemen,2015,4.35
Zambia,1955,6.75
Zambia,1960,6.9
Zambia,1965,7.15
Zambia,1970,7.4
Zambia,1975,7.43
Zambia,1980,7.38
Zambia,1985,7
Zambia,1990,6.68
Zambia,1995,6.35
Zambia,2000,6.15
Zambia,2005,6.05
Zambia,2010,5.9
Zambia,2015,5.45
Zimbabwe,1955,6.8
Zimbabwe,1960,7
Zimbabwe,1965,7.3
Zimbabwe,1970,7.4
Zimbabwe,1975,7.4
Zimbabwe,1980,7.3
Zimbabwe,1985,6.74
Zimbabwe,1990,5.66
Zimbabwe,1995,4.77
Zimbabwe,2000,4.2
Zimbabwe,2005,4.02
Zimbabwe,2010,4.02
Zimbabwe,2015,4.02
