Entity,Year,Count of terrorist incidents (RAND),Injuries due to terrorism (RAND),Fatalities due to terrorism (RAND)
Spain,1991,7,0,0
Spain,1992,5,1,1
Spain,1993,2,4,0
Spain,1994,3,0,0
Spain,1995,2,8,1
Spain,1996,7,54,0
Spain,1997,1,0,0
Spain,1998,109,31,6
Spain,1999,172,26,0
Spain,2000,210,124,22
Spain,2001,236,164,16
Spain,2002,114,59,7
Spain,2003,46,22,4
Spain,2004,51,615,191
Spain,2005,67,48,0
Spain,2006,48,33,3
Spain,2007,39,3,0
Spain,2008,39,62,4
Spain,2009,16,65,3
Sri Lanka,1971,1,2,1
Sri Lanka,1984,1,0,0
Sri Lanka,1986,4,40,23
Sri Lanka,1987,2,0,0
Sri Lanka,1988,3,1,11
Sri Lanka,1989,6,0,31
Sri Lanka,1991,2,12,14
Sri Lanka,1994,1,0,0
Sri Lanka,1995,1,0,0
Sri Lanka,1996,5,1409,96
Sri Lanka,1997,6,100,14
Sri Lanka,1998,16,341,79
Sri Lanka,1999,18,100,44
Sri Lanka,2000,24,500,153
Sri Lanka,2001,11,44,24
Sri Lanka,2003,4,8,5
Sri Lanka,2004,6,30,10
Sri Lanka,2005,83,142,57
Sri Lanka,2006,87,230,176
Sri Lanka,2007,41,234,80
Sri Lanka,2008,24,872,227
Sri Lanka,2009,4,147,51
Sudan,1950,1,,
Sudan,1951,1,,
Sudan,1952,1,,
Sudan,1953,1,,
Sudan,1954,2,,
Sudan,1955,5,,
Sudan,1956,4,,
Sudan,1957,2,,
Sudan,1958,4,,
Sudan,1959,1,,
Sudan,1960,1,,
Sudan,1961,1,,
Sudan,1962,1,,
Sudan,1963,2,,
Sudan,1964,6,,
Sudan,1965,2,,
Sudan,1966,1,,
Sudan,1967,2,,
Sudan,1968,2,,
Sudan,1969,1,0,0
Sudan,1970,2,,
Sudan,1971,1,,
Sudan,1973,,0,0
Sudan,1981,,0,2
Sudan,1982,,0,0
Sudan,1983,,0,0
Sudan,1984,,7,10
Sudan,1986,,2,1
Sudan,1987,,0,0
Sudan,1988,,21,8
Sudan,1989,,0,3
Sudan,1990,,0,0
Sudan,1991,,0,0
Sudan,1992,,0,2
Sudan,1995,,0,0
Sudan,1996,,0,0
Sudan,1998,,0,0
Sudan,1999,,0,4
Sudan,2001,,0,0
Sudan,2002,,0,60
Sudan,2005,,1,1
Sudan,2006,,11,11
Sudan,2008,,0,2
Suriname,1987,1,0,0
Suriname,1988,2,0,0
Suriname,1989,1,0,0
Suriname,1990,2,0,1
Swaziland,1982,1,0,2
Swaziland,1987,1,0,3
Swaziland,1998,2,10,1
Sweden,1971,2,2,1
Sweden,1972,5,0,26
Sweden,1975,4,0,2
Sweden,1979,1,0,1
Sweden,1984,1,0,1
Sweden,1985,1,2,1
Sweden,1986,4,1,1
Sweden,1988,1,0,0
Sweden,1990,6,0,1
Sweden,1991,2,2,0
Sweden,1992,3,0,0
Sweden,1993,3,1,0
Sweden,1994,1,1,0
Sweden,1995,1,0,0
Sweden,1997,1,0,0
Sweden,1999,1,2,0
Sweden,2000,2,0,0
Sweden,2002,1,0,0
Sweden,2004,1,0,0
Sweden,2005,4,0,0
Switzerland,1969,1,6,1
Switzerland,1970,3,0,47
Switzerland,1971,1,3,0
Switzerland,1972,5,0,0
Switzerland,1973,1,0,0
Switzerland,1974,2,0,0
Switzerland,1975,1,0,0
Switzerland,1976,2,0,0
Switzerland,1977,3,0,0
Switzerland,1978,2,0,0
Switzerland,1979,2,3,0
Switzerland,1980,7,2,0
Switzerland,1981,10,31,1
Switzerland,1982,8,1,0
Switzerland,1983,1,0,0
Switzerland,1985,5,2,0
Switzerland,1987,2,0,1
Switzerland,1988,2,5,0
Switzerland,1989,2,0,0
Switzerland,1990,1,0,1
Switzerland,1993,4,7,1
Switzerland,1995,5,3,1
Switzerland,1996,3,2,0
Switzerland,1998,2,1,0
Switzerland,1999,1,0,0
Switzerland,2000,2,0,0
Switzerland,2001,1,0,0
Switzerland,2003,2,0,0
Switzerland,2004,1,0,0
Switzerland,2006,2,0,0
Syria,1974,3,9,1
Syria,1975,2,0,0
Syria,1976,3,35,5
Syria,1977,1,0,0
Syria,1979,1,0,0
Syria,1980,1,1,0
Syria,1981,1,135,64
Syria,1983,1,0,2
Syria,1984,2,1,0
Syria,1986,2,110,60
Syria,1989,1,0,0
Syria,1996,1,42,11
Syria,2004,1,1,0
Syria,2005,1,0,0
Syria,2006,1,15,4
Syria,2008,1,14,17
Taiwan,1970,1,4,0
Taiwan,1971,1,0,25
Taiwan,1988,1,0,0
Taiwan,2004,1,1,0
Tajikistan,1993,1,0,1
Tajikistan,1995,4,10,11
Tajikistan,1996,4,0,5
Tajikistan,1997,6,1,7
Tajikistan,1998,16,11,17
Tajikistan,2000,10,33,5
Tajikistan,2001,9,15,11
Tajikistan,2002,1,0,0
Tajikistan,2003,1,0,0
Tajikistan,2005,1,12,0
Tajikistan,2006,3,0,0
Tajikistan,2007,2,0,1
Tajikistan,2008,1,0,0
Tanzania,1975,1,0,0
Tanzania,1982,1,0,0
Tanzania,1989,1,0,0
Tanzania,1993,1,0,0
Tanzania,1998,1,77,11
Tanzania,1999,1,0,0
Tanzania,2000,1,1,0
Tanzania,2004,2,0,0
Thailand,1970,1,0,3
Thailand,1972,1,0,0
Thailand,1974,1,0,0
Thailand,1978,2,0,0
Thailand,1979,1,0,0
Thailand,1982,2,17,1
Thailand,1983,1,0,0
Thailand,1985,1,0,0
Thailand,1986,2,3,0
Thailand,1987,1,0,115
Thailand,1988,1,0,2
Thailand,1989,1,0,1
Thailand,1990,4,0,0
Thailand,1992,1,0,0
Thailand,1993,1,0,0
Thailand,1994,2,7,0
Thailand,1997,3,24,6
Thailand,1998,3,1,5
Thailand,1999,2,0,0
Thailand,2000,1,2,0
Thailand,2001,17,54,18
Thailand,2002,25,21,17
Thailand,2003,1,0,1
Thailand,2004,169,174,76
Thailand,2005,363,590,153
Thailand,2006,356,563,234
Thailand,2007,744,1132,583
Thailand,2008,301,783,226
Thailand,2009,1,0,1
Timor,1998,3,0,5
Timor,1999,5,0,5
Timor,2000,1,0,1
Timor,2001,1,3,3
Togo,1994,1,6,0
Togo,2003,2,0,0
Trinidad and Tobago,1976,1,3,0
Trinidad and Tobago,2007,1,9,0
Tunisia,1950,1,,
Tunisia,1951,1,,
Tunisia,1952,1,,
Tunisia,1953,2,,
Tunisia,1954,1,,
Tunisia,1955,4,,
Tunisia,1956,2,,
Tunisia,1957,1,,
Tunisia,1958,1,,
Tunisia,1959,1,,
Tunisia,1960,1,,
Tunisia,1979,,0,0
Tunisia,1982,,0,0
Tunisia,1984,,1,0
Tunisia,1985,,3,5
Tunisia,1986,,0,0
Tunisia,1987,,11,0
Tunisia,1991,,0,4
Tunisia,1993,,0,0
Tunisia,1994,,0,1
Tunisia,1995,,0,6
Tunisia,2002,,20,15
Turkey,1968,1,0,0
Turkey,1969,1,0,0
Turkey,1970,13,2,0
Turkey,1971,22,2,1
Turkey,1972,4,0,3
Turkey,1974,1,0,0
Turkey,1975,9,0,0
Turkey,1976,15,26,4
Turkey,1977,18,45,5
Turkey,1978,15,3,0
Turkey,1979,29,3,10
Turkey,1980,10,11,5
Turkey,1981,3,10,0
Turkey,1982,5,78,9
Turkey,1983,3,27,2
Turkey,1984,1,0,0
Turkey,1985,4,0,3
Turkey,1986,5,3,25
Turkey,1987,6,1,11
Turkey,1988,11,0,3
Turkey,1989,12,1,0
Turkey,1990,8,1,3
Turkey,1991,30,13,41
Turkey,1992,19,1,5
Turkey,1993,19,65,2
Turkey,1994,15,68,6
Turkey,1995,8,38,6
Turkey,1996,8,41,20
Turkey,1997,2,0,1
Turkey,1998,86,130,91
Turkey,1999,304,265,97
Turkey,2000,110,50,16
Turkey,2001,64,65,23
Turkey,2002,35,8,4
Turkey,2003,78,797,72
Turkey,2004,105,149,37
Turkey,2005,80,132,16
Turkey,2006,80,266,39
Turkey,2007,5,1,2
Turkey,2008,29,98,26
Turkey,2009,6,141,17
Turkmenistan,2002,1,1,1
Uganda,1978,1,0,4
Uganda,1982,2,2,2
Uganda,1983,1,0,1
Uganda,1984,1,0,0
Uganda,1988,1,4,1
Uganda,1990,1,1,1
Uganda,1991,1,0,0
Uganda,1993,2,2,0
Uganda,1996,5,23,16
Uganda,1997,2,3,0
Uganda,1998,6,33,49
Uganda,1999,9,95,22
Uganda,2000,3,60,10
Uganda,2001,3,20,4
Uganda,2002,1,0,0
Uganda,2003,4,20,59
Uganda,2004,7,129,316
Uganda,2005,12,70,64
Uganda,2007,1,5,0
Ukraine,1995,1,0,0
Ukraine,1997,1,0,0
Ukraine,1998,9,7,1
Ukraine,1999,1,0,0
Ukraine,2000,1,5,3
Ukraine,2001,2,0,0
Ukraine,2002,7,2,0
Ukraine,2004,2,0,0
Ukraine,2006,2,14,0
United Arab Emirates,1974,1,1,1
United Arab Emirates,1976,1,3,4
United Arab Emirates,1977,3,0,1
United Arab Emirates,1985,1,0,0
United Arab Emirates,1986,1,0,0
United Arab Emirates,1989,1,0,1
United Arab Emirates,1991,1,0,1
United Arab Emirates,1999,1,0,0
United Kingdom,1969,4,1,0
United Kingdom,1970,5,0,0
United Kingdom,1971,1,0,0
United Kingdom,1972,11,0,1
United Kingdom,1973,3,1,1
United Kingdom,1974,4,2,0
United Kingdom,1975,4,22,1
United Kingdom,1977,3,0,5
United Kingdom,1978,8,11,5
United Kingdom,1979,2,0,1
United Kingdom,1980,10,0,5
United Kingdom,1981,2,1,2
United Kingdom,1982,3,1,0
United Kingdom,1983,16,4,0
United Kingdom,1984,10,48,4
United Kingdom,1985,3,1,1
United Kingdom,1986,5,15,2
United Kingdom,1987,6,4,5
United Kingdom,1988,3,13,271
United Kingdom,1989,13,1,1
United Kingdom,1990,4,5,0
United Kingdom,1991,5,0,0
United Kingdom,1992,6,29,1
United Kingdom,1993,5,1,2
United Kingdom,1994,6,20,1
United Kingdom,1995,5,1,2
United Kingdom,1996,1,0,0
United Kingdom,1997,8,10,3
United Kingdom,1998,66,87,47
United Kingdom,1999,62,10,4
United Kingdom,2000,47,9,3
United Kingdom,2001,191,28,9
United Kingdom,2002,96,29,4
United Kingdom,2003,99,17,1
United Kingdom,2004,76,15,0
United Kingdom,2005,84,239,56
United Kingdom,2006,4,0,0
United Kingdom,2007,9,7,1
United Kingdom,2008,7,5,0
United Kingdom,2009,12,4,3
United States,1968,36,0,0
United States,1969,2,0,0
United States,1970,18,4,0
United States,1971,25,8,0
United States,1972,13,1,0
United States,1973,14,2,3
United States,1974,14,3,1
United States,1975,45,81,13
United States,1976,41,11,7
United States,1977,26,3,2
United States,1978,20,3,1
United States,1979,24,39,3
United States,1980,29,10,5
United States,1981,26,3,2
United States,1982,30,15,5
United States,1983,16,3,4
United States,1984,6,0,1
United States,1985,3,0,0
United States,1986,3,21,0
United States,1987,6,1,1
United States,1988,3,1,0
United States,1989,8,2,0
United States,1990,2,0,3
United States,1991,4,0,2
United States,1992,1,0,0
United States,1993,2,1045,8
United States,1994,3,3,2
United States,1995,1,500,168
United States,1996,2,111,1
United States,1997,16,15,2
United States,1998,7,3,2
United States,1999,8,14,3
United States,2000,9,0,0
United States,2001,36,2383,2987
United States,2002,16,3,3
United States,2003,18,0,0
United States,2004,7,0,0
United States,2005,13,0,0
United States,2006,1,5,1
United States,2007,4,0,0
United States,2008,3,0,0
United States,2009,6,33,15
Uruguay,1968,2,0,0
Uruguay,1969,1,0,0
Uruguay,1970,6,1,1
Uruguay,1971,7,0,0
Uruguay,1972,2,0,0
Uruguay,1990,1,0,0
Uruguay,1991,1,0,0
Uruguay,1994,1,0,0
Uruguay,1997,1,1,0
Uruguay,2005,3,0,0
Uruguay,2006,1,1,0
USSR,1971,1,0,0
USSR,1980,1,0,0
USSR,1983,1,0,0
USSR,1985,1,0,0
USSR,1991,4,0,1
USSR,1992,2,9,1
Uzbekistan,1999,4,128,16
Uzbekistan,2001,1,0,0
Uzbekistan,2004,8,35,20
Uzbekistan,2005,1,0,1
Uzbekistan,2009,2,5,3
Venezuela,1970,1,0,0
Venezuela,1971,2,0,0
Venezuela,1972,4,0,0
Venezuela,1973,2,0,0
Venezuela,1974,5,0,0
Venezuela,1976,5,0,0
Venezuela,1981,2,0,0
Venezuela,1983,1,0,0
Venezuela,1984,2,0,0
Venezuela,1986,2,1,0
Venezuela,1987,3,0,0
Venezuela,1988,1,0,0
Venezuela,1989,2,1,0
Venezuela,1990,3,0,1
Venezuela,1991,3,0,0
Venezuela,1992,3,0,4
Venezuela,1993,2,0,0
Venezuela,1994,2,0,0
Venezuela,1995,1,0,1
Venezuela,1996,6,6,8
Venezuela,1997,3,0,2
Venezuela,1998,15,2,1
Venezuela,1999,6,0,0
Venezuela,2000,9,0,2
Venezuela,2001,7,2,0
Venezuela,2002,20,33,15
Venezuela,2003,26,26,6
Venezuela,2004,9,0,6
Venezuela,2005,9,0,1
Venezuela,2006,5,1,1
Venezuela,2008,1,0,0
Vietnam,1975,1,0,1
Vietnam,1992,1,0,0
Vietnam,2001,1,132,0
Western Sahara,1980,1,0,0
Western Sahara,1981,1,3,1
Western Sahara,1988,1,0,8
World,1968,98,169,28
World,1969,102,84,8
World,1970,179,142,101
World,1971,154,91,66
World,1972,198,153,97
World,1973,153,145,68
World,1974,231,303,184
World,1975,210,367,87
World,1976,327,704,341
World,1977,233,296,170
World,1978,222,375,138
World,1979,243,1055,252
World,1980,236,317,162
World,1981,301,1138,320
World,1982,358,737,111
World,1983,285,838,601
World,1984,327,532,183
World,1985,435,1103,716
World,1986,377,1236,351
World,1987,361,1165,375
World,1988,369,1832,702
World,1989,359,468,347
World,1990,286,320,122
World,1991,420,236,192
World,1992,272,556,145
World,1993,272,2677,471
World,1994,310,1082,435
World,1995,268,6507,462
World,1996,238,3068,571
World,1997,184,944,259
World,1998,1286,8202,2172
World,1999,1171,2534,864
World,2000,1151,2570,783
World,2001,1732,6403,4571
World,2002,2648,7349,2763
World,2003,1899,6200,2349
World,2004,2647,10860,5066
World,2005,4995,15262,8194
World,2006,6660,20991,12071
World,2007,4526,20963,10232
World,2008,2846,14434,5909
World,2009,560,1957,1197
Yemen,1971,1,0,0
Yemen,1980,1,0,1
Yemen,1986,1,1,0
Yemen,1988,1,0,0
Yemen,1991,5,0,0
Yemen,1992,4,0,2
Yemen,1993,9,4,1
Yemen,1994,6,0,0
Yemen,1996,2,0,0
Yemen,1997,10,0,0
Yemen,1998,38,97,36
Yemen,1999,12,14,3
Yemen,2000,3,41,17
Yemen,2001,12,102,46
Yemen,2002,5,15,5
Yemen,2003,3,5,1
Yemen,2004,2,2,0
Yemen,2005,6,2,2
Yemen,2006,6,13,7
Yemen,2008,9,32,17
Yugoslavia,1969,1,0,0
Yugoslavia,1977,2,0,0
Yugoslavia,1980,1,3,0
Yugoslavia,1983,1,2,2
Yugoslavia,1992,1,1,0
Yugoslavia,1994,1,1,0
Zambia,1973,2,2,3
Zambia,1977,1,4,1
Zambia,1987,1,7,1
Zambia,1988,2,18,2
Zambia,1989,1,1,1
Zambia,1992,1,0,1
Zambia,1999,1,2,1
Zimbabwe,1972,1,0,0
Zimbabwe,1976,2,0,4
Zimbabwe,1977,4,76,21
Zimbabwe,1978,6,0,19
Zimbabwe,1979,1,0,1
Zimbabwe,1982,2,0,6
Zimbabwe,1985,1,0,1
Zimbabwe,1987,5,25,24
Zimbabwe,1988,1,3,2
Zimbabwe,1990,1,1,0
Zimbabwe,1991,2,3,0
Zimbabwe,1995,1,0,0
Zimbabwe,2007,1,0,0
