Entity,Year,Total water withdrawal per capita,Total water withdrawal,Municipal water as share of total withdrawal,Municipal water withdrawal,Irrigation water withdrawal,Irrigation water requirement,Industrial water as share of total withdrawal,Industrial water withdrawal,Agricultural water withdrawal,Agricultural water as share of total withdrawal
Trinidad and Tobago,2000,245.7,0.314,63.06,0.198,,,31.53,0.099,0.017,5.414
Trinidad and Tobago,2005,263.6,0.345,62.03,0.214,,,33.62,0.116,0.015,4.348
Trinidad and Tobago,2010,285.5,0.3832,62,0.2376,,,33.64,0.1289,0.0167,4.358
Tunisia,1975,180.9,1.07,,,,,,,,
Tunisia,1980,282.2,1.9,,,,,,,,
Tunisia,1985,299,2.3,,,,,,,,
Tunisia,1990,357.4,3.075,8.488,0.261,,,2.797,0.086,2.728,88.72
Tunisia,1995,304.5,2.857,10.96,0.313,,,3.43,0.098,2.446,85.61
Tunisia,2000,288.9,2.85,12.81,0.365,,1.552,3.86,0.11,2.165,75.96
Tunisia,2010,303.7,3.305,15.01,0.496,,,4.992,0.165,2.644,80
Turkey,1990,566.2,31.6,16.46,5.2,,,11.08,3.5,22.9,72.47
Turkey,2000,644.9,42,15.24,6.4,,,9.762,4.1,31.5,75
Turkey,2005,576.9,40.1,15.46,6.2,,25.14,10.72,4.3,29.6,73.82
Turkey,2010,561.3,42.01,,,,,,,34,80.93
Turkmenistan,1995,5484,23.78,1.468,0.349,,,0.5845,0.139,23.29,97.94
Turkmenistan,2000,5415,24.91,2.397,0.597,,,1.084,0.2701,24.04,96.51
Turkmenistan,2005,5753,27.95,2.701,0.755,26.25,13.56,3.002,0.839,26.36,94.31
Uganda,1970,20.02,0.2,32,0.064,,,8,0.016,0.12,60
Uganda,2000,12.52,0.3174,47.7,0.1514,,,14.49,0.046,0.12,37.81
Uganda,2010,17.99,0.637,51.49,0.328,,0.0626,7.849,0.05,0.259,40.66
Ukraine,1990,506.7,26,17.83,4.637,,,51.92,13.5,7.865,30.25
Ukraine,2000,381.7,18.28,18.11,3.311,,,51.89,9.486,5.485,30.01
Ukraine,2005,326.1,15.08,22,3.318,,0.8258,48.01,7.24,4.525,30.01
Ukraine,2010,327.7,14.85,21.99,3.266,,,47.99,7.126,4.454,29.99
United Arab Emirates,1980,777.2,0.9,11,0.099,,,9,0.081,0.72,80
United Arab Emirates,1995,812.3,2.108,23.72,0.5,,,9.488,0.2,1.408,66.79
United Arab Emirates,2000,855.6,2.904,17.69,0.5138,,,3.833,0.1113,2.279,78.48
United Arab Emirates,2005,665.2,3.998,15.43,0.617,,1.815,1.726,0.069,3.312,82.84
United Kingdom,1980,240.2,13.51,51.63,6.975,,,,,,
United Kingdom,1985,203.5,11.53,61.95,7.143,,,,,,
United Kingdom,1990,209.9,12.05,,,,,,,0.6681,5.544
United Kingdom,1995,208,12.12,,,,,,,1.723,14.22
United Kingdom,2000,266.6,15.81,46.25,7.312,0.0906,,45.48,7.19,1.308,8.273
United Kingdom,2005,139.2,8.513,70.36,5.99,0.0587,0.0354,14.01,1.193,1.33,15.62
United Kingdom,2010,129.2,8.214,71.41,5.866,0.049,,,,1.049,12.77
United States,1970,,,,,,,,,100.1,
United States,1975,,,,,,,,,106.5,
United States,1980,2213,517.7,,,,,,,117.1,22.62
United States,1990,2169,559.3,10.85,60.67,188.5,,54.34,303.9,194.7,34.81
United States,2000,1939,559.3,11.44,64,189.1,,53.42,298.8,196.5,35.13
United States,2005,1864,562.4,11.64,65.44,176.8,,54.25,305.1,191.9,34.12
United States,2010,1543,485.6,12.79,62.09,159.3,108.5,51.15,248.4,175.1,36.06
Uruguay,1965,236.4,0.65,6,0.039,,,3,0.0195,0.5915,91
Uruguay,2000,1100,3.66,11.2,0.41,,,2.186,0.08,3.17,86.61
Uruguay,2010,,,,,,1.077,,,,
Uzbekistan,1995,2473,58.05,4.448,2.582,,,1.9,1.103,54.37,93.66
Uzbekistan,2000,2415,60.58,5.695,3.45,,,3.879,2.35,54.78,90.43
Uzbekistan,2005,2106,56,7.321,4.1,,22.52,2.679,1.5,50.4,90
Venezuela,1970,333.7,4.1,43,1.763,,,11,0.451,1.886,46
Venezuela,2000,356.9,9.064,48.67,4.411,,,7.536,0.6831,3.97,43.8
Venezuela,2005,817.8,22.63,22.64,5.123,,,3.506,0.7933,16.71,73.84
Venezuela,2010,,,,,16.71,6.472,,,16.71,
Vietnam,1980,665,37.86,3.487,1.32,,,3.962,1.5,35.04,92.55
Vietnam,1985,708.7,45.27,3.866,1.75,,,6.34,2.87,40.65,89.79
Vietnam,1990,,,,,,,,,47,
Vietnam,2000,,,,1.051,,,,3.263,,
Vietnam,2005,956.4,82.03,1.47,1.206,,29.24,3.747,3.074,77.75,94.78
Yemen,1990,221.4,2.932,6.855,0.201,,,1.057,0.031,2.7,92.09
Yemen,2000,180.5,3.4,8,0.272,,,2,0.068,3.06,90
Yemen,2005,164.3,3.565,7.433,0.265,,1.773,1.823,0.065,3.235,90.74
Zambia,1990,203.7,1.747,17.23,0.301,,,6.125,0.107,1.339,76.65
Zambia,1995,174.7,1.706,15.83,0.27,,,6.917,0.118,1.318,77.26
Zambia,2000,141.1,1.572,18.45,0.29,1.152,0.306,8.27,0.13,1.152,73.28
Zimbabwe,1985,,1.22,,,,,,0.085,0.964,79.02
Zimbabwe,2000,,4.205,,,,,,0.298,3.318,78.91
Zimbabwe,2005,,3.57,,,,,,0.215,2.93,82.07
