Entity,Year,"Share of energy from cereals, roots and tubers (FAO (2017))"
Slovenia,2002,38
Slovenia,2003,38
Slovenia,2004,37
Slovenia,2005,36
Slovenia,2006,37
Slovenia,2007,37
Slovenia,2008,38
Slovenia,2009,37
Slovenia,2010,37
Slovenia,2011,38
Solomon Islands,1992,65
Solomon Islands,1993,66
Solomon Islands,1994,67
Solomon Islands,1995,66
Solomon Islands,1996,67
Solomon Islands,1997,67
Solomon Islands,1998,68
Solomon Islands,1999,69
Solomon Islands,2000,69
Solomon Islands,2001,70
Solomon Islands,2002,70
Solomon Islands,2003,69
Solomon Islands,2004,69
Solomon Islands,2005,69
Solomon Islands,2006,68
Solomon Islands,2007,67
Solomon Islands,2008,67
Solomon Islands,2009,67
Solomon Islands,2010,67
Solomon Islands,2011,67
South Africa,1992,55
South Africa,1993,56
South Africa,1994,57
South Africa,1995,57
South Africa,1996,56
South Africa,1997,56
South Africa,1998,56
South Africa,1999,56
South Africa,2000,57
South Africa,2001,57
South Africa,2002,57
South Africa,2003,56
South Africa,2004,56
South Africa,2005,56
South Africa,2006,56
South Africa,2007,55
South Africa,2008,54
South Africa,2009,54
South Africa,2010,53
South Africa,2011,53
South Korea,1992,55
South Korea,1993,54
South Korea,1994,53
South Korea,1995,53
South Korea,1996,53
South Korea,1997,53
South Korea,1998,52
South Korea,1999,51
South Korea,2000,50
South Korea,2001,49
South Korea,2002,48
South Korea,2003,47
South Korea,2004,46
South Korea,2005,46
South Korea,2006,45
South Korea,2007,45
South Korea,2008,44
South Korea,2009,44
South Korea,2010,44
South Korea,2011,44
Spain,1992,29
Spain,1993,28
Spain,1994,28
Spain,1995,28
Spain,1996,28
Spain,1997,27
Spain,1998,27
Spain,1999,27
Spain,2000,26
Spain,2001,26
Spain,2002,26
Spain,2003,26
Spain,2004,25
Spain,2005,25
Spain,2006,25
Spain,2007,25
Spain,2008,26
Spain,2009,26
Spain,2010,26
Spain,2011,25
Sri Lanka,1992,60
Sri Lanka,1993,59
Sri Lanka,1994,59
Sri Lanka,1995,59
Sri Lanka,1996,59
Sri Lanka,1997,58
Sri Lanka,1998,57
Sri Lanka,1999,57
Sri Lanka,2000,56
Sri Lanka,2001,56
Sri Lanka,2002,56
Sri Lanka,2003,56
Sri Lanka,2004,57
Sri Lanka,2005,58
Sri Lanka,2006,58
Sri Lanka,2007,58
Sri Lanka,2008,57
Sri Lanka,2009,58
Sri Lanka,2010,58
Sri Lanka,2011,58
Sudan,1992,58
Sudan,1993,58
Sudan,1994,58
Sudan,1995,57
Sudan,1996,57
Sudan,1997,57
Sudan,1998,56
Sudan,1999,55
Sudan,2000,52
Sudan,2001,51
Sudan,2002,49
Sudan,2003,48
Sudan,2004,47
Sudan,2005,47
Sudan,2006,47
Sudan,2007,47
Sudan,2008,48
Sudan,2009,48
Sudan,2010,47
Sudan,2011,47
Suriname,1992,51
Suriname,1993,50
Suriname,1994,50
Suriname,1995,50
Suriname,1996,49
Suriname,1997,47
Suriname,1998,45
Suriname,1999,44
Suriname,2000,44
Suriname,2001,45
Suriname,2002,45
Suriname,2003,44
Suriname,2004,43
Suriname,2005,43
Suriname,2006,43
Suriname,2007,43
Suriname,2008,44
Suriname,2009,44
Suriname,2010,44
Suriname,2011,43
Swaziland,1992,56
Swaziland,1993,57
Swaziland,1994,57
Swaziland,1995,59
Swaziland,1996,60
Swaziland,1997,58
Swaziland,1998,57
Swaziland,1999,55
Swaziland,2000,55
Swaziland,2001,54
Swaziland,2002,54
Swaziland,2003,55
Swaziland,2004,54
Swaziland,2005,54
Swaziland,2006,54
Swaziland,2007,55
Swaziland,2008,57
Swaziland,2009,58
Swaziland,2010,59
Swaziland,2011,59
Sweden,1992,27
Sweden,1993,27
Sweden,1994,27
Sweden,1995,27
Sweden,1996,27
Sweden,1997,27
Sweden,1998,27
Sweden,1999,27
Sweden,2000,28
Sweden,2001,28
Sweden,2002,28
Sweden,2003,28
Sweden,2004,28
Sweden,2005,28
Sweden,2006,28
Sweden,2007,28
Sweden,2008,28
Sweden,2009,28
Sweden,2010,28
Sweden,2011,28
Switzerland,1992,24
Switzerland,1993,24
Switzerland,1994,25
Switzerland,1995,25
Switzerland,1996,25
Switzerland,1997,25
Switzerland,1998,25
Switzerland,1999,25
Switzerland,2000,26
Switzerland,2001,26
Switzerland,2002,25
Switzerland,2003,24
Switzerland,2004,24
Switzerland,2005,24
Switzerland,2006,24
Switzerland,2007,23
Switzerland,2008,23
Switzerland,2009,23
Switzerland,2010,23
Switzerland,2011,24
Tajikistan,1992,64
Tajikistan,1993,63
Tajikistan,1994,64
Tajikistan,1995,65
Tajikistan,1996,66
Tajikistan,1997,68
Tajikistan,1998,70
Tajikistan,1999,72
Tajikistan,2000,73
Tajikistan,2001,72
Tajikistan,2002,71
Tajikistan,2003,70
Tajikistan,2004,69
Tajikistan,2005,68
Tajikistan,2006,67
Tajikistan,2007,66
Tajikistan,2008,65
Tajikistan,2009,64
Tajikistan,2010,63
Tajikistan,2011,62
Tanzania,1992,69
Tanzania,1993,69
Tanzania,1994,68
Tanzania,1995,69
Tanzania,1996,69
Tanzania,1997,67
Tanzania,1998,67
Tanzania,1999,66
Tanzania,2000,65
Tanzania,2001,65
Tanzania,2002,64
Tanzania,2003,62
Tanzania,2004,61
Tanzania,2005,60
Tanzania,2006,59
Tanzania,2007,58
Tanzania,2008,59
Tanzania,2009,59
Tanzania,2010,58
Tanzania,2011,57
Thailand,1992,56
Thailand,1993,55
Thailand,1994,54
Thailand,1995,53
Thailand,1996,53
Thailand,1997,53
Thailand,1998,54
Thailand,1999,53
Thailand,2000,53
Thailand,2001,52
Thailand,2002,51
Thailand,2003,50
Thailand,2004,50
Thailand,2005,51
Thailand,2006,51
Thailand,2007,51
Thailand,2008,50
Thailand,2009,50
Thailand,2010,50
Thailand,2011,50
Timor,1992,74
Timor,1993,74
Timor,1994,74
Timor,1995,74
Timor,1996,75
Timor,1997,75
Timor,1998,74
Timor,1999,73
Timor,2000,74
Timor,2001,74
Timor,2002,74
Timor,2003,72
Timor,2004,72
Timor,2005,73
Timor,2006,73
Timor,2007,73
Timor,2008,72
Timor,2009,72
Timor,2010,71
Timor,2011,70
Togo,1992,75
Togo,1993,75
Togo,1994,75
Togo,1995,76
Togo,1996,75
Togo,1997,74
Togo,1998,75
Togo,1999,77
Togo,2000,77
Togo,2001,76
Togo,2002,75
Togo,2003,74
Togo,2004,74
Togo,2005,73
Togo,2006,74
Togo,2007,74
Togo,2008,74
Togo,2009,74
Togo,2010,73
Togo,2011,72
Trinidad and Tobago,1992,41
Trinidad and Tobago,1993,40
Trinidad and Tobago,1994,39
Trinidad and Tobago,1995,39
Trinidad and Tobago,1996,38
Trinidad and Tobago,1997,38
Trinidad and Tobago,1998,38
Trinidad and Tobago,1999,37
Trinidad and Tobago,2000,38
Trinidad and Tobago,2001,37
Trinidad and Tobago,2002,36
Trinidad and Tobago,2003,36
Trinidad and Tobago,2004,35
Trinidad and Tobago,2005,35
Trinidad and Tobago,2006,34
Trinidad and Tobago,2007,34
Trinidad and Tobago,2008,35
Trinidad and Tobago,2009,35
Trinidad and Tobago,2010,36
Trinidad and Tobago,2011,37
Tunisia,1992,56
Tunisia,1993,56
Tunisia,1994,55
Tunisia,1995,56
Tunisia,1996,56
Tunisia,1997,56
Tunisia,1998,55
Tunisia,1999,54
Tunisia,2000,53
Tunisia,2001,53
Tunisia,2002,53
Tunisia,2003,53
Tunisia,2004,52
Tunisia,2005,53
Tunisia,2006,52
Tunisia,2007,53
Tunisia,2008,52
Tunisia,2009,52
Tunisia,2010,52
Tunisia,2011,53
Turkey,1992,54
Turkey,1993,54
Turkey,1994,54
Turkey,1995,54
Turkey,1996,53
Turkey,1997,52
Turkey,1998,52
Turkey,1999,53
Turkey,2000,53
Turkey,2001,54
Turkey,2002,53
Turkey,2003,54
Turkey,2004,53
Turkey,2005,52
Turkey,2006,51
Turkey,2007,50
Turkey,2008,50
Turkey,2009,49
Turkey,2010,48
Turkey,2011,47
Turkmenistan,1992,59
Turkmenistan,1993,59
Turkmenistan,1994,59
Turkmenistan,1995,59
Turkmenistan,1996,60
Turkmenistan,1997,61
Turkmenistan,1998,62
Turkmenistan,1999,62
Turkmenistan,2000,62
Turkmenistan,2001,63
Turkmenistan,2002,63
Turkmenistan,2003,63
Turkmenistan,2004,62
Turkmenistan,2005,62
Turkmenistan,2006,62
Turkmenistan,2007,61
Turkmenistan,2008,60
Turkmenistan,2009,59
Turkmenistan,2010,59
Turkmenistan,2011,59
Uganda,1992,45
Uganda,1993,45
Uganda,1994,44
Uganda,1995,43
Uganda,1996,42
Uganda,1997,42
Uganda,1998,43
Uganda,1999,44
Uganda,2000,45
Uganda,2001,45
Uganda,2002,45
Uganda,2003,45
Uganda,2004,45
Uganda,2005,45
Uganda,2006,45
Uganda,2007,45
Uganda,2008,45
Uganda,2009,45
Uganda,2010,45
Uganda,2011,45
Ukraine,1992,48
Ukraine,1993,51
Ukraine,1994,50
Ukraine,1995,52
Ukraine,1996,52
Ukraine,1997,52
Ukraine,1998,52
Ukraine,1999,52
Ukraine,2000,51
Ukraine,2001,50
Ukraine,2002,50
Ukraine,2003,49
Ukraine,2004,48
Ukraine,2005,47
Ukraine,2006,45
Ukraine,2007,44
Ukraine,2008,43
Ukraine,2009,42
Ukraine,2010,42
Ukraine,2011,42
United Arab Emirates,1992,31
United Arab Emirates,1993,32
United Arab Emirates,1994,32
United Arab Emirates,1995,32
United Arab Emirates,1996,32
United Arab Emirates,1997,35
United Arab Emirates,1998,38
United Arab Emirates,1999,40
United Arab Emirates,2000,41
United Arab Emirates,2001,42
United Arab Emirates,2002,43
United Arab Emirates,2003,43
United Arab Emirates,2004,43
United Arab Emirates,2005,44
United Arab Emirates,2006,45
United Arab Emirates,2007,45
United Arab Emirates,2008,44
United Arab Emirates,2009,43
United Arab Emirates,2010,43
United Arab Emirates,2011,42
United Kingdom,1992,28
United Kingdom,1993,28
United Kingdom,1994,28
United Kingdom,1995,29
United Kingdom,1996,29
United Kingdom,1997,29
United Kingdom,1998,30
United Kingdom,1999,30
United Kingdom,2000,31
United Kingdom,2001,31
United Kingdom,2002,31
United Kingdom,2003,32
United Kingdom,2004,32
United Kingdom,2005,32
United Kingdom,2006,31
United Kingdom,2007,31
United Kingdom,2008,32
United Kingdom,2009,32
United Kingdom,2010,32
United Kingdom,2011,32
United States,1992,26
United States,1993,26
United States,1994,26
United States,1995,26
United States,1996,27
United States,1997,27
United States,1998,27
United States,1999,26
United States,2000,26
United States,2001,25
United States,2002,25
United States,2003,25
United States,2004,24
United States,2005,24
United States,2006,24
United States,2007,24
United States,2008,24
United States,2009,24
United States,2010,25
United States,2011,25
Uruguay,1992,39
Uruguay,1993,38
Uruguay,1994,37
Uruguay,1995,37
Uruguay,1996,36
Uruguay,1997,37
Uruguay,1998,36
Uruguay,1999,36
Uruguay,2000,37
Uruguay,2001,39
Uruguay,2002,41
Uruguay,2003,43
Uruguay,2004,45
Uruguay,2005,45
Uruguay,2006,46
Uruguay,2007,47
Uruguay,2008,47
Uruguay,2009,47
Uruguay,2010,46
Uruguay,2011,45
Uzbekistan,1992,62
Uzbekistan,1993,61
Uzbekistan,1994,61
Uzbekistan,1995,61
Uzbekistan,1996,60
Uzbekistan,1997,60
Uzbekistan,1998,58
Uzbekistan,1999,58
Uzbekistan,2000,58
Uzbekistan,2001,59
Uzbekistan,2002,60
Uzbekistan,2003,61
Uzbekistan,2004,62
Uzbekistan,2005,62
Uzbekistan,2006,61
Uzbekistan,2007,58
Uzbekistan,2008,58
Uzbekistan,2009,58
Uzbekistan,2010,58
Uzbekistan,2011,58
Vanuatu,1992,44
Vanuatu,1993,43
Vanuatu,1994,44
Vanuatu,1995,43
Vanuatu,1996,46
Vanuatu,1997,47
Vanuatu,1998,48
Vanuatu,1999,48
Vanuatu,2000,47
Vanuatu,2001,48
Vanuatu,2002,48
Vanuatu,2003,49
Vanuatu,2004,50
Vanuatu,2005,50
Vanuatu,2006,51
Vanuatu,2007,50
Vanuatu,2008,49
Vanuatu,2009,48
Vanuatu,2010,48
Vanuatu,2011,47
Venezuela,1992,39
Venezuela,1993,39
Venezuela,1994,39
Venezuela,1995,39
Venezuela,1996,40
Venezuela,1997,39
Venezuela,1998,39
Venezuela,1999,39
Venezuela,2000,39
Venezuela,2001,39
Venezuela,2002,39
Venezuela,2003,40
Venezuela,2004,40
Venezuela,2005,41
Venezuela,2006,41
Venezuela,2007,41
Venezuela,2008,40
Venezuela,2009,41
Venezuela,2010,41
Venezuela,2011,41
Vietnam,1992,79
Vietnam,1993,78
Vietnam,1994,77
Vietnam,1995,76
Vietnam,1996,74
Vietnam,1997,73
Vietnam,1998,73
Vietnam,1999,72
Vietnam,2000,71
Vietnam,2001,71
Vietnam,2002,70
Vietnam,2003,69
Vietnam,2004,68
Vietnam,2005,67
Vietnam,2006,65
Vietnam,2007,63
Vietnam,2008,62
Vietnam,2009,62
Vietnam,2010,61
Vietnam,2011,60
Yemen,1992,67
Yemen,1993,68
Yemen,1994,68
Yemen,1995,69
Yemen,1996,69
Yemen,1997,69
Yemen,1998,69
Yemen,1999,68
Yemen,2000,67
Yemen,2001,67
Yemen,2002,65
Yemen,2003,64
Yemen,2004,62
Yemen,2005,61
Yemen,2006,61
Yemen,2007,61
Yemen,2008,62
Yemen,2009,62
Yemen,2010,63
Yemen,2011,64
Zambia,1992,77
Zambia,1993,78
Zambia,1994,78
Zambia,1995,79
Zambia,1996,79
Zambia,1997,79
Zambia,1998,79
Zambia,1999,79
Zambia,2000,78
Zambia,2001,77
Zambia,2002,76
Zambia,2003,77
Zambia,2004,76
Zambia,2005,75
Zambia,2006,74
Zambia,2007,75
Zambia,2008,75
Zambia,2009,74
Zambia,2010,73
Zambia,2011,72
Zimbabwe,1992,64
Zimbabwe,1993,65
Zimbabwe,1994,65
Zimbabwe,1995,65
Zimbabwe,1996,64
Zimbabwe,1997,63
Zimbabwe,1998,62
Zimbabwe,1999,60
Zimbabwe,2000,59
Zimbabwe,2001,58
Zimbabwe,2002,57
Zimbabwe,2003,57
Zimbabwe,2004,58
Zimbabwe,2005,59
Zimbabwe,2006,60
Zimbabwe,2007,60
Zimbabwe,2008,60
Zimbabwe,2009,60
Zimbabwe,2010,59
Zimbabwe,2011,60
